principle,unit,run,hardness,thickness_mm,rep,n_rungs,k_N_per_mm,F_at_0p1mm,d_at_1N,area_slope_px_per_mm,r_disc_px,px_per_mm_disc,depth_max_mm,force_max_N
DIGIT,hard_1mm_r1,DIGIT_hard_1mm_r1__2,hard,1,1,5,8.26,0.7816,0.131,662463.0,219.7,109.9,0.172,1.51
DIGIT,hard_1mm_r2,DIGIT_hard_1mm_r2,hard,1,2,6,8.46,0.0701,0.3549,238626.0,203.6,101.8,0.578,4.598
DIGIT,hard_2mm_r1,DIGIT_hard_2mm_r1,hard,2,1,5,7.21,0.509,0.1655,585029.0,251.3,125.7,0.284,1.909
DIGIT,hard_2mm_r2,DIGIT_hard_2mm_r2,hard,2,2,5,7.38,0.4893,0.1667,610318.0,271.6,135.8,0.265,1.775
DIGIT,hard_3mm_r1,DIGIT_hard_3mm_r1,hard,3,1,4,3.81,0.4193,0.2706,144690.0,141.4,70.7,0.386,1.532
DIGIT,hard_3mm_r2,DIGIT_hard_3mm_r2,hard,3,2,4,5.18,0.2685,0.2476,384189.0,252.0,126.0,0.383,1.736
DIGIT,medium_1mm_r1,DIGIT_medium_1mm_r1__3,medium,1,1,5,7.67,0.6936,0.1397,289327.0,194.9,97.4,0.178,1.464
DIGIT,medium_1mm_r2,DIGIT_medium_1mm_r2,medium,1,2,6,7.59,0.3628,0.1735,471396.0,243.6,121.8,0.223,1.617
DIGIT,medium_2mm_r1,DIGIT_medium_2mm_r1,medium,2,1,6,4.29,0.2786,0.2835,487900.0,227.6,113.8,0.383,1.563
DIGIT,medium_2mm_r2,DIGIT_medium_2mm_r2,medium,2,2,5,8.05,0.409,0.1798,589435.0,274.0,137.0,0.275,1.892
DIGIT,medium_3mm_r1,DIGIT_medium_3mm_r1,medium,3,1,5,3.34,0.1924,0.3136,248174.0,217.1,108.5,0.482,1.417
DIGIT,medium_3mm_r2,DIGIT_medium_3mm_r2,medium,3,2,5,3.42,0.198,0.3542,290308.0,240.9,120.5,0.483,1.509
DIGIT,soft_1mm_r1,DIGIT_soft_1mm_r1,soft,1,1,4,12.64,1.2968,0.0718,514601.0,243.6,121.8,0.141,2.157
DIGIT,soft_1mm_r2,DIGIT_soft_1mm_r2__5,soft,1,2,6,5.02,0.6186,0.1637,264946.0,246.1,123.1,0.215,1.466
DIGIT,soft_2mm_r1,DIGIT_soft_2mm_r1,soft,2,1,6,3.53,0.3993,0.2893,333722.0,231.7,115.8,0.375,1.541
DIGIT,soft_2mm_r2,DIGIT_soft_2mm_r2,soft,2,2,7,2.73,0.3513,0.3842,272265.0,28.7,14.3,0.481,1.497
DIGIT,soft_3mm_r1,DIGIT_soft_3mm_r1,soft,3,1,5,4.42,0.1608,0.2995,397208.0,222.0,111.0,0.478,1.848
DIGIT,soft_3mm_r2,DIGIT_soft_3mm_r2,soft,3,2,4,4.27,0.2843,0.2724,444483.0,220.4,110.2,0.376,1.468
