index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
1,2026-09-01T16:07:08.725408,0001.png,step1,-0.01139,-0.02596,0.02221,0.000657,0.000293,-0.00067,0.00295,-0.02782,0.02268,0.03601,37.8927,362.8246,41.6138,-0.0,-1.5836,-13.214,29.573,0.7873,0.048
2,2026-09-01T16:07:09.921228,0002.png,step2,-0.01116,-0.02652,-0.01581,0.000552,0.000219,-0.000299,0.00369,-0.0288,-0.01532,0.03283,37.8887,362.8314,41.5104,0.1033,-1.4803,13.862,-34.898,0.8765,0.048
3,2026-09-01T16:07:11.128094,0003.png,step3,-0.0134,-0.02707,0.00019,0.000617,0.000311,-0.000463,0.00192,-0.03014,0.00068,0.0302,37.891,362.8266,41.4188,0.195,-1.3886,-1653.021,3276.224,1.0,0.048
4,2026-09-01T16:07:12.323817,0004.png,step4,-0.01338,-0.03068,0.01019,0.000504,0.00029,-0.000494,0.00367,-0.03309,0.01075,0.03499,37.8877,362.8295,41.3206,0.2931,-1.2905,-28.435,49.488,0.9566,0.048
5,2026-09-01T16:07:13.523196,0005.png,step5,-0.01536,-0.03047,0.03397,0.000735,0.000338,-0.000804,0.00168,-0.03352,0.03452,0.04815,37.8871,362.8328,41.2263,0.3873,-1.1963,-9.945,21.627,0.7087,0.048
6,2026-09-01T16:07:14.724006,0006.png,step6,-0.01582,-0.03115,0.02497,0.000644,0.000331,-0.000728,0.00169,-0.03449,0.02554,0.04295,37.8861,362.831,41.1261,0.4875,-1.0961,-13.244,25.789,0.8136,0.048
7,2026-09-01T16:07:15.927177,0007.png,step7,-0.01549,-0.03288,0.02241,0.000623,0.000228,-0.000729,0.00286,-0.03586,0.023,0.0427,37.8839,362.8329,41.0313,0.5822,-1.0014,-10.187,27.821,0.8513,0.048
8,2026-09-01T16:07:17.128234,0008.png,step8,-0.01642,-0.03196,0.0449,0.000696,0.000303,-0.001029,0.00143,-0.03516,0.04548,0.05751,37.8859,362.835,40.933,0.6805,-0.9032,-6.741,15.5,0.6248,0.048
9,2026-09-01T16:07:18.325099,0009.png,step9,-0.01224,-0.03322,0.0068,0.000569,0.000219,-0.000559,0.00595,-0.03478,0.0074,0.03605,37.8835,362.8409,40.8387,0.7747,-0.8089,-32.204,83.631,0.982,0.048
10,2026-09-01T16:07:19.525298,0010.png,step10,-0.01421,-0.03344,0.01032,0.000534,0.000351,-0.000566,0.00433,-0.0359,0.01092,0.03777,37.8817,362.8407,40.739,0.8744,-0.7092,-34.044,51.752,0.962,0.048
11,2026-09-01T16:07:20.724793,0011.png,step11,-0.01351,-0.03235,0.02169,0.000543,0.000319,-0.000678,0.00431,-0.03442,0.02227,0.04122,37.8814,362.8419,40.6431,0.9702,-0.6134,-14.701,25.054,0.8504,0.048
12,2026-09-01T16:07:21.927898,0012.png,step12,-0.01387,-0.03587,0.00455,0.000614,0.000367,-0.000608,0.00588,-0.03792,0.00519,0.03872,37.8836,362.8405,40.5456,1.0677,-0.5159,-80.804,135.1,0.9931,0.048
13,2026-09-01T16:07:23.144112,0013.png,step13,-0.01262,-0.03556,0.03305,0.000524,0.00032,-0.000735,0.00661,-0.03657,0.03369,0.05016,37.8786,362.8453,40.4507,1.1625,-0.4211,-9.686,15.863,0.7522,0.048
14,2026-09-01T16:07:24.338011,0014.png,step14,-0.01176,-0.03746,0.04543,0.000517,0.000277,-0.000909,0.00821,-0.03759,0.0461,0.06004,37.8794,362.8439,40.3535,1.2597,-0.3239,-6.095,11.384,0.6539,0.048
15,2026-09-01T16:07:25.520941,0015.png,step15,-0.0096,-0.03717,0.04326,0.000627,0.000309,-0.000856,0.00995,-0.0363,0.04392,0.05784,37.8783,362.8428,40.2593,1.3539,-0.2297,-7.134,14.5,0.6637,0.048
16,2026-09-01T16:07:26.726311,0016.png,step16,-0.01012,-0.03617,0.03173,0.000649,0.000308,-0.000853,0.00908,-0.03588,0.03237,0.04917,37.8771,362.8417,40.1601,1.4531,-0.1305,-9.722,20.462,0.764,0.048
17,2026-09-01T16:07:27.921407,0017.png,step17,-0.01102,-0.03804,0.06097,0.000598,0.000279,-0.001093,0.00904,-0.03748,0.06165,0.07271,37.8767,362.8439,40.0649,1.5482,-0.0354,-4.583,9.801,0.5447,0.048
18,2026-09-01T16:07:29.126884,0018.png,step18,-0.01084,-0.03603,0.02625,0.000529,0.000364,-0.001088,0.00843,-0.0362,0.02689,0.04587,37.8764,362.8428,39.9656,1.6476,0.064,-13.861,20.164,0.8202,0.048
19,2026-09-01T16:07:30.334241,0019.png,step19,-0.01325,-0.03583,-0.07227,0.000557,0.000364,-0.000905,0.00693,-0.03881,-0.07161,0.08174,37.8787,362.8378,39.8723,1.741,0.1573,5.032,-7.711,0.4674,0.048
20,2026-09-01T16:07:31.530137,0020.png,step20,-0.01422,-0.04788,-0.18338,0.000824,0.000232,-0.001051,0.01287,-0.05151,-0.18249,0.19006,37.8805,362.8229,39.7698,1.8437,0.2601,1.263,-4.493,0.2628,0.048
21,2026-09-01T16:07:32.723646,0021.png,step21,-0.01001,-0.03799,-0.34961,0.000703,0.000377,-0.000787,0.01274,-0.0435,-0.34887,0.35181,37.8813,362.8259,39.6757,1.9377,0.3541,1.078,-2.011,0.1117,0.048
22,2026-09-01T16:07:33.821467,0022.png,step22,-0.00642,-0.03848,-0.53343,0.000803,0.000293,-0.000671,0.01736,-0.04508,-0.53267,0.53486,37.8824,362.8231,39.5745,2.0389,0.4553,0.549,-1.505,0.0729,0.048
23,2026-09-01T16:07:35.022559,0023.png,step23,-0.00453,-0.03636,-0.74117,0.0008,0.000341,-0.00043,0.01939,-0.04563,-0.74042,0.74208,37.8815,362.8234,39.4809,2.1325,0.5489,0.46,-1.08,0.0494,0.048
24,2026-09-01T16:07:36.126677,0024.png,step24,-0.00199,-0.03133,-0.91602,0.000653,0.000391,-0.000598,0.02028,-0.04281,-0.91534,0.91656,37.8829,362.8232,39.381,2.2324,0.6488,0.426,-0.712,0.0343,0.048
25,2026-09-01T16:07:37.322239,0025.png,step25,-9e-05,-0.02756,-1.14127,0.000649,0.000354,-0.000533,0.0216,-0.04219,-1.14062,1.14161,37.8827,362.8242,39.2852,2.3282,0.7446,0.31,-0.569,0.0241,0.048
26,2026-09-01T16:07:38.525586,0026.png,step26,-0.00058,-0.02859,-1.35141,0.000666,0.000517,-0.000567,0.02315,-0.0467,-1.35071,1.35171,37.8828,362.8236,39.1905,2.4229,0.8393,0.383,-0.493,0.0212,0.048
27,2026-09-01T16:07:39.723688,0027.png,step27,0.00332,-0.02474,-1.57864,0.000767,0.000525,-0.000677,0.02618,-0.04506,-1.57798,1.57884,37.8812,362.825,39.0928,2.5205,0.9369,0.333,-0.486,0.0158,0.048
28,2026-09-01T16:07:40.922630,0028.png,step28,0.00448,-0.01774,-1.82094,0.000779,0.000559,-0.000557,0.02536,-0.04229,-1.82036,1.82103,37.8829,362.8234,38.9987,2.6147,1.0311,0.307,-0.428,0.01,0.048
29,2026-09-01T16:07:42.020185,0029.png,step29,-0.0008,-0.03195,-2.08805,0.001105,0.000367,-0.000388,0.02974,-0.06152,-2.08717,2.08829,37.8851,362.8142,38.9002,2.7133,1.1297,0.176,-0.529,0.0153,0.048
30,2026-09-01T16:07:43.228864,0030.png,step30,0.00377,-0.01923,-2.34216,0.000991,0.000642,-0.000499,0.02911,-0.05229,-2.34148,2.34224,37.8843,362.8185,38.8052,2.8082,1.2246,0.274,-0.423,0.0084,0.048
