sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_hard_3mm_r1,1,2026-09-03T15:15:42.916007,0001.png,N0.10,0.01593,-0.01173,-0.09949,-0.000867,1.1e-05,5.9e-05,0.02035,-0.00379,-0.0993,0.10144,37.8973,362.928,39.8987,-0.0,0.1708,0.106,8.713,0.195,0.024
9DTact_hard_3mm_r1,2,2026-09-03T15:15:45.004259,0002.png,N0.20,0.01911,-0.01397,-0.22825,-0.00089,-0.000126,-6.9e-05,0.02511,-0.00621,-0.22801,0.22948,37.8993,362.9275,39.7923,0.1064,0.2771,-0.551,3.898,0.1031,0.024
9DTact_hard_3mm_r1,3,2026-09-03T15:15:47.019142,0003.png,N0.30,0.02154,-0.01309,-0.33435,-0.000895,-0.000234,7e-05,0.02751,-0.00593,-0.33412,0.3353,37.9003,362.9262,39.7359,0.1628,0.3336,-0.7,2.677,0.0752,0.024
9DTact_hard_3mm_r1,4,2026-09-03T15:15:50.018534,0004.png,N0.40,0.02572,-0.00874,-0.38248,-0.000759,0.000238,7e-06,0.0293,-0.00084,-0.38232,0.38344,37.9006,362.925,39.6841,0.2147,0.3854,0.622,1.985,0.0709,0.024
9DTact_hard_3mm_r1,5,2026-09-03T15:15:52.202916,0005.png,N0.50,0.0329,-0.01107,-0.53382,-0.001208,0.000113,-5.8e-05,0.03773,-0.0017,-0.53362,0.53495,37.9003,362.9441,39.601,0.2974,0.4681,0.211,2.263,0.0649,0.024
9DTact_hard_3mm_r1,6,2026-09-03T15:15:53.400233,0006.png,N0.60,0.02903,-0.00309,-0.62604,-0.001157,5.2e-05,6.9e-05,0.03103,0.0018,-0.62595,0.62672,37.9048,362.9401,39.5709,0.3276,0.4984,0.083,1.848,0.0466,0.024
9DTact_hard_3mm_r1,7,2026-09-03T15:15:54.715535,0007.png,N0.70,0.03455,-0.01082,-0.70979,-0.001155,0.000227,0.000184,0.04025,-0.00347,-0.70956,0.71071,37.9035,362.9445,39.5256,0.3728,0.5436,0.32,1.627,0.0509,0.024
9DTact_hard_3mm_r1,8,2026-09-03T15:15:55.995985,0008.png,N0.80,0.03715,-0.00588,-0.82069,-0.000976,0.000302,-3.3e-05,0.04081,0.00032,-0.82053,0.82155,37.9043,362.9431,39.4554,0.443,0.6138,0.368,1.19,0.0458,0.024
9DTact_hard_3mm_r1,9,2026-09-03T15:15:57.298947,0009.png,N0.90,0.04285,0.00349,-0.89231,-0.001191,0.000394,0.000341,0.04156,0.01014,-0.89232,0.89335,37.9067,362.9415,39.4423,0.4562,0.627,0.442,1.335,0.0481,0.024
9DTact_hard_3mm_r1,10,2026-09-03T15:15:58.501223,0010.png,N1.00,0.04503,0.00154,-0.99296,-0.001333,0.000279,6.5e-05,0.04512,0.00792,-0.99292,0.99398,37.9043,362.9505,39.3794,0.5189,0.6897,0.281,1.342,0.0453,0.024
9DTact_hard_3mm_r1,11,2026-09-03T15:15:59.796118,0011.png,N1.10,0.04875,0.01193,-1.10299,-0.001438,0.000348,0.000208,0.04391,0.01702,-1.10313,1.10414,37.9082,362.954,39.3381,0.5602,0.7309,0.316,1.304,0.0455,0.024
9DTact_hard_3mm_r1,12,2026-09-03T15:16:01.102431,0012.png,N1.20,0.04787,-0.0027,-1.25181,-0.000872,0.000725,0.000296,0.05149,0.00153,-1.25166,1.25272,37.9107,362.9507,39.2755,0.6228,0.7936,0.579,0.697,0.0383,0.024
9DTact_hard_3mm_r1,13,2026-09-03T15:16:02.398454,0013.png,N1.30,0.05119,0.00435,-1.33069,-0.001217,0.000462,0.000335,0.05139,0.00802,-1.33067,1.33168,37.9112,362.951,39.2517,0.6466,0.8174,0.347,0.915,0.0386,0.024
9DTact_hard_3mm_r1,14,2026-09-03T15:16:04.303162,0014.png,N1.40,0.05224,0.00127,-1.42214,-0.000847,0.000618,0.000158,0.05448,0.00442,-1.42205,1.4231,37.914,362.9427,39.1901,0.7084,0.8791,0.434,0.596,0.0367,0.024
9DTact_hard_3mm_r1,15,2026-09-03T15:16:06.321389,0015.png,N1.50,0.06379,0.01666,-1.53806,-0.00127,0.000785,0.000346,0.05759,0.02166,-1.53824,1.53947,37.9134,362.9579,39.1562,0.742,0.9127,0.51,0.826,0.0428,0.024
9DTact_hard_3mm_r1,16,2026-09-03T15:16:07.598270,0016.png,N1.60,0.05821,0.00055,-1.64405,-0.000841,0.000602,0.000273,0.06155,0.00322,-1.64393,1.64508,37.9178,362.9442,39.1053,0.7932,0.9639,0.366,0.512,0.0354,0.024
9DTact_hard_3mm_r1,17,2026-09-03T15:16:08.901822,0017.png,N1.70,0.06402,0.01756,-1.71347,-0.001052,0.000982,0.000191,0.05856,0.01975,-1.71364,1.71475,37.9146,362.9592,39.0885,0.8097,0.9804,0.573,0.614,0.0387,0.024
