sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_medium_3mm_r1,1,2026-09-03T15:45:21.491074,0001.png,N0.10,-0.00086,-0.01892,-0.12901,0.000108,7.7e-05,-0.000414,0.0096,-0.01889,-0.12866,0.13039,37.8971,362.8781,39.613,-0.0,0.2644,0.6,-0.839,0.1453,0.015
9DTact_medium_3mm_r1,2,2026-09-03T15:45:23.769308,0002.png,N0.20,-0.00177,-0.02028,-0.21175,0.000263,3.7e-05,-0.000381,0.01007,-0.02184,-0.21136,0.21273,37.9003,362.8681,39.478,0.1351,0.3996,0.173,-1.241,0.0957,0.015
9DTact_medium_3mm_r1,3,2026-09-03T15:45:26.274753,0003.png,N0.30,-0.00093,-0.02199,-0.34356,0.000261,-1.5e-05,-0.000425,0.01256,-0.02502,-0.34313,0.34427,37.9005,362.8593,39.2726,0.3407,0.6051,-0.042,-0.759,0.0639,0.015
9DTact_medium_3mm_r1,4,2026-09-03T15:45:28.467080,0004.png,N0.40,-0.00062,-0.0193,-0.45465,0.00031,1e-06,-0.000253,0.01226,-0.02431,-0.45424,0.45506,37.9021,362.8579,39.1618,0.4514,0.7159,0.002,-0.683,0.0424,0.015
9DTact_medium_3mm_r1,5,2026-09-03T15:45:30.576149,0005.png,N0.50,0.00329,-0.01248,-0.52694,0.000137,-2.9e-05,-0.000296,0.01274,-0.01761,-0.52665,0.5271,37.9016,362.8683,39.0667,0.5464,0.8108,-0.056,-0.261,0.0245,0.015
9DTact_medium_3mm_r1,6,2026-09-03T15:45:32.874965,0006.png,N0.60,0.00502,-0.01251,-0.63755,0.00014,6.2e-05,-0.00028,0.01502,-0.01854,-0.63725,0.6377,37.9056,362.8687,38.9392,0.6739,0.9383,0.097,-0.219,0.0211,0.015
9DTact_medium_3mm_r1,7,2026-09-03T15:45:35.077765,0007.png,N0.70,0.0049,-0.01187,-0.72065,0.000102,5.8e-05,-0.000419,0.01518,-0.01938,-0.72034,0.72076,37.9063,362.8616,38.821,0.7922,1.0566,0.081,-0.142,0.0178,0.015
9DTact_medium_3mm_r1,8,2026-09-03T15:45:37.272121,0008.png,N0.80,0.00645,-0.00716,-0.84007,5.3e-05,0.000177,-0.000429,0.01499,-0.01644,-0.83984,0.84013,37.906,362.8706,38.7125,0.9005,1.1649,0.211,-0.063,0.0115,0.015
9DTact_medium_3mm_r1,9,2026-09-03T15:45:39.372449,0009.png,N0.90,0.00948,0.00151,-0.9232,-0.000151,0.000159,-0.000324,0.01386,-0.00874,-0.92311,0.92325,37.9042,362.8765,38.6279,0.9851,1.2495,0.172,0.164,0.0104,0.015
9DTact_medium_3mm_r1,10,2026-09-03T15:45:42.372835,0010.png,N1.00,0.00927,0.00156,-1.023,-0.000155,0.00021,-0.000186,0.01434,-0.01041,-1.02289,1.02304,37.9035,362.8818,38.5421,1.0708,1.3352,0.206,0.151,0.0092,0.015
9DTact_medium_3mm_r1,11,2026-09-03T15:45:44.587590,0011.png,N1.10,0.01095,0.01168,-1.15263,-0.000435,0.000202,-9.4e-05,0.01164,-0.00288,-1.15268,1.15274,37.903,362.8947,38.45,1.1626,1.427,0.175,0.377,0.0139,0.015
9DTact_medium_3mm_r1,12,2026-09-03T15:45:45.879629,0012.png,N1.20,0.00553,0.00533,-1.22515,-0.000191,0.000159,-8e-06,0.01061,-0.01224,-1.22507,1.22518,37.9062,362.8771,38.3958,1.2171,1.4815,0.13,0.156,0.0063,0.015
9DTact_medium_3mm_r1,13,2026-09-03T15:45:47.196759,0013.png,N1.30,0.00864,0.00753,-1.28221,-0.000228,0.000229,-8.4e-05,0.01261,-0.0097,-1.28216,1.28226,37.9042,362.8854,38.3444,1.2683,1.5327,0.178,0.178,0.0089,0.015
9DTact_medium_3mm_r1,14,2026-09-03T15:45:50.292388,0014.png,N1.40,0.01513,0.01093,-1.45612,-0.0003,0.000314,-0.000104,0.01774,-0.0063,-1.45612,1.45624,37.9132,362.8806,38.1926,1.4203,1.6847,0.216,0.206,0.0128,0.015
9DTact_medium_3mm_r1,15,2026-09-03T15:45:52.473872,0015.png,N1.50,0.01662,0.01866,-1.54544,-0.000303,0.000466,-0.000285,0.01579,-0.00029,-1.54556,1.54564,37.9095,362.8931,38.1162,1.4964,1.7608,0.301,0.196,0.0162,0.015
9DTact_medium_3mm_r1,16,2026-09-03T15:45:53.771355,0016.png,N1.60,0.01641,0.02007,-1.61531,-0.000326,0.000436,-0.000252,0.01539,-0.0003,-1.61544,1.61552,37.9106,362.8947,38.0715,1.5411,1.8055,0.27,0.202,0.016,0.015
9DTact_medium_3mm_r1,17,2026-09-03T15:45:55.074827,0017.png,N1.70,0.01874,0.02028,-1.7128,-0.000255,0.000442,-0.000201,0.01797,-0.00051,-1.71293,1.71302,37.9116,362.8894,37.9973,1.6154,1.8798,0.258,0.149,0.0161,0.015
9DTact_medium_3mm_r1,18,2026-09-03T15:45:57.890044,0018.png,N1.80,0.01555,0.02178,-1.81768,-0.000204,0.000501,-0.000242,0.01519,-0.00248,-1.81781,1.81787,37.9151,362.8894,37.9067,1.7059,1.9704,0.275,0.112,0.0147,0.015
9DTact_medium_3mm_r1,19,2026-09-03T15:45:59.981867,0019.png,N1.90,0.0223,0.03251,-1.94363,-0.000477,0.000661,-4.9e-05,0.01655,0.00816,-1.94394,1.94403,37.9143,362.9039,37.8385,1.7739,2.0384,0.34,0.246,0.0203,0.015
9DTact_medium_3mm_r1,20,2026-09-03T15:46:01.278880,0020.png,N2.00,0.02337,0.0368,-2.00998,-0.000542,0.000703,-0.000164,0.0158,0.01135,-2.01036,2.01046,37.9156,362.9017,37.7851,1.8273,2.0918,0.35,0.269,0.0217,0.015
9DTact_medium_3mm_r1,21,2026-09-03T15:46:02.578776,0021.png,N2.10,0.02674,0.03668,-2.12302,-0.000613,0.000587,6.1e-05,0.01955,0.01112,-2.12339,2.12351,37.9135,362.9083,37.7317,1.8807,2.1451,0.276,0.289,0.0214,0.015
