step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.10294045209651159,0.1,0.04023507647764575,1.4552303552627563,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
2,0.1881156427389996,0.2,0.07311139266505791,1.5966119766235352,nan,13259,64.96515051095379,4.799142360687256,12637,63.4230402275432,-4.830188751220703,0,0.0
3,0.29988388274392364,0.30000000000000004,0.14102872604042319,1.8561606407165527,3.954285063332654,35410,106.16662879534242,6.4732208251953125,35328,106.04363092190383,-6.478641033172607,0,0.0
4,0.35202052003952744,0.4,0.2106145496143114,1.8933765888214111,2.151592896572848,36450,107.71441570838682,6.727108478546143,36313,107.51179887338873,-6.736678123474121,0,0.0
5,0.48610268627059483,0.5,0.2839063056877535,2.3044486045837402,3.159481480139607,56333,133.9079938554509,8.513788223266602,56140,133.6784089161672,-8.529269218444824,0,0.0
6,0.5399967019344096,0.6,0.34319374553382714,2.295604944229126,3.1337370841746788,55356,132.74171183011734,8.593822479248047,55265,132.63255957700278,-8.601324081420898,0,0.0
7,0.6826123520182534,0.7,0.49804995524065704,2.700678825378418,2.0047465814270042,68908,148.10164630129083,9.918204307556152,68711,147.88979203979713,-9.935157775878906,0,0.0
8,0.7285337554251754,0.7999999999999999,0.6051945067529203,2.7404913902282715,1.763170321742594,69408,148.63799171222863,10.11336612701416,69048,148.25201860756695,-10.1449613571167,0,0.0
9,0.8663328860448196,0.8999999999999999,0.7266368877988242,3.284087896347046,2.5948081513232664,81164,160.7336417873408,11.794677734375,80936,160.50772239419288,-11.816768646240234,0,0.0
10,0.9229400377826735,0.9999999999999999,0.8475344590706981,3.4376907348632812,2.878148708149141,83962,163.48068590437046,12.271158218383789,83851,163.3725872550136,-12.282029151916504,0,0.0
11,1.0624575450114904,1.0999999999999999,1.0319790447911914,4.32144832611084,3.512545803475424,98311,176.8993024876431,14.394368171691895,98166,176.76879896383863,-14.40989875793457,510,12.741194683142286
12,1.1156882964042651,1.2,1.1054159858312886,4.300211429595947,3.6243256430890667,97304,175.9909803519134,14.455676078796387,97097,175.8036831775362,-14.478089332580566,678,14.690612745308144
13,1.2554964448652015,1.3,1.3092101800728586,5.313609600067139,3.8779666321400974,110625,187.65135533505173,16.582677841186523,110472,187.52154475285158,-16.600013732910156,8442,51.837940344534914
14,1.3163136863284919,1.4000000000000001,1.454584191803312,5.149998664855957,2.597507241011866,108072,185.47341054624144,16.26911163330078,107925,185.34722675666234,-16.28602409362793,11356,60.12260030556835
15,1.455408434964614,1.5000000000000002,1.6893358414459072,5.625871658325195,0.9360713620050528,113581,190.14193430866618,17.232749938964844,113454,190.03560147271295,-17.24752426147461,22583,84.78438629658497
16,1.5090179013255742,1.6000000000000003,1.7949361481137571,6.150321006774902,2.78724785085523,119734,195.22427080752536,18.146320343017578,119500,195.0334109812034,-18.174110412597656,53619,130.64248079123678
17,1.655071760504999,1.7000000000000004,2.0455688639489606,6.646872520446777,2.7059684643922215,126026,200.2880967910934,18.975465774536133,125893,200.18238309435714,-18.991273880004883,111715,188.5735637225488
18,1.7077530938309202,1.8000000000000005,2.200573398392143,7.179615020751953,2.4844369804087014,133318,206.00106166292105,4.972078323364258,131185,204.3464764047097,-19.96796989440918,131520,204.60722428812758
19,1.8563517041866398,1.9000000000000006,2.4683957244575736,7.752807140350342,2.563254025119908,156376,223.1054162540131,5.153907775878906,137383,209.11806974431386,-20.85838508605957,154167,221.52399468973212
20,1.9054966802208106,2.0000000000000004,2.6211261596120523,8.307290077209473,2.620060686279068,174369,235.59154599429368,5.365381240844727,142672,213.10539195809613,-21.742244720458984,172196,234.1189636943236
21,2.055313296336763,2.1000000000000005,2.9072577336289696,8.874953269958496,2.4834980999938185,187319,244.1833114077649,5.592445373535156,148462,217.3865734644574,-22.535120010375977,185406,242.93324753477424
22,2.105314664995227,2.2000000000000006,3.0751743473637276,9.43871784210205,2.4375352813077416,198789,251.54821399602417,5.828002452850342,153800,221.2601647271081,-23.375612258911133,197379,250.65451726444195
23,2.257923228701941,2.3000000000000007,3.3712566340573176,10.02275276184082,2.416282010360206,209019,257.93955512920024,6.045785903930664,159591,225.38720692611935,-24.149442672729492,207690,257.1182223443362
24,2.302932671962253,2.400000000000001,3.5367542601593156,10.593185424804688,2.4388351557376042,217128,262.89539548518934,6.306508541107178,164839,229.06305535517916,-24.929357528686523,215452,261.87879180657234
25,2.4538874383747817,2.500000000000001,3.8727467869258247,11.161077499389648,2.185121981301023,221860,265.7446732273966,6.5436625480651855,170541,232.9911721496543,-25.645870208740234,220067,264.6686640363915
26,2.5088022373974432,2.600000000000001,4.012656421568309,11.724844932556152,2.251696494702528,226614,268.5767609970258,6.828036785125732,175914,236.63297597362748,-26.313079833984375,225374,267.84094587793265
27,2.655734794821612,2.700000000000001,4.341023580446546,12.337718963623047,2.3973441043899206,231409,271.4033390581347,7.124993324279785,181919,240.63793588017043,-26.993125915527344,229882,270.5064015059573
28,2.707467551257448,2.800000000000001,4.531419255506035,12.873430252075195,2.1759659258875725,232211,271.87323697014426,7.405877113342285,187312,244.1787488723337,-27.6250057220459,231255,271.3130161445125
29,2.8606544545004375,2.9000000000000012,4.90466280254206,13.389348030090332,1.798882325757767,232321,271.9376234876381,7.694860935211182,192931,247.8141332759795,-28.124462127685547,231134,271.24202704080403
30,2.9119196108881162,3.0000000000000013,5.1247496600042695,14.028670310974121,1.8872312926480967,233567,272.6658856298115,8.014330863952637,199143,251.77209071757463,-28.763629913330078,232408,271.98853657498586
