t,Fx,Fy,Fz,Tx,Ty,Tz
1788453663.313232,0.0021,-8e-05,-0.01175,-2e-05,-5e-05,0.00018
1788453663.332432,0.00356,-0.00142,-0.03056,0.00013,6e-05,0.00021
1788453663.352846,0.00241,0.00307,-0.01565,8e-05,-1e-05,0.00025
1788453663.373262,0.00313,-0.00648,-0.02207,-8e-05,-0.00013,0.00027
1788453663.393049,0.00241,-0.00368,-0.03579,0.00027,-0.0001,0.00021
1788453663.412953,0.00295,0.006,-0.03355,0.00019,2e-05,0.00012
1788453663.433363,0.00159,0.00311,0.01643,-0.0001,-0.0001,-7e-05
1788453663.452688,-0.00301,-0.0062,-0.00515,0.00013,5e-05,7e-05
1788453663.473018,0.0014,-0.00389,-0.00162,6e-05,3e-05,-9e-05
1788453663.493350,0.00102,-2e-05,-0.00235,0.00011,-2e-05,7e-05
1788453663.512685,0.0058,0.00485,-0.0234,0.00012,-0.00015,7e-05
1788453663.533095,0.00333,-0.00126,0.00101,1e-05,-6e-05,-0.0
1788453663.552375,0.00502,-0.00796,0.01371,-0.00023,-0.00018,0.00027
1788453663.573109,0.00169,-0.00316,-0.01896,-0.00013,-0.00023,0.00018
1788453663.592884,0.01115,0.0004,-0.00889,-1e-05,-2e-05,0.00023
1788453663.612831,-0.00024,-0.0063,-0.00772,-0.00016,-0.00022,0.00017
1788453663.633174,0.00235,-0.00477,-0.04696,0.00012,-4e-05,0.00042
1788453663.652498,0.00384,-0.0043,-0.01254,-0.00014,-4e-05,0.00023
1788453663.672840,0.00714,0.0004,-0.02651,9e-05,-0.00014,7e-05
1788453663.693130,0.00192,0.0079,-0.04525,-1e-05,-0.00014,0.00042
1788453663.712356,0.00411,0.00147,-0.04027,0.00012,-4e-05,0.00037
1788453663.732695,0.00378,-0.00241,-0.06752,0.0004,5e-05,0.00039
1788453663.753029,-0.00266,-0.00169,-0.05537,0.00024,0.00016,0.00033
1788453663.773355,0.00236,0.00151,-0.02236,7e-05,0.00011,0.00027
1788453663.792586,0.00331,0.00351,-0.02882,-4e-05,-6e-05,0.00045
1788453663.812916,0.00297,-0.00131,-0.01446,-4e-05,-7e-05,0.00028
1788453663.833237,0.00658,-0.003,-0.0401,5e-05,3e-05,0.00034
1788453663.852524,0.00341,-0.00229,-0.02005,-0.00011,4e-05,0.00044
1788453663.872832,0.00409,-0.00286,-0.015,1e-05,-6e-05,0.00021
1788453663.893147,0.00354,-0.00185,-0.0353,-5e-05,-0.00016,0.00036
1788453663.912416,0.00398,-0.0003,-0.02689,3e-05,0.00011,0.00028
1788453663.932719,0.00621,-0.00209,-0.03534,-4e-05,2e-05,0.00041
1788453663.953034,0.00842,-0.00416,-0.04674,3e-05,-0.00013,0.00035
1788453663.973336,0.00187,0.00429,-0.02133,-7e-05,-4e-05,0.00034
1788453663.992608,-0.00073,0.00327,-0.0221,2e-05,2e-05,0.0002
1788453664.012892,-0.00017,-0.00056,-0.02154,0.00013,0.00014,0.00014
1788453664.033211,0.00417,0.00145,-0.01838,3e-05,-0.0002,0.00019
1788453664.052464,0.00088,-0.0014,-0.00868,-0.00022,-9e-05,0.00017
1788453664.072800,0.00654,-0.00261,-0.02124,-6e-05,-0.00019,0.00027
1788453664.093212,0.00785,-0.00531,0.01022,-0.0001,-0.00015,5e-05
1788453664.112638,0.00471,-0.00537,-0.01499,7e-05,0.0,0.00015
1788453664.133016,-0.00091,-0.00073,-0.05814,0.00044,0.00011,0.00017
1788453664.153355,-0.00169,0.0,-0.01325,8e-05,3e-05,8e-05
1788453664.172852,0.00484,0.0014,-0.00361,0.00019,7e-05,-0.0
1788453664.192763,0.00092,-0.00048,-0.00493,-1e-05,-2e-05,0.00022
1788453664.213096,0.00516,-0.00106,-0.03584,-2e-05,-0.00012,0.00023
1788453664.232374,0.00393,-0.00252,-0.04564,7e-05,-2e-05,0.00031
1788453664.252702,0.00305,-0.0006,-0.03086,0.0001,-0.00016,0.00043
1788453664.273023,0.00446,-0.00089,-0.03305,-0.00012,-0.00011,0.00044
1788453664.293335,0.00159,0.00505,-0.03483,0.00017,0.00012,0.00018
1788453664.312668,0.00547,-0.00025,-0.03233,-3e-05,-4e-05,0.00041
1788453664.333499,0.0016,-0.00152,-0.03542,8e-05,-1e-05,0.00028
