dataset,run,claimed,best,best_d,claimed_d,second,second_d,margin,agrees,source
20260909_passA_pair010,DIGIT_hard_1mm_r1,hard_1mm_r1,soft_1mm_r1,0.0045,0.0547,soft_2mm_r2,0.0082,1.8,False,reference_working.png
20260909_passA_pair010,DIGIT_hard_1mm_r2,hard_1mm_r2,soft_1mm_r2,0.0034,0.0365,medium_2mm_r2,0.004,1.2,False,reference_working.png
20260909_passA_pair010,DIGIT_hard_2mm_r1,hard_2mm_r1,soft_2mm_r1,0.0047,0.0157,medium_3mm_r2,0.01,2.1,False,reference_working.png
20260909_passA_pair010,DIGIT_hard_2mm_r2,hard_2mm_r2,soft_2mm_r2,0.0017,0.0149,medium_1mm_r1,0.009,5.3,False,reference_working.png
20260909_passA_pair010,DIGIT_hard_3mm_r1,hard_3mm_r1,soft_3mm_r1,0.002,0.0181,medium_1mm_r2,0.0042,2.1,False,reference_working.png
20260909_passA_pair010,DIGIT_hard_3mm_r2,hard_3mm_r2,soft_3mm_r2,0.0015,0.0497,soft_1mm_r2,0.0078,5.1,False,reference_working.png
20260909_passA_pair010,DIGIT_medium_1mm_r1,medium_1mm_r1,medium_1mm_r1,0.0021,0.0021,soft_2mm_r2,0.0061,2.9,True,reference_working.png
20260909_passA_pair010,DIGIT_medium_1mm_r2,medium_1mm_r2,medium_1mm_r2,0.0021,0.0021,soft_3mm_r1,0.0072,3.5,True,reference_working.png
20260909_passA_pair010,DIGIT_medium_2mm_r1,medium_2mm_r1,medium_2mm_r1,0.0013,0.0013,hard_1mm_r2,0.0016,1.2,True,reference_working.png
20260909_passA_pair010,DIGIT_medium_2mm_r2,medium_2mm_r2,medium_2mm_r2,0.0014,0.0014,soft_1mm_r2,0.0066,4.6,True,reference_working.png
20260909_passA_pair010,DIGIT_medium_3mm_r1,medium_3mm_r1,medium_3mm_r1,0.0021,0.0021,soft_2mm_r1,0.0216,10.1,True,reference_working.png
20260909_passA_pair010,DIGIT_medium_3mm_r2,medium_3mm_r2,medium_3mm_r2,0.0004,0.0004,hard_2mm_r1,0.0063,14.9,True,reference_working.png
20260909_passA_pair010,DIGIT_soft_1mm_r1,soft_1mm_r1,hard_1mm_r1,0.0011,0.056,soft_1mm_r2,0.0085,7.7,False,reference_working.png
20260909_passA_pair010,DIGIT_soft_2mm_r1,soft_2mm_r1,hard_2mm_r1,0.001,0.0129,medium_3mm_r2,0.0052,5.2,False,reference_working.png
20260909_passA_pair010,DIGIT_soft_3mm_r1,soft_3mm_r1,hard_3mm_r1,0.0019,0.02,soft_2mm_r2,0.0096,5.1,False,reference_working.png
20260909_passA_pair010,DIGIT_soft_3mm_r2,soft_3mm_r2,medium_3mm_r2,0.0057,0.0201,hard_2mm_r1,0.007,1.2,False,reference_working.png
