sample_index,t_rel_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
0,0.000000,3.548209658,9.189049532,103.224467327,-0.026474520,-0.040456409,-0.968815655
1,0.000500,3.614446667,9.219003117,103.255825164,-0.026922287,-0.041531148,-0.968446123
2,0.001000,3.611340443,9.198280436,103.221640487,-0.026353973,-0.040898676,-0.968229621
3,0.001500,3.582958157,9.210417220,103.220570683,-0.027005581,-0.041322244,-0.968020250
4,0.002000,3.559932104,9.226333604,103.312365231,-0.026914706,-0.041966018,-0.968660846
5,0.002500,3.569233719,9.223114545,103.300011488,-0.027287805,-0.042251027,-0.968443181
6,0.003000,3.589988150,9.238056443,103.255119882,-0.026442576,-0.042585913,-0.968492075
7,0.003500,3.598474283,9.190691624,103.268468983,-0.027142050,-0.041234450,-0.968775479
8,0.004000,3.575888653,9.180888299,103.302728138,-0.027411907,-0.042020583,-0.969121276
9,0.004500,3.583253394,9.220130630,103.301806856,-0.026941871,-0.041720354,-0.968769111
10,0.005000,3.581891507,9.182709039,103.310797671,-0.026851364,-0.041537164,-0.968290327
11,0.005500,3.598031027,9.188180192,103.335603005,-0.026983618,-0.040913233,-0.968705427
12,0.006000,3.599133165,9.191473569,103.404729455,-0.027143224,-0.041849209,-0.969363541
13,0.006500,3.606029124,9.194436943,103.347389601,-0.026933018,-0.041378571,-0.968937698
14,0.007000,3.573218822,9.184750336,103.223309259,-0.026843602,-0.040644333,-0.968578673
15,0.007500,3.562945342,9.218389673,103.258997205,-0.025893615,-0.041147766,-0.969151944
16,0.008000,3.563580019,9.216473000,103.234189444,-0.026082851,-0.040641295,-0.968463655
17,0.008500,3.589838806,9.240957196,103.348640709,-0.026431563,-0.041526125,-0.969185539
18,0.009000,3.565375468,9.200406922,103.360956949,-0.026566027,-0.041492172,-0.969525760
19,0.009500,3.590293342,9.193281643,103.358820776,-0.026954734,-0.041058611,-0.968923634
20,0.010000,3.567950514,9.211331235,103.256845835,-0.027195353,-0.041522976,-0.968692356
21,0.010500,3.612928846,9.211436074,103.210449262,-0.026616006,-0.041736219,-0.968379598
22,0.011000,3.598598887,9.217784245,103.208733001,-0.026939007,-0.041010831,-0.967785224
23,0.011500,3.565774206,9.221478856,103.200060685,-0.026581274,-0.041600540,-0.968520222
24,0.012000,3.584825508,9.231008643,103.253255424,-0.027214308,-0.041943697,-0.967893082
25,0.012500,3.577115393,9.188200733,103.391147492,-0.027539759,-0.041914544,-0.968805339
26,0.013000,3.577445719,9.181770413,103.414520872,-0.027768989,-0.040567578,-0.968741868
27,0.013500,3.550511234,9.183224521,103.334638127,-0.026875172,-0.041518728,-0.968627343
28,0.014000,3.574741730,9.187580796,103.322962932,-0.027003237,-0.041585832,-0.968514488
29,0.014500,3.597605252,9.159252063,103.266000781,-0.027187443,-0.040323176,-0.968053559
30,0.015000,3.592046709,9.182437034,103.336405072,-0.027570339,-0.040569846,-0.968808751
31,0.015500,3.595713826,9.168957567,103.301193630,-0.026582987,-0.040600215,-0.968497542
32,0.016000,3.596816626,9.199322179,103.312047818,-0.026541847,-0.041309370,-0.968511191
33,0.016500,3.533643495,9.209811682,103.269786048,-0.026517655,-0.041059932,-0.969030950
34,0.017000,3.573416178,9.195517893,103.234708669,-0.026766045,-0.041050609,-0.968697389
35,0.017500,3.574336398,9.220230339,103.243606646,-0.026764158,-0.040516793,-0.967980752
36,0.018000,3.558634782,9.213432575,103.280513004,-0.026831103,-0.041029444,-0.968893331
37,0.018500,3.559925114,9.188643662,103.197684236,-0.027359146,-0.041290021,-0.967929596
38,0.019000,3.567638724,9.213839138,103.242344056,-0.026992300,-0.042043135,-0.968028203
39,0.019500,3.561496696,9.255287231,103.264956997,-0.027058177,-0.042169584,-0.968016924
40,0.020000,3.558821597,9.244257159,103.250557716,-0.026416560,-0.041741269,-0.967210868
41,0.020500,3.588608385,9.208554940,103.275995721,-0.026296436,-0.042184311,-0.968112654
42,0.021000,3.558832138,9.224200132,103.291912414,-0.026753546,-0.041435720,-0.969012047
43,0.021500,3.560450359,9.206319931,103.287877993,-0.027235206,-0.041476123,-0.968086239
44,0.022000,3.575284457,9.178840368,103.276420441,-0.027241554,-0.041503093,-0.968089316
45,0.022500,3.601232565,9.188192211,103.266099589,-0.027873957,-0.040644609,-0.968060305
46,0.023000,3.607170773,9.199620019,103.299809397,-0.027249303,-0.040352539,-0.968022963
47,0.023500,3.558951658,9.206188089,103.349292554,-0.026887509,-0.041655854,-0.969426775
48,0.024000,3.557310555,9.225670896,103.247108111,-0.026382781,-0.041630903,-0.969061576
49,0.024500,3.565593798,9.216986594,103.246778106,-0.026618971,-0.040763246,-0.968799251
50,0.025000,3.589137843,9.195555475,103.234590919,-0.026753178,-0.041162047,-0.968694762
51,0.025500,3.607423005,9.225056165,103.315200337,-0.027070308,-0.041988695,-0.969333809
52,0.026000,3.573951779,9.223349688,103.314160600,-0.026568772,-0.041435345,-0.968986776
53,0.026500,3.582996083,9.195736949,103.245474268,-0.027115293,-0.042164745,-0.968830840
54,0.027000,3.581686632,9.213090661,103.221512573,-0.026628666,-0.041929508,-0.968387514
55,0.027500,3.575354770,9.225695583,103.231582907,-0.026901067,-0.041669458,-0.968025412
56,0.028000,3.583352867,9.231952334,103.243369503,-0.026850466,-0.042134796,-0.968257683
57,0.028500,3.575346587,9.216699962,103.290998366,-0.026972845,-0.041876501,-0.968901983
58,0.029000,3.588730341,9.177203866,103.277954894,-0.026706013,-0.041277653,-0.968425984
59,0.029500,3.643895022,9.173375650,103.240143010,-0.026682849,-0.041681516,-0.967525006
60,0.030000,3.591075774,9.198661929,103.289737420,-0.027088944,-0.042007716,-0.968667250
61,0.030500,3.591236977,9.183699490,103.279084539,-0.027378033,-0.040671520,-0.968518443
62,0.031000,3.591088563,9.172404860,103.302603511,-0.027462514,-0.040261161,-0.968714799
63,0.031500,3.565115056,9.189048719,103.325952583,-0.026645510,-0.040881457,-0.969075281
64,0.032000,3.566974490,9.209219149,103.234929298,-0.027031894,-0.040995879,-0.968697767
65,0.032500,3.549881827,9.200033304,103.294426291,-0.026759250,-0.041077264,-0.969579086
66,0.033000,3.572659148,9.187215468,103.211734919,-0.026645146,-0.041158089,-0.968606100
67,0.033500,3.589863809,9.196464885,103.210761264,-0.026922787,-0.041277061,-0.968371616
68,0.034000,3.590501715,9.241275961,103.301206097,-0.026603099,-0.041436700,-0.968530630
69,0.034500,3.576424915,9.235791329,103.323907806,-0.027013889,-0.042178499,-0.968766199
70,0.035000,3.577303057,9.238957563,103.275987581,-0.027163501,-0.042713762,-0.968130643
71,0.035500,3.552082421,9.231371483,103.277059664,-0.026880826,-0.041911039,-0.968232218
72,0.036000,3.630696943,9.209182552,103.220478349,-0.027156587,-0.041351325,-0.968001634
73,0.036500,3.577125353,9.179859651,103.255554441,-0.027773049,-0.041625925,-0.968455630
74,0.037000,3.575146398,9.177701264,103.289197586,-0.027252702,-0.041291368,-0.968418416
75,0.037500,3.583993474,9.199084195,103.345692661,-0.027273919,-0.041225495,-0.968478859
76,0.038000,3.584841795,9.210212704,103.369644517,-0.027375192,-0.041739500,-0.968935292
77,0.038500,3.599432031,9.159153626,103.256448206,-0.027727788,-0.040237485,-0.968403182
78,0.039000,3.583732400,9.160654757,103.368960557,-0.027554148,-0.040841600,-0.968672845
79,0.039500,3.582206130,9.208432277,103.315700821,-0.026852117,-0.041195861,-0.969319331
80,0.040000,3.564840529,9.199646362,103.223232757,-0.026562555,-0.040880615,-0.968591908
81,0.040500,3.589761635,9.262322396,103.257320292,-0.026271050,-0.041931559,-0.968820882
82,0.041000,3.574475967,9.195458114,103.337775395,-0.026952200,-0.041361016,-0.969305432
83,0.041500,3.582734741,9.198574131,103.280471756,-0.027099283,-0.040904600,-0.968877469
84,0.042000,3.574859927,9.188341093,103.246464817,-0.027177041,-0.041487682,-0.968927668
85,0.042500,3.574972587,9.215475900,103.246715893,-0.026981294,-0.041461218,-0.968930038
86,0.043000,3.592238134,9.224156057,103.220673562,-0.027258564,-0.041378953,-0.968018002
87,0.043500,3.575351010,9.234733390,103.232154506,-0.026836584,-0.041659569,-0.968141465
88,0.044000,3.575906924,9.241306065,103.244300445,-0.026970557,-0.041135925,-0.968230092
89,0.044500,3.577439129,9.208724208,103.266633328,-0.027564227,-0.042015626,-0.968460663
90,0.045000,3.553377756,9.212900052,103.312334784,-0.027376304,-0.041937753,-0.968658854
91,0.045500,3.567447961,9.199191350,103.299803303,-0.027103330,-0.041007208,-0.968174488
92,0.046000,3.583287162,9.172917994,103.281459701,-0.027465012,-0.041247317,-0.969229505
93,0.046500,3.591899886,9.184018255,103.231649927,-0.027549568,-0.040582095,-0.967863534
94,0.047000,3.584055868,9.222444852,103.256175986,-0.027282378,-0.040066433,-0.968180813
95,0.047500,3.582344189,9.209571382,103.302923676,-0.026840969,-0.041407586,-0.968990232
96,0.048000,3.574920812,9.187771833,103.221396141,-0.027176670,-0.041286444,-0.968250115
97,0.048500,3.541465875,9.188342981,103.257716611,-0.026664729,-0.041347294,-0.968929088
98,0.049000,3.582791865,9.207042678,103.255974679,-0.027034429,-0.040693474,-0.968315969
99,0.049500,3.582696155,9.209256731,103.234811548,-0.027019027,-0.041107317,-0.968695140
100,0.050000,3.567370128,9.193485315,103.266755148,-0.027143562,-0.041639463,-0.968454295
101,0.050500,3.596189844,9.227776106,103.288408724,-0.028130451,-0.042346573,-0.968326085
