sample_index,t_rel_s,SG0_ai16_V,SG1_ai18_V,SG2_ai17_V,SG3_ai19_V,SG4_ai20_V,SG5_ai21_V
0,0.000000,1.050226139,1.265882738,1.171861716,0.825693469,1.031487686,1.063047185
1,0.000500,1.049568649,1.265882738,1.171861716,0.825364724,1.031158941,1.062060951
2,0.001000,1.048582415,1.266540228,1.172190461,0.826022214,1.032145175,1.061732206
3,0.001500,1.048911159,1.266540228,1.172847950,0.826022214,1.031816431,1.062060951
4,0.002000,1.049239904,1.267855208,1.173176695,0.826022214,1.031487686,1.061732206
5,0.002500,1.048911159,1.266211483,1.171532971,0.825364724,1.030830196,1.061732206
6,0.003000,1.048253670,1.266868973,1.172519206,0.825364724,1.032145175,1.061403461
7,0.003500,1.047924925,1.266868973,1.171532971,0.824378490,1.031816431,1.062389696
8,0.004000,1.048253670,1.266211483,1.173505440,0.824707235,1.031816431,1.061403461
9,0.004500,1.048582415,1.267855208,1.174820419,0.826022214,1.032473920,1.061403461
10,0.005000,1.049568649,1.266540228,1.172847950,0.825693469,1.031487686,1.062389696
11,0.005500,1.049239904,1.266211483,1.173176695,0.826022214,1.032145175,1.062060951
12,0.006000,1.048911159,1.266868973,1.174162930,0.825035980,1.031816431,1.062718441
13,0.006500,1.049897394,1.266540228,1.172847950,0.825364724,1.031487686,1.062718441
14,0.007000,1.050554883,1.266540228,1.172519206,0.826350958,1.032473920,1.063375930
15,0.007500,1.049568649,1.265225249,1.171532971,0.824707235,1.030830196,1.063047185
16,0.008000,1.049568649,1.265553994,1.172847950,0.825035980,1.030830196,1.062718441
17,0.008500,1.049568649,1.265553994,1.171204226,0.824707235,1.031158941,1.061403461
18,0.009000,1.049239904,1.265882738,1.171204226,0.825693469,1.030172707,1.061732206
19,0.009500,1.049239904,1.266868973,1.172190461,0.825364724,1.032145175,1.062060951
20,0.010000,1.049239904,1.266540228,1.172519206,0.824378490,1.030172707,1.062060951
21,0.010500,1.048911159,1.266868973,1.172190461,0.825364724,1.030830196,1.062060951
22,0.011000,1.048253670,1.265553994,1.172190461,0.825035980,1.030830196,1.061403461
23,0.011500,1.048582415,1.266540228,1.172847950,0.824707235,1.030830196,1.060745972
24,0.012000,1.047924925,1.265882738,1.172519206,0.824049745,1.030830196,1.061403461
25,0.012500,1.048582415,1.266211483,1.172847950,0.823063511,1.031158941,1.061732206
26,0.013000,1.048582415,1.266211483,1.171532971,0.825035980,1.030830196,1.062389696
27,0.013500,1.047924925,1.265882738,1.171861716,0.824049745,1.030501452,1.062060951
28,0.014000,1.049568649,1.266540228,1.173505440,0.826350958,1.032473920,1.062060951
29,0.014500,1.048911159,1.266211483,1.172847950,0.825693469,1.031487686,1.061732206
30,0.015000,1.049568649,1.265882738,1.172519206,0.823721001,1.030830196,1.062718441
31,0.015500,1.050554883,1.266868973,1.174162930,0.826350958,1.032145175,1.062060951
32,0.016000,1.049897394,1.267197718,1.173176695,0.827008448,1.032145175,1.063375930
33,0.016500,1.050554883,1.265553994,1.172190461,0.825364724,1.031816431,1.062389696
34,0.017000,1.049897394,1.266868973,1.172190461,0.825693469,1.032145175,1.062060951
35,0.017500,1.049897394,1.265882738,1.170875481,0.825035980,1.030172707,1.061732206
36,0.018000,1.049239904,1.267197718,1.173505440,0.826350958,1.032473920,1.062060951
37,0.018500,1.049239904,1.266211483,1.172190461,0.825035980,1.031158941,1.062718441
38,0.019000,1.049239904,1.266211483,1.171532971,0.825693469,1.031487686,1.062389696
39,0.019500,1.048582415,1.266211483,1.172190461,0.825035980,1.031158941,1.061403461
40,0.020000,1.048582415,1.266868973,1.172847950,0.823721001,1.031158941,1.061732206
41,0.020500,1.048253670,1.266868973,1.173505440,0.824378490,1.032473920,1.061074717
42,0.021000,1.047596180,1.265882738,1.173176695,0.824707235,1.031816431,1.062060951
43,0.021500,1.048582415,1.266540228,1.174162930,0.826022214,1.032473920,1.062389696
44,0.022000,1.049897394,1.266868973,1.173176695,0.825693469,1.031487686,1.062389696
45,0.022500,1.049568649,1.265553994,1.172847950,0.826022214,1.031816431,1.062389696
46,0.023000,1.049568649,1.266540228,1.173834185,0.825035980,1.031158941,1.062389696
47,0.023500,1.049239904,1.265553994,1.172190461,0.824707235,1.031158941,1.063047185
48,0.024000,1.051212373,1.266211483,1.172847950,0.825693469,1.032145175,1.064362164
49,0.024500,1.049239904,1.266211483,1.173505440,0.827008448,1.032145175,1.062060951
50,0.025000,1.048911159,1.266868973,1.172519206,0.824707235,1.031158941,1.061403461
51,0.025500,1.049239904,1.266868973,1.172190461,0.826350958,1.031487686,1.062389696
52,0.026000,1.049568649,1.266211483,1.172190461,0.825693469,1.030501452,1.062060951
53,0.026500,1.049239904,1.266540228,1.172190461,0.825693469,1.032145175,1.062060951
54,0.027000,1.049239904,1.266868973,1.172190461,0.826022214,1.031816431,1.062718441
55,0.027500,1.049568649,1.267197718,1.172847950,0.826022214,1.031487686,1.062060951
56,0.028000,1.048582415,1.266868973,1.172847950,0.825693469,1.031158941,1.061732206
57,0.028500,1.047596180,1.266211483,1.173176695,0.825364724,1.031816431,1.060417227
58,0.029000,1.048582415,1.267526463,1.173834185,0.826350958,1.032145175,1.061732206
59,0.029500,1.049568649,1.266211483,1.173176695,0.824707235,1.031816431,1.062060951
60,0.030000,1.049568649,1.265882738,1.172519206,0.826022214,1.031816431,1.062060951
61,0.030500,1.049568649,1.265225249,1.172190461,0.825693469,1.031158941,1.063375930
62,0.031000,1.049568649,1.266540228,1.173505440,0.825364724,1.030501452,1.062060951
63,0.031500,1.050226139,1.265553994,1.172847950,0.825693469,1.031487686,1.063047185
64,0.032000,1.050554883,1.266540228,1.173176695,0.825364724,1.032145175,1.063047185
65,0.032500,1.050883628,1.264896504,1.171861716,0.825035980,1.030830196,1.063047185
66,0.033000,1.049239904,1.266868973,1.172847950,0.826022214,1.032145175,1.062389696
67,0.033500,1.049239904,1.266540228,1.171532971,0.826022214,1.031487686,1.061403461
68,0.034000,1.049568649,1.265882738,1.172190461,0.825364724,1.031487686,1.062060951
69,0.034500,1.049239904,1.265882738,1.171532971,0.825693469,1.030501452,1.062060951
70,0.035000,1.048911159,1.266211483,1.171861716,0.825035980,1.030830196,1.061732206
71,0.035500,1.048911159,1.266540228,1.171861716,0.825035980,1.030501452,1.061732206
72,0.036000,1.048911159,1.266868973,1.173505440,0.825035980,1.031158941,1.061732206
73,0.036500,1.048582415,1.267526463,1.173505440,0.825364724,1.032802665,1.061074717
74,0.037000,1.046938691,1.266540228,1.172519206,0.824378490,1.031487686,1.062060951
75,0.037500,1.047924925,1.266211483,1.173176695,0.825035980,1.031487686,1.062060951
76,0.038000,1.048911159,1.265553994,1.173505440,0.825693469,1.031816431,1.062718441
77,0.038500,1.049568649,1.266211483,1.173834185,0.825693469,1.032145175,1.062718441
78,0.039000,1.049239904,1.265553994,1.172519206,0.825693469,1.031158941,1.062718441
79,0.039500,1.049568649,1.265882738,1.172519206,0.825364724,1.030830196,1.062389696
80,0.040000,1.050554883,1.266540228,1.173176695,0.825693469,1.031158941,1.063704675
81,0.040500,1.049568649,1.266211483,1.173176695,0.826022214,1.031487686,1.062060951
82,0.041000,1.048582415,1.266211483,1.171861716,0.825693469,1.031158941,1.061732206
83,0.041500,1.048582415,1.266868973,1.172519206,0.826679703,1.030501452,1.061732206
84,0.042000,1.049239904,1.266540228,1.171861716,0.825364724,1.030172707,1.061732206
85,0.042500,1.049239904,1.266540228,1.171861716,0.826350958,1.031158941,1.061732206
86,0.043000,1.048582415,1.266540228,1.171861716,0.825364724,1.031158941,1.061074717
87,0.043500,1.048582415,1.266211483,1.172519206,0.825035980,1.031487686,1.061403461
88,0.044000,1.048253670,1.266540228,1.173176695,0.825035980,1.031816431,1.061074717
89,0.044500,1.048253670,1.266211483,1.173176695,0.824707235,1.030830196,1.061403461
90,0.045000,1.048582415,1.266540228,1.173505440,0.826022214,1.031816431,1.061403461
91,0.045500,1.048911159,1.267197718,1.174820419,0.825364724,1.031816431,1.062389696
92,0.046000,1.048911159,1.266211483,1.172519206,0.826350958,1.031487686,1.062389696
93,0.046500,1.049239904,1.266868973,1.172847950,0.825693469,1.031158941,1.062389696
94,0.047000,1.049897394,1.266540228,1.173834185,0.826350958,1.031487686,1.062060951
95,0.047500,1.050554883,1.265225249,1.173176695,0.825035980,1.030830196,1.063047185
96,0.048000,1.050554883,1.266868973,1.173834185,0.826350958,1.032145175,1.063047185
97,0.048500,1.049239904,1.266540228,1.172519206,0.826350958,1.031487686,1.061732206
98,0.049000,1.048582415,1.267526463,1.173176695,0.826679703,1.031816431,1.062060951
99,0.049500,1.048582415,1.267197718,1.173176695,0.827337193,1.032145175,1.061732206
100,0.050000,1.050554883,1.266540228,1.172847950,0.825693469,1.031816431,1.062718441
101,0.050500,1.048911159,1.266868973,1.172519206,0.825693469,1.032145175,1.062718441
102,0.051000,1.049239904,1.266540228,1.172190461,0.825035980,1.030830196,1.062389696
103,0.051500,1.048911159,1.266540228,1.173176695,0.825364724,1.031487686,1.061732206
104,0.052000,1.048911159,1.265553994,1.171861716,0.824707235,1.030830196,1.062389696
105,0.052500,1.048582415,1.265882738,1.172519206,0.824707235,1.031487686,1.061074717
106,0.053000,1.048582415,1.266211483,1.172847950,0.825364724,1.031487686,1.061732206
107,0.053500,1.049568649,1.266211483,1.173834185,0.826679703,1.032473920,1.062389696
