channel,mode,zero_mean_V,zero_std_V,loaded_mean_V,loaded_std_V,delta_mV
Dev1/ai0,RSE,1.190732326,0.000831787,1.131321892,0.000860038,-59.4104
Dev1/ai1,RSE,1.285758433,0.000906180,1.194884812,0.000901948,-90.8736
Dev1/ai2,RSE,1.401093311,0.000869588,1.396654817,0.000844706,-4.4385
Dev1/ai3,RSE,0.949029292,0.000878686,0.939479257,0.000869618,-9.5500
Dev1/ai4,RSE,1.169531792,0.000852666,1.030769269,0.000847915,-138.7625
Dev1/ai5,RSE,1.208216839,0.000428406,1.069582193,0.000481211,-138.6346
Dev1/ai6,RSE,-1.545401322,0.000683426,-1.545384666,0.000663551,0.0167
Dev1/ai7,RSE,-1.499158257,0.000496960,-1.499268606,0.000546866,-0.1103
Dev1/ai8,RSE,0.005435584,0.000895087,0.005409394,0.000883616,-0.0262
Dev1/ai9,RSE,0.031022212,0.000512341,0.030476387,0.000572863,-0.5458
Dev1/ai10,RSE,0.005437666,0.001010153,0.005429447,0.000844955,-0.0082
Dev1/ai11,RSE,0.005425941,0.000849818,0.005435584,0.000841080,0.0096
Dev1/ai12,RSE,0.005424735,0.000753714,0.005406216,0.000750293,-0.0185
Dev1/ai13,RSE,0.005434269,0.000797559,0.005397997,0.000780784,-0.0363
Dev1/ai14,RSE,-0.069427883,0.000461444,-0.067010185,0.000556628,2.4177
Dev1/ai15,RSE,-0.015962948,0.001813108,-0.013712801,0.001802631,2.2501
Dev1/ai16,RSE,-1.161345343,0.000790200,-1.160780231,0.000790503,0.5651
Dev1/ai17,RSE,-1.110637381,0.000756458,-1.110129580,0.000758400,0.5078
Dev1/ai18,RSE,-1.111357222,0.000723923,-1.110870790,0.000726066,0.4864
Dev1/ai19,RSE,-1.075159275,0.000715571,-1.074701772,0.000715766,0.4575
Dev1/ai20,RSE,-1.112772905,0.000701353,-1.112339072,0.000702417,0.4338
Dev1/ai21,RSE,-1.078927892,0.000703772,-1.078513565,0.000687746,0.4143
Dev1/ai22,RSE,-1.095918285,0.000699345,-1.095534640,0.000668017,0.3836
Dev1/ai23,RSE,-1.062365197,0.000684704,-1.061989332,0.000664564,0.3759
Dev1/ai24,RSE,-0.563657925,0.001130876,-0.562312922,0.001099251,1.3450
Dev1/ai25,RSE,-0.474257497,0.001188502,-0.472823843,0.001163320,1.4337
Dev1/ai26,RSE,-0.444201153,0.001212756,-0.442714351,0.001189861,1.4868
Dev1/ai27,RSE,-0.389044944,0.001241200,-0.387520118,0.001212561,1.5248
Dev1/ai28,RSE,-0.396022109,0.001232875,-0.394491912,0.001208553,1.5302
Dev1/ai29,RSE,-0.367137738,0.001246353,-0.365577078,0.001217043,1.5607
Dev1/ai30,RSE,-0.376488657,0.001236436,-0.374912327,0.001207672,1.5763
Dev1/ai31,RSE,-0.341935086,0.001236256,-0.340374536,0.001201711,1.5606
Dev1/ai0,DIFF,1.185430658,0.000721217,1.125903739,0.000742607,-59.5269
Dev1/ai1,DIFF,1.259506294,0.000816760,1.169053578,0.000838938,-90.4527
Dev1/ai2,DIFF,1.395794492,0.000640361,1.391238854,0.000633367,-4.5556
Dev1/ai3,DIFF,0.943740118,0.000594947,0.934084994,0.000602982,-9.6551
Dev1/ai4,DIFF,1.164236480,0.000599911,1.025378074,0.000610320,-138.8584
Dev1/ai5,DIFF,1.196622447,0.000729355,1.057894549,0.000696908,-138.7279
Dev1/ai6,DIFF,-1.484416587,0.000623608,-1.486871870,0.000695683,-2.4553
Dev1/ai7,DIFF,-1.478301939,0.001871373,-1.480755140,0.001943822,-2.4532
Dev1/ai16,DIFF,-1.485798957,0.001931520,-1.488316592,0.001984728,-2.5176
Dev1/ai17,DIFF,-1.485208861,0.001867013,-1.487771753,0.001939353,-2.5629
Dev1/ai18,DIFF,-1.483274528,0.001820710,-1.485851447,0.001910208,-2.5769
Dev1/ai19,DIFF,-1.483386520,0.001781795,-1.485973082,0.001887176,-2.5866
Dev1/ai20,DIFF,-1.498422308,0.001758576,-1.500997363,0.001861209,-2.5751
Dev1/ai21,DIFF,-1.483111252,0.001744922,-1.485724661,0.001864475,-2.6134
Dev1/ai22,DIFF,-1.485474267,0.001743861,-1.488089649,0.001835918,-2.6154
Dev1/ai23,DIFF,-1.479659544,0.001719152,-1.482264187,0.001816338,-2.6046
