sensor,width_px,density_px_per_mm2,mae_N,principle,measure
hard_1mm_r1,8,0.16359452992262702,0.083163745701313,9DTact,fz_mae
hard_1mm_r1,16,0.6543781196905081,0.03855612128973,9DTact,fz_mae
hard_1mm_r1,32,2.6175124787620323,0.0539974123239517,9DTact,fz_mae
hard_1mm_r1,48,5.889403077214571,0.0683121606707573,9DTact,fz_mae
hard_1mm_r1,80,16.3594529922627,0.0693055763840675,9DTact,fz_mae
hard_1mm_r1,160,65.4378119690508,0.0365184023976326,9DTact,fz_mae
hard_1mm_r1,320,261.7512478762032,0.0328350290656089,9DTact,fz_mae
hard_1mm_r1,426,463.88251425372886,0.0242258328944444,9DTact,fz_mae
hard_1mm_r1,640,1047.0049915048128,0.0303027462214231,9DTact,fz_mae
hard_1mm_r1,854,1864.2516903914163,0.0327249839901924,9DTact,fz_mae
hard_1mm_r1,1280,4188.019966019251,0.0409855954349041,9DTact,fz_mae
hard_1mm_r1,1920,9423.044923543315,0.0304008014500141,9DTact,fz_mae
hard_2mm_r1,8,0.13755197964550997,0.0766839459538459,9DTact,fz_mae
hard_2mm_r1,16,0.5502079185820399,0.0503467433154583,9DTact,fz_mae
hard_2mm_r1,32,2.2008316743281595,0.0624919272959232,9DTact,fz_mae
hard_2mm_r1,48,4.95187126723836,0.0439369529485702,9DTact,fz_mae
hard_2mm_r1,80,13.755197964550996,0.0371114835143089,9DTact,fz_mae
hard_2mm_r1,160,55.020791858203985,0.0398632921278476,9DTact,fz_mae
hard_2mm_r1,320,220.08316743281594,0.0368035361170768,9DTact,fz_mae
hard_2mm_r1,426,390.03723528357153,0.0375798009335994,9DTact,fz_mae
hard_2mm_r1,640,880.3326697312638,0.0316695086658,9DTact,fz_mae
hard_2mm_r1,854,1567.482181049137,0.0312153156846761,9DTact,fz_mae
hard_2mm_r1,1280,3521.330678925055,0.049860306084156,9DTact,fz_mae
hard_2mm_r1,1920,7922.994027581375,0.0742078945040702,9DTact,fz_mae
hard_3mm_r1,8,0.10372006480064849,0.1323567926883697,9DTact,fz_mae
hard_3mm_r1,16,0.41488025920259397,0.0469920635223388,9DTact,fz_mae
hard_3mm_r1,32,1.6595210368103759,0.0444246232509613,9DTact,fz_mae
hard_3mm_r1,48,3.733922332823346,0.0412977263331413,9DTact,fz_mae
hard_3mm_r1,80,10.37200648006485,0.0559950321912765,9DTact,fz_mae
hard_3mm_r1,160,41.4880259202594,0.05998395383358,9DTact,fz_mae
