sensor,hardness,thickness_mm,width_px,density_px_per_mm2,res,principle
hard_1mm_r1,hard,1,8,0.16359452992262702,0.134299948811531,9DTact
hard_1mm_r1,hard,1,16,0.6543781196905081,0.0759457647800445,9DTact
hard_1mm_r1,hard,1,32,2.6175124787620323,0.0637075453996658,9DTact
hard_1mm_r1,hard,1,48,5.889403077214571,0.0828374102711677,9DTact
hard_1mm_r1,hard,1,80,16.3594529922627,0.0613519251346588,9DTact
hard_1mm_r1,hard,1,160,65.4378119690508,0.0612552426755428,9DTact
hard_1mm_r1,hard,1,320,261.7512478762032,0.051115084439516,9DTact
hard_1mm_r1,hard,1,426,463.88251425372886,0.0716292038559913,9DTact
hard_1mm_r1,hard,1,640,1047.0049915048128,0.0476574897766113,9DTact
hard_1mm_r1,hard,1,854,1864.2516903914163,0.0526125244796276,9DTact
hard_1mm_r1,hard,1,1280,4188.019966019251,0.0536092780530452,9DTact
hard_1mm_r1,hard,1,1920,9423.044923543315,0.0536636747419834,9DTact
hard_2mm_r1,hard,2,8,0.13755197964550997,0.120123453438282,9DTact
hard_2mm_r1,hard,2,16,0.5502079185820399,0.0865676552057266,9DTact
hard_2mm_r1,hard,2,32,2.2008316743281595,0.0699442476034164,9DTact
hard_2mm_r1,hard,2,48,4.95187126723836,0.0676750093698501,9DTact
hard_2mm_r1,hard,2,80,13.755197964550996,0.0514483824372291,9DTact
hard_2mm_r1,hard,2,160,55.020791858203985,0.0690074786543846,9DTact
hard_2mm_r1,hard,2,320,220.08316743281594,0.0564362369477748,9DTact
hard_2mm_r1,hard,2,426,390.03723528357153,0.0638133212924003,9DTact
hard_2mm_r1,hard,2,640,880.3326697312638,0.066902570426464,9DTact
hard_2mm_r1,hard,2,854,1567.482181049137,0.0731028839945793,9DTact
hard_2mm_r1,hard,2,1280,3521.330678925055,0.0833378508687019,9DTact
hard_2mm_r1,hard,2,1920,7922.994027581375,0.0800806805491447,9DTact
hard_3mm_r1,hard,3,8,0.10372006480064849,0.2084192782640457,9DTact
hard_3mm_r1,hard,3,16,0.41488025920259397,0.0903895944356918,9DTact
hard_3mm_r1,hard,3,32,1.6595210368103759,0.0671172365546226,9DTact
hard_3mm_r1,hard,3,48,3.733922332823346,0.0627580732107162,9DTact
hard_3mm_r1,hard,3,80,10.37200648006485,0.0744953006505966,9DTact
hard_3mm_r1,hard,3,160,41.4880259202594,0.0780157521367073,9DTact
hard_3mm_r1,hard,3,320,165.9521036810376,0.0830427110195159,9DTact
hard_3mm_r1,hard,3,426,294.1047262462889,0.0739272087812423,9DTact
hard_3mm_r1,hard,3,640,663.8084147241505,0.099075511097908,9DTact
hard_3mm_r1,hard,3,854,1181.9484809398402,0.0886845216155052,9DTact
hard_3mm_r1,hard,3,1280,2655.233658896602,0.1012413427233696,9DTact
hard_3mm_r1,hard,3,1920,5974.275732517353,0.1043938174843788,9DTact
medium_1mm_r1,medium,1,8,0.15358648869735508,0.1234304830431938,9DTact
medium_1mm_r1,medium,1,16,0.6143459547894203,0.0818046554923057,9DTact
medium_1mm_r1,medium,1,32,2.4573838191576813,0.0797955393791198,9DTact
medium_1mm_r1,medium,1,48,5.529113593104783,0.0788074359297752,9DTact
medium_1mm_r1,medium,1,80,15.358648869735509,0.080855406820774,9DTact
medium_1mm_r1,medium,1,160,61.434595478942036,0.0728072300553321,9DTact
medium_1mm_r1,medium,1,320,245.73838191576814,0.0716407895088195,9DTact
medium_1mm_r1,medium,1,426,435.50408785689393,0.0772198811173439,9DTact
medium_1mm_r1,medium,1,640,982.9535276630726,0.0667528733611106,9DTact
medium_1mm_r1,medium,1,854,1750.2044311062532,0.0671268478035926,9DTact
medium_1mm_r1,medium,1,1280,3931.8141106522903,0.072323277592659,9DTact
medium_1mm_r1,medium,1,1920,8846.581748967654,0.0795234441757202,9DTact
medium_2mm_r2,medium,2,8,0.1359291827311094,0.1535780578851699,9DTact
medium_2mm_r2,medium,2,16,0.5437167309244376,0.1232692897319793,9DTact
medium_2mm_r2,medium,2,32,2.1748669236977505,0.0868852138519287,9DTact
medium_2mm_r2,medium,2,48,4.893450578319937,0.0837837532162666,9DTact
medium_2mm_r2,medium,2,80,13.592918273110941,0.0739253610372543,9DTact
medium_2mm_r2,medium,2,160,54.371673092443764,0.0682563558220863,9DTact
medium_2mm_r2,medium,2,320,217.48669236977506,0.0776004567742347,9DTact
medium_2mm_r2,medium,2,426,385.43569320798133,0.0789519548416137,9DTact
medium_2mm_r2,medium,2,640,869.9467694791002,0.0816386938095092,9DTact
medium_2mm_r2,medium,2,854,1548.989497386278,0.0759807303547859,9DTact
medium_2mm_r2,medium,2,1280,3479.787077916401,0.0752326026558876,9DTact
medium_2mm_r2,medium,2,1920,7829.520925311901,0.0914003700017929,9DTact
medium_3mm_r1,medium,3,8,0.11751084098342957,0.1375008374452591,9DTact
medium_3mm_r1,medium,3,16,0.47004336393371826,0.11301289498806,9DTact
medium_3mm_r1,medium,3,32,1.880173455734873,0.0770381242036819,9DTact
medium_3mm_r1,medium,3,48,4.230390275403463,0.0651809349656105,9DTact
medium_3mm_r1,medium,3,80,11.751084098342956,0.0770187899470329,9DTact
medium_3mm_r1,medium,3,160,47.00433639337182,0.0778015479445457,9DTact
medium_3mm_r1,medium,3,320,188.0173455734873,0.0706501230597496,9DTact
medium_3mm_r1,medium,3,426,333.20933403607586,0.1036940962076187,9DTact
medium_3mm_r1,medium,3,640,752.0693822939492,0.0818224474787712,9DTact
medium_3mm_r1,medium,3,854,1339.1021328542329,0.0819364488124847,9DTact
medium_3mm_r1,medium,3,1280,3008.2775291757966,0.0774751305580139,9DTact
medium_3mm_r1,medium,3,1920,6768.624440645542,0.0911520048975944,9DTact
soft_1mm_r1,soft,1,8,0.1731653342341389,0.106890320777893,9DTact
soft_1mm_r1,soft,1,16,0.6926613369365556,0.1024523451924324,9DTact
soft_1mm_r1,soft,1,32,2.7706453477462225,0.08336191624403,9DTact
