principle,measure,unit,hardness,thickness_mm,saturation_density,suspect_hardware
9DTact,fz_mae,soft_1mm_r1,soft,1,17.31653342341389,False
9DTact,fz_mae,soft_1mm_r2,soft,1,67.98613097183619,False
9DTact,fz_mae,soft_2mm_r1,soft,2,218.37556120875587,False
9DTact,fz_mae,soft_2mm_r2,soft,2,411.1986282742631,False
9DTact,fz_mae,soft_3mm_r1,soft,3,4.026577464334683,False
9DTact,fz_mae,soft_3mm_r2,soft,3,12.258234952243168,False
9DTact,fz_mae,medium_1mm_r1,medium,1,15.358648869735509,False
9DTact,fz_mae,medium_1mm_r2,medium,1,2.131546881680207,True
9DTact,fz_mae,medium_2mm_r2,medium,2,869.9467694791002,False
9DTact,fz_mae,medium_3mm_r1,medium,3,4.230390275403463,False
9DTact,fz_mae,medium_3mm_r2,medium,3,3.921418148281312,False
9DTact,fz_mae,hard_1mm_r1,hard,1,463.88251425372886,False
9DTact,fz_mae,hard_1mm_r2,hard,1,4.873491815251063,True
9DTact,fz_mae,hard_2mm_r1,hard,2,880.3326697312638,False
9DTact,fz_mae,hard_2mm_r2,hard,2,59.30971465015623,False
9DTact,fz_mae,hard_3mm_r1,hard,3,1.6595210368103759,False
9DTact,fz_mae,hard_3mm_r2,hard,3,758.108678091106,False
9DTact,shear,soft_1mm_r1,soft,1,6.233952032429001,False
9DTact,shear,soft_1mm_r2,soft,1,2.719445238873448,False
9DTact,shear,soft_2mm_r1,soft,2,13.648472575547242,False
9DTact,shear,soft_2mm_r2,soft,2,5.220534062597272,False
9DTact,shear,soft_3mm_r1,soft,3,44.73974960371869,False
9DTact,shear,soft_3mm_r2,soft,3,1.9613175923589066,False
9DTact,shear,medium_1mm_r1,medium,1,5.529113593104783,False
9DTact,shear,medium_1mm_r2,medium,1,13.322168010501294,True
9DTact,shear,medium_2mm_r2,medium,2,4.893450578319937,False
9DTact,shear,medium_3mm_r1,medium,3,1.880173455734873,False
9DTact,shear,medium_3mm_r2,medium,3,3.921418148281312,False
9DTact,shear,hard_1mm_r1,hard,1,5.889403077214571,False
9DTact,shear,hard_1mm_r2,hard,1,4.873491815251063,True
9DTact,shear,hard_2mm_r1,hard,2,13.755197964550996,False
9DTact,shear,hard_2mm_r2,hard,2,1689.6689003825525,False
9DTact,shear,hard_3mm_r1,hard,3,3.733922332823346,False
9DTact,shear,hard_3mm_r2,hard,3,189.5271695227765,False
DIGIT,fz_mae,soft_1mm_r1,soft,1,8.185237037150321,False
DIGIT,fz_mae,soft_1mm_r2,soft,1,7.4892687438027545,False
DIGIT,fz_mae,soft_2mm_r1,soft,2,293.2342500987356,False
DIGIT,fz_mae,soft_2mm_r2,soft,2,6.34704921657408,False
DIGIT,fz_mae,soft_3mm_r1,soft,3,5.361438268843514,False
DIGIT,fz_mae,soft_3mm_r2,soft,3,14.158423832615933,False
DIGIT,fz_mae,medium_1mm_r1,medium,1,21.05932207992063,False
DIGIT,fz_mae,medium_1mm_r2,medium,1,3.471883224360281,False
DIGIT,fz_mae,medium_2mm_r1,medium,2,17.367109773304964,False
DIGIT,fz_mae,medium_2mm_r2,medium,2,2145.7979294090296,False
DIGIT,fz_mae,medium_3mm_r1,medium,3,2.1863676630637583,False
DIGIT,fz_mae,medium_3mm_r2,medium,3,2.2230772696408083,False
DIGIT,fz_mae,hard_1mm_r1,hard,1,21.44471284296947,False
DIGIT,fz_mae,hard_1mm_r2,hard,1,22.98779681176457,False
DIGIT,fz_mae,hard_2mm_r1,hard,2,6.389529509137643,False
DIGIT,fz_mae,hard_2mm_r2,hard,2,6.742980447228534,False
DIGIT,fz_mae,hard_3mm_r1,hard,3,13.254042623671861,False
DIGIT,fz_mae,hard_3mm_r2,hard,3,2.5529415609250306,False
DIGIT,shear,soft_1mm_r1,soft,1,363.7883127622364,False
DIGIT,shear,soft_1mm_r2,soft,1,589.8969333985889,False
DIGIT,shear,soft_2mm_r1,soft,2,6.597770627221551,False
DIGIT,shear,soft_2mm_r2,soft,2,6.34704921657408,False
DIGIT,shear,soft_3mm_r1,soft,3,2.3828614528193404,False
DIGIT,shear,soft_3mm_r2,soft,3,5.097032579741737,False
DIGIT,shear,medium_1mm_r1,medium,1,3.3694915327873014,False
DIGIT,shear,medium_1mm_r2,medium,1,3.471883224360281,False
DIGIT,shear,medium_2mm_r1,medium,2,6.252159518389789,False
DIGIT,shear,medium_2mm_r2,medium,2,3.0128189697125065,False
DIGIT,shear,medium_3mm_r1,medium,3,4.919327241893458,False
DIGIT,shear,medium_3mm_r2,medium,3,222.3077269640808,False
DIGIT,shear,hard_1mm_r1,hard,1,85.77885137187788,False
DIGIT,shear,hard_1mm_r2,hard,1,3.6780474898823323,False
DIGIT,shear,hard_2mm_r1,hard,2,6.389529509137643,False
DIGIT,shear,hard_2mm_r2,hard,2,6.742980447228534,False
DIGIT,shear,hard_3mm_r1,hard,3,4.771455344521867,False
DIGIT,shear,hard_3mm_r2,hard,3,5.744118512081321,False
