sensor,width_px,size_mm,shape
hard_1mm_r1,1920,3.951962999636179,cyl4
hard_1mm_r1,1280,3.9848305659510177,cyl4
hard_1mm_r1,854,4.011963696886723,cyl4
hard_1mm_r1,640,4.112526515913425,cyl4
hard_1mm_r1,426,4.109871185362197,cyl4
hard_1mm_r1,320,4.104732448567901,cyl4
hard_1mm_r1,160,4.095508960620613,cyl4
hard_1mm_r1,80,4.0892036517053,cyl4
hard_1mm_r1,48,4.0146200177620734,cyl4
hard_1mm_r1,32,3.898812219190675,cyl4
hard_1mm_r1,16,4.610754650332195,cyl4
hard_1mm_r1,8,5.476556686966584,cyl4
hard_1mm_r2,1920,4.148862666094898,cyl4
hard_1mm_r2,1280,4.199591989213381,cyl4
hard_1mm_r2,854,4.216501923830608,cyl4
hard_1mm_r2,640,4.409731017406151,cyl4
hard_1mm_r2,426,4.345070931610601,cyl4
hard_1mm_r2,320,4.337748640382113,cyl4
hard_1mm_r2,160,4.377807930008767,cyl4
hard_1mm_r2,80,4.206622550448323,cyl4
hard_1mm_r2,48,4.506031871533818,cyl4
hard_1mm_r2,32,4.449447729018581,cyl4
hard_1mm_r2,16,5.122522128730943,cyl4
hard_2mm_r1,1920,3.818990056093913,cyl4
hard_2mm_r1,1280,3.804926979190606,cyl4
hard_2mm_r1,854,3.808316013647975,cyl4
hard_2mm_r1,640,3.94471031102677,cyl4
hard_2mm_r1,426,3.8381817309218262,cyl4
hard_2mm_r1,320,3.937126107242522,cyl4
hard_2mm_r1,160,3.823360454224424,cyl4
hard_2mm_r1,80,3.793801420516315,cyl4
hard_2mm_r1,48,3.994289744922988,cyl4
hard_2mm_r1,32,4.055266101365228,cyl4
hard_2mm_r1,16,4.380840963199117,cyl4
hard_2mm_r2,1920,4.105062188450627,cyl4
hard_2mm_r2,1280,4.1095609884283615,cyl4
hard_2mm_r2,854,4.129026890935525,cyl4
hard_2mm_r2,640,4.294964727720607,cyl4
hard_2mm_r2,426,4.284249805509434,cyl4
hard_2mm_r2,320,4.283414615768766,cyl4
hard_2mm_r2,160,4.262418994879523,cyl4
hard_2mm_r2,80,4.334135454486735,cyl4
hard_2mm_r2,48,4.412439420218526,cyl4
hard_2mm_r2,32,4.713873172115644,cyl4
hard_2mm_r2,8,6.216076421329881,cyl4
hard_3mm_r1,1920,4.973152202241366,cyl4
