unit,width_px,x_mm,depth_mm,true_mm
medium_3mm_r2,320,-8.43227058708103,0.004302684,0.4827593278419329
medium_3mm_r2,320,-8.364812422384382,0.0042528007,0.4827593278419329
medium_3mm_r2,320,-8.297354257687735,0.004202655,0.4827593278419329
medium_3mm_r2,320,-8.229896092991087,0.004152249,0.4827593278419329
medium_3mm_r2,320,-8.162437928294437,0.004101583,0.4827593278419329
medium_3mm_r2,320,-8.09497976359779,0.0040506567,0.4827593278419329
medium_3mm_r2,320,-8.027521598901142,0.003999473,0.4827593278419329
medium_3mm_r2,320,-7.960063434204493,0.003948033,0.4827593278419329
medium_3mm_r2,320,-7.892605269507845,0.0038963382,0.4827593278419329
medium_3mm_r2,320,-7.8251471048111965,0.0038443913,0.4827593278419329
medium_3mm_r2,320,-7.757688940114549,0.0037921946,0.4827593278419329
medium_3mm_r2,320,-7.6902307754179,0.0037397514,0.4827593278419329
medium_3mm_r2,320,-7.622772610721252,0.0036870644,0.4827593278419329
medium_3mm_r2,320,-7.555314446024604,0.0036341376,0.4827593278419329
medium_3mm_r2,320,-7.487856281327955,0.0035809749,0.4827593278419329
medium_3mm_r2,320,-7.420398116631307,0.0035275808,0.4827593278419329
medium_3mm_r2,320,-7.352939951934659,0.00347396,0.4827593278419329
medium_3mm_r2,320,-7.285481787238011,0.0034201185,0.4827593278419329
medium_3mm_r2,320,-7.218023622541362,0.003366062,0.4827593278419329
medium_3mm_r2,320,-7.150565457844714,0.0033117968,0.4827593278419329
medium_3mm_r2,320,-7.083107293148066,0.0032573307,0.4827593278419329
medium_3mm_r2,320,-7.015649128451417,0.0032026717,0.4827593278419329
medium_3mm_r2,320,-6.94819096375477,0.0031478282,0.4827593278419329
medium_3mm_r2,320,-6.880732799058121,0.0030928096,0.4827593278419329
medium_3mm_r2,320,-6.8132746343614725,0.0030376266,0.4827593278419329
medium_3mm_r2,320,-6.745816469664825,0.0029822905,0.4827593278419329
medium_3mm_r2,320,-6.678358304968176,0.0029268137,0.4827593278419329
medium_3mm_r2,320,-6.610900140271528,0.0028712095,0.4827593278419329
medium_3mm_r2,320,-6.54344197557488,0.002815493,0.4827593278419329
medium_3mm_r2,320,-6.4759838108782315,0.0027596797,0.4827593278419329
medium_3mm_r2,320,-6.408525646181584,0.002703787,0.4827593278419329
medium_3mm_r2,320,-6.341067481484935,0.0026478346,0.4827593278419329
medium_3mm_r2,320,-6.273609316788287,0.002591843,0.4827593278419329
medium_3mm_r2,320,-6.206151152091639,0.0025358347,0.4827593278419329
medium_3mm_r2,320,-6.1386929873949905,0.0024798342,0.4827593278419329
medium_3mm_r2,320,-6.071234822698342,0.0024238685,0.4827593278419329
medium_3mm_r2,320,-6.003776658001694,0.0023679666,0.4827593278419329
medium_3mm_r2,320,-5.936318493305046,0.0023121599,0.4827593278419329
medium_3mm_r2,320,-5.868860328608397,0.0022564828,0.4827593278419329
medium_3mm_r2,320,-5.8014021639117495,0.0022009735,0.4827593278419329
medium_3mm_r2,320,-5.733943999215101,0.0021456727,0.4827593278419329
medium_3mm_r2,320,-5.666485834518452,0.0020906245,0.4827593278419329
medium_3mm_r2,320,-5.599027669821805,0.0020358781,0.4827593278419329
medium_3mm_r2,320,-5.531569505125156,0.0019814859,0.4827593278419329
medium_3mm_r2,320,-5.4641113404285075,0.0019275055,0.4827593278419329
medium_3mm_r2,320,-5.39665317573186,0.0018739998,0.4827593278419329
medium_3mm_r2,320,-5.329195011035211,0.0018210374,0.4827593278419329
medium_3mm_r2,320,-5.261736846338564,0.0017686929,0.4827593278419329
medium_3mm_r2,320,-5.194278681641915,0.0017170482,0.4827593278419329
medium_3mm_r2,320,-5.1268205169452665,0.0016661923,0.4827593278419329
medium_3mm_r2,320,-5.059362352248619,0.0016162226,0.4827593278419329
medium_3mm_r2,320,-4.99190418755197,0.0015672451,0.4827593278419329
medium_3mm_r2,320,-4.924446022855322,0.0015193764,0.4827593278419329
medium_3mm_r2,320,-4.856987858158674,0.0014727435,0.4827593278419329
medium_3mm_r2,320,-4.7895296934620255,0.0014274857,0.4827593278419329
medium_3mm_r2,320,-4.722071528765377,0.0013837555,0.4827593278419329
medium_3mm_r2,320,-4.654613364068729,0.0013417198,0.4827593278419329
medium_3mm_r2,320,-4.587155199372081,0.0013015617,0.4827593278419329
medium_3mm_r2,320,-4.519697034675432,0.0012634825,0.4827593278419329
medium_3mm_r2,320,-4.4522388699787845,0.0012277025,0.4827593278419329
medium_3mm_r2,320,-4.384780705282136,0.0011944644,0.4827593278419329
medium_3mm_r2,320,-4.317322540585487,0.0011640345,0.4827593278419329
medium_3mm_r2,320,-4.24986437588884,0.0011367062,0.4827593278419329
medium_3mm_r2,320,-4.182406211192191,0.0011128025,0.4827593278419329
medium_3mm_r2,320,-4.1149480464955435,0.0010926798,0.4827593278419329
medium_3mm_r2,320,-4.047489881798895,0.0010767306,0.4827593278419329
medium_3mm_r2,320,-3.9800317171022463,0.0010653888,0.4827593278419329
medium_3mm_r2,320,-3.9125735524055982,0.0010591339,0.4827593278419329
medium_3mm_r2,320,-3.84511538770895,0.0010584967,0.4827593278419329
medium_3mm_r2,320,-3.777657223012302,0.0010640647,0.4827593278419329
medium_3mm_r2,320,-3.7101990583156534,0.0010764892,0.4827593278419329
medium_3mm_r2,320,-3.6427408936190053,0.0010964939,0.4827593278419329
medium_3mm_r2,320,-3.575282728922357,0.0011248825,0.4827593278419329
medium_3mm_r2,320,-3.5078245642257087,0.0011625491,0.4827593278419329
medium_3mm_r2,320,-3.4403663995290605,0.0012104907,0.4827593278419329
medium_3mm_r2,320,-3.3729082348324124,0.0012698191,0.4827593278419329
medium_3mm_r2,320,-3.305450070135764,0.0013417768,0.4827593278419329
medium_3mm_r2,320,-3.2379919054391157,0.0014277544,0.4827593278419329
medium_3mm_r2,320,-3.1705337407424676,0.0015293104,0.4827593278419329
medium_3mm_r2,320,-3.1030755760458195,0.0016481951,0.4827593278419329
medium_3mm_r2,320,-3.035617411349171,0.0017863789,0.4827593278419329
medium_3mm_r2,320,-2.968159246652523,0.0019460842,0.4827593278419329
medium_3mm_r2,320,-2.9007010819558747,0.0021298248,0.4827593278419329
medium_3mm_r2,320,-2.833242917259226,0.0023404534,0.4827593278419329
medium_3mm_r2,320,-2.765784752562578,0.0025812194,0.4827593278419329
medium_3mm_r2,320,-2.69832658786593,0.00285584,0.4827593278419329
medium_3mm_r2,320,-2.630868423169282,0.0031685955,0.4827593278419329
medium_3mm_r2,320,-2.5634102584726333,0.0035244506,0.4827593278419329
medium_3mm_r2,320,-2.495952093775985,0.0039292243,0.4827593278419329
medium_3mm_r2,320,-2.428493929079337,0.004389843,0.4827593278419329
medium_3mm_r2,320,-2.3610357643826885,0.004914746,0.4827593278419329
medium_3mm_r2,320,-2.2935775996860404,0.00551464,0.4827593278419329
medium_3mm_r2,320,-2.2261194349893922,0.0062040812,0.4827593278419329
medium_3mm_r2,320,-2.1586612702927437,0.007005288,0.4827593278419329
medium_3mm_r2,320,-2.0912031055960956,0.007958115,0.4827593278419329
medium_3mm_r2,320,-2.0237449408994475,0.009147066,0.4827593278419329
medium_3mm_r2,320,-1.9562867762027991,0.010770612,0.4827593278419329
medium_3mm_r2,320,-1.888828611506151,0.013275957,0.4827593278419329
medium_3mm_r2,320,-1.8213704468095027,0.016813619,0.4827593278419329
medium_3mm_r2,320,-1.7539122821128543,0.021033302,0.4827593278419329
medium_3mm_r2,320,-1.6864541174162062,0.025284382,0.4827593278419329
medium_3mm_r2,320,-1.6189959527195579,0.02975505,0.4827593278419329
medium_3mm_r2,320,-1.5515377880229098,0.034765992,0.4827593278419329
medium_3mm_r2,320,-1.4840796233262614,0.039934084,0.4827593278419329
medium_3mm_r2,320,-1.416621458629613,0.051467344,0.4827593278419329
medium_3mm_r2,320,-1.349163293932965,0.0647612,0.4827593278419329
medium_3mm_r2,320,-1.2817051292363166,0.07894153,0.4827593278419329
medium_3mm_r2,320,-1.2142469645396685,0.093168214,0.4827593278419329
medium_3mm_r2,320,-1.1467887998430202,0.109811515,0.4827593278419329
medium_3mm_r2,320,-1.0793306351463718,0.1290216,0.4827593278419329
medium_3mm_r2,320,-1.0118724704497237,0.14839743,0.4827593278419329
medium_3mm_r2,320,-0.9444143057530755,0.16920401,0.4827593278419329
medium_3mm_r2,320,-0.8769561410564272,0.19292744,0.4827593278419329
medium_3mm_r2,320,-0.8094979763597789,0.21472321,0.4827593278419329
medium_3mm_r2,320,-0.7420398116631307,0.23789737,0.4827593278419329
medium_3mm_r2,320,-0.6745816469664825,0.25973004,0.4827593278419329
medium_3mm_r2,320,-0.6071234822698343,0.27999163,0.4827593278419329
medium_3mm_r2,320,-0.5396653175731859,0.3003289,0.4827593278419329
medium_3mm_r2,320,-0.47220715287653775,0.32239255,0.4827593278419329
medium_3mm_r2,320,-0.40474898817988947,0.3466201,0.4827593278419329
medium_3mm_r2,320,-0.33729082348324124,0.3725039,0.4827593278419329
medium_3mm_r2,320,-0.26983265878659296,0.39825827,0.4827593278419329
medium_3mm_r2,320,-0.20237449408994473,0.42121118,0.4827593278419329
medium_3mm_r2,320,-0.13491632939329648,0.4303263,0.4827593278419329
medium_3mm_r2,320,-0.06745816469664824,0.43349317,0.4827593278419329
medium_3mm_r2,320,0.0,0.434613,0.4827593278419329
medium_3mm_r2,320,0.06745816469664824,0.42930537,0.4827593278419329
medium_3mm_r2,320,0.13491632939329648,0.42415997,0.4827593278419329
medium_3mm_r2,320,0.20237449408994473,0.41901436,0.4827593278419329
medium_3mm_r2,320,0.26983265878659296,0.41383743,0.4827593278419329
medium_3mm_r2,320,0.33729082348324124,0.40868652,0.4827593278419329
medium_3mm_r2,320,0.40474898817988947,0.40362334,0.4827593278419329
medium_3mm_r2,320,0.47220715287653775,0.3987332,0.4827593278419329
medium_3mm_r2,320,0.5396653175731859,0.39413443,0.4827593278419329
medium_3mm_r2,320,0.6071234822698343,0.38996333,0.4827593278419329
medium_3mm_r2,320,0.6745816469664825,0.38577044,0.4827593278419329
medium_3mm_r2,320,0.7420398116631307,0.3767437,0.4827593278419329
medium_3mm_r2,320,0.8094979763597789,0.36614594,0.4827593278419329
medium_3mm_r2,320,0.8769561410564272,0.3608208,0.4827593278419329
medium_3mm_r2,320,0.9444143057530755,0.3566249,0.4827593278419329
medium_3mm_r2,320,1.0118724704497237,0.35264832,0.4827593278419329
medium_3mm_r2,320,1.0793306351463718,0.3487262,0.4827593278419329
medium_3mm_r2,320,1.1467887998430202,0.3448482,0.4827593278419329
medium_3mm_r2,320,1.2142469645396685,0.34103012,0.4827593278419329
medium_3mm_r2,320,1.2817051292363166,0.33728826,0.4827593278419329
medium_3mm_r2,320,1.349163293932965,0.33363497,0.4827593278419329
medium_3mm_r2,320,1.416621458629613,0.33007932,0.4827593278419329
medium_3mm_r2,320,1.4840796233262614,0.3266276,0.4827593278419329
medium_3mm_r2,320,1.5515377880229098,0.32328424,0.4827593278419329
medium_3mm_r2,320,1.6189959527195579,0.32005185,0.4827593278419329
medium_3mm_r2,320,1.6864541174162062,0.31693172,0.4827593278419329
medium_3mm_r2,320,1.7539122821128543,0.31392393,0.4827593278419329
medium_3mm_r2,320,1.8213704468095027,0.31102756,0.4827593278419329
medium_3mm_r2,320,1.888828611506151,0.30824098,0.4827593278419329
medium_3mm_r2,320,1.9562867762027991,0.3055621,0.4827593278419329
medium_3mm_r2,320,2.0237449408994475,0.30298874,0.4827593278419329
medium_3mm_r2,320,2.0912031055960956,0.30051878,0.4827593278419329
medium_3mm_r2,320,2.1586612702927437,0.29815048,0.4827593278419329
medium_3mm_r2,320,2.2261194349893922,0.29588267,0.4827593278419329
medium_3mm_r2,320,2.2935775996860404,0.29371485,0.4827593278419329
medium_3mm_r2,320,2.3610357643826885,0.29164687,0.4827593278419329
medium_3mm_r2,320,2.428493929079337,0.28967896,0.4827593278419329
medium_3mm_r2,320,2.495952093775985,0.2878113,0.4827593278419329
medium_3mm_r2,320,2.5634102584726333,0.2860439,0.4827593278419329
