sensor,width_px,mae,thickness_mm,hardness,density_px_per_mm2,principle,probe
hard_1mm_r1,1920,0.0937922255514733,1,hard,9423.044923543315,9DTact,cyl4
hard_1mm_r1,1280,0.0796228049184221,1,hard,4188.019966019251,9DTact,cyl4
hard_1mm_r1,854,0.0674730640800799,1,hard,1864.2516903914163,9DTact,cyl4
hard_1mm_r1,640,0.0496026739537039,1,hard,1047.0049915048128,9DTact,cyl4
hard_1mm_r1,426,0.0367889489988683,1,hard,463.88251425372886,9DTact,cyl4
hard_1mm_r1,320,0.0336887626431852,1,hard,261.7512478762032,9DTact,cyl4
hard_1mm_r1,160,0.0239045654743236,1,hard,65.4378119690508,9DTact,cyl4
hard_1mm_r1,80,0.0176871912809067,1,hard,16.3594529922627,9DTact,cyl4
hard_1mm_r1,48,0.0287449918129063,1,hard,5.889403077214571,9DTact,cyl4
hard_1mm_r1,32,0.0281370009119392,1,hard,2.6175124787620323,9DTact,cyl4
hard_1mm_r1,16,0.3305679953030096,1,hard,0.6543781196905081,9DTact,cyl4
hard_1mm_r1,8,0.1527005703383045,1,hard,0.16359452992262702,9DTact,cyl4
hard_2mm_r1,1920,0.1282231596685247,2,hard,7922.994027581375,9DTact,cyl4
hard_2mm_r1,1280,0.1129057181351015,2,hard,3521.330678925055,9DTact,cyl4
hard_2mm_r1,854,0.1038769903772535,2,hard,1567.482181049137,9DTact,cyl4
hard_2mm_r1,640,0.0921458166249586,2,hard,880.3326697312638,9DTact,cyl4
hard_2mm_r1,426,0.0866161786184357,2,hard,390.03723528357153,9DTact,cyl4
hard_2mm_r1,320,0.0842943916585419,2,hard,220.08316743281594,9DTact,cyl4
hard_2mm_r1,160,0.0831849196398728,2,hard,55.020791858203985,9DTact,cyl4
hard_2mm_r1,80,0.0908255014408224,2,hard,13.755197964550996,9DTact,cyl4
hard_2mm_r1,48,0.0653279028048982,2,hard,4.95187126723836,9DTact,cyl4
hard_2mm_r1,32,0.043172037641226,2,hard,2.2008316743281595,9DTact,cyl4
hard_2mm_r1,16,0.1310983108422036,2,hard,0.5502079185820399,9DTact,cyl4
hard_3mm_r1,1920,0.1188175571541619,3,hard,5974.275732517353,9DTact,cyl4
hard_3mm_r1,1280,0.0981637313317721,3,hard,2655.233658896602,9DTact,cyl4
hard_3mm_r1,854,0.0804207401430241,3,hard,1181.9484809398402,9DTact,cyl4
hard_3mm_r1,640,0.0650106712319711,3,hard,663.8084147241505,9DTact,cyl4
hard_3mm_r1,426,0.0633141287567887,3,hard,294.1047262462889,9DTact,cyl4
hard_3mm_r1,320,0.0640853360896081,3,hard,165.9521036810376,9DTact,cyl4
hard_3mm_r1,160,0.0627990570858584,3,hard,41.4880259202594,9DTact,cyl4
hard_3mm_r1,80,0.0619108522384856,3,hard,10.37200648006485,9DTact,cyl4
hard_3mm_r1,48,0.0721858997156417,3,hard,3.733922332823346,9DTact,cyl4
hard_3mm_r1,32,0.0675549121876087,3,hard,1.6595210368103759,9DTact,cyl4
hard_3mm_r1,16,0.0954059691836616,3,hard,0.41488025920259397,9DTact,cyl4
hard_3mm_r1,8,0.2336435577684175,3,hard,0.10372006480064849,9DTact,cyl4
medium_1mm_r1,1920,0.1377538462379192,1,medium,8846.581748967654,9DTact,cyl4
medium_1mm_r1,1280,0.1227429752447818,1,medium,3931.8141106522903,9DTact,cyl4
medium_1mm_r1,854,0.1120988757766235,1,medium,1750.2044311062532,9DTact,cyl4
medium_1mm_r1,640,0.0950753920064974,1,medium,982.9535276630726,9DTact,cyl4
medium_1mm_r1,426,0.0865853695694415,1,medium,435.50408785689393,9DTact,cyl4
medium_1mm_r1,320,0.0858533296518942,1,medium,245.73838191576814,9DTact,cyl4
medium_1mm_r1,160,0.0866189192329864,1,medium,61.434595478942036,9DTact,cyl4
medium_1mm_r1,80,0.0831574029410364,1,medium,15.358648869735509,9DTact,cyl4
medium_1mm_r1,48,0.0826581618951118,1,medium,5.529113593104783,9DTact,cyl4
medium_1mm_r1,32,0.1134524071721285,1,medium,2.4573838191576813,9DTact,cyl4
medium_1mm_r1,16,0.3109424468097877,1,medium,0.6143459547894203,9DTact,cyl4
medium_1mm_r1,8,0.206390784335303,1,medium,0.15358648869735508,9DTact,cyl4
medium_2mm_r2,1920,0.0474107292291973,2,medium,7829.520925311901,9DTact,cyl4
medium_2mm_r2,1280,0.0526744048881151,2,medium,3479.787077916401,9DTact,cyl4
medium_2mm_r2,854,0.0516384695783453,2,medium,1548.989497386278,9DTact,cyl4
medium_2mm_r2,640,0.0638444084718641,2,medium,869.9467694791002,9DTact,cyl4
