principle,probe,unit,hardness,thickness_mm,ceiling_N,suspect_hardware,analysed
9DTact,ball8,soft_1mm_r1,soft,1,27.848915900572194,False,True
9DTact,ball8,soft_1mm_r2,soft,1,26.799817552457977,False,False
9DTact,ball8,soft_2mm_r1,soft,2,30.238843978677988,False,True
9DTact,ball8,soft_2mm_r2,soft,2,24.610286158155468,False,False
9DTact,ball8,soft_3mm_r1,soft,3,30.97387494840487,False,True
9DTact,ball8,soft_3mm_r2,soft,3,30.639473352105316,False,False
9DTact,ball8,medium_1mm_r1,medium,1,31.00153968042581,False,True
9DTact,ball8,medium_1mm_r2,medium,1,38.59624895100679,True,False
9DTact,ball8,medium_2mm_r2,medium,2,30.207202253506903,False,True
9DTact,ball8,medium_3mm_r1,medium,3,38.477407292298594,False,True
9DTact,ball8,medium_3mm_r2,medium,3,34.182887472624984,False,False
9DTact,ball8,hard_1mm_r1,hard,1,27.510294207386806,False,True
9DTact,ball8,hard_1mm_r2,hard,1,34.13547167662337,True,False
9DTact,ball8,hard_2mm_r1,hard,2,43.32170674399263,False,True
9DTact,ball8,hard_2mm_r2,hard,2,43.81170816849713,False,False
9DTact,ball8,hard_3mm_r1,hard,3,63.159778301454,False,True
9DTact,ball8,hard_3mm_r2,hard,3,60.32792947150917,False,False
DIGIT,ball8,soft_1mm_r1,soft,1,23.41254982668352,False,False
DIGIT,ball8,soft_1mm_r2,soft,1,22.449198933907432,False,True
DIGIT,ball8,soft_2mm_r1,soft,2,17.71834051220396,False,True
DIGIT,ball8,soft_2mm_r2,soft,2,14.735948722276902,False,False
DIGIT,ball8,soft_3mm_r1,soft,3,11.76112258608135,False,True
DIGIT,ball8,soft_3mm_r2,soft,3,11.09157022794685,False,False
DIGIT,ball8,medium_1mm_r1,medium,1,18.21929859107194,False,True
DIGIT,ball8,medium_1mm_r2,medium,1,22.072333152914783,False,False
DIGIT,ball8,medium_2mm_r1,medium,2,14.138581849754152,False,True
DIGIT,ball8,medium_2mm_r2,medium,2,22.590942160303705,False,False
DIGIT,ball8,medium_3mm_r1,medium,3,14.4159646485878,False,True
DIGIT,ball8,medium_3mm_r2,medium,3,15.034245909708702,False,False
DIGIT,ball8,hard_1mm_r1,hard,1,19.45536450623125,False,True
DIGIT,ball8,hard_1mm_r2,hard,1,16.95072029347406,False,False
DIGIT,ball8,hard_2mm_r1,hard,2,22.41093170485956,False,False
DIGIT,ball8,hard_2mm_r2,hard,2,17.73768481074213,False,True
DIGIT,ball8,hard_3mm_r1,hard,3,11.83434462780252,False,True
DIGIT,ball8,hard_3mm_r2,hard,3,13.673424114011729,False,False
DIGIT_Marker,ball4,soft_1mm_r1,soft,1,20.516453738273636,False,True
DIGIT_Marker,ball4,soft_1mm_r2,soft,1,12.330521853015586,False,False
DIGIT_Marker,ball4,soft_2mm_r1,soft,2,12.25352802735473,False,True
DIGIT_Marker,ball4,soft_2mm_r2,soft,2,9.41348192227478,False,False
DIGIT_Marker,ball4,soft_3mm_r1,soft,3,8.053216786675609,False,True
DIGIT_Marker,ball4,soft_3mm_r2,soft,3,7.054495608897099,False,False
DIGIT_Marker,ball4,medium_1mm_r1,medium,1,8.257566191896903,False,True
DIGIT_Marker,ball4,medium_1mm_r2,medium,1,12.56442504405656,False,False
DIGIT_Marker,ball4,medium_2mm_r1,medium,2,6.226042374151303,False,True
DIGIT_Marker,ball4,medium_2mm_r2,medium,2,10.027504378909551,False,False
DIGIT_Marker,ball4,medium_3mm_r1,medium,3,6.939144782104512,False,True
DIGIT_Marker,ball4,medium_3mm_r2,medium,3,6.7336824064301934,False,False
DIGIT_Marker,ball4,hard_1mm_r1,hard,1,10.800870363452788,False,True
DIGIT_Marker,ball4,hard_1mm_r2,hard,1,10.013795399696884,False,False
DIGIT_Marker,ball4,hard_2mm_r1,hard,2,9.696140478630076,False,True
DIGIT_Marker,ball4,hard_2mm_r2,hard,2,9.415069372416507,False,False
DIGIT_Marker,ball4,hard_3mm_r1,hard,3,9.23497435667556,False,True
DIGIT_Marker,ball4,hard_3mm_r2,hard,3,12.282480305298373,False,False
