unit,probe,depth_mm,width_px,density_px_per_mm2,dip,dip_sd,imprint_lvl,verdict
soft_2mm_r1,pair100,0.1,8,0.1364847257554724,,,,접촉 없음
soft_2mm_r1,pair100,0.1,16,0.5459389030218897,,,,접촉 없음
soft_2mm_r1,pair100,0.1,32,2.183755612087559,,,,접촉 없음
soft_2mm_r1,pair100,0.1,48,4.913450127197007,,,,접촉 없음
soft_2mm_r1,pair100,0.1,80,13.648472575547242,,,,접촉 없음
soft_2mm_r1,pair100,0.1,160,54.59389030218897,0.3726039536832889,0.0131039502597253,3.349524736404419,분해
soft_2mm_r1,pair100,0.1,320,218.37556120875587,0.3846265011609541,0.024964766339395,3.4282495975494385,분해
soft_2mm_r1,pair100,0.1,426,387.01097017500166,0.5014401448220044,0.0259676131830355,3.746685743331909,분해
soft_2mm_r1,pair100,0.1,640,873.5022448350235,0.5279616311506155,0.0392357254373496,3.7934608459472656,분해
soft_2mm_r1,pair100,0.1,854,1555.3202226418462,0.637144732397791,0.0456695303535738,4.173074722290039,분해
soft_2mm_r1,pair100,0.1,1280,3494.008979340094,0.6047480565484178,0.0574440942117798,3.752471923828125,분해
soft_2mm_r1,pair100,0.1,1920,7861.5202035152115,0.3836520166498836,0.0804374107711348,3.284156560897827,분해
soft_2mm_r1,pair100,0.2,8,0.1364847257554724,,,,접촉 없음
soft_2mm_r1,pair100,0.2,16,0.5459389030218897,,,,접촉 없음
soft_2mm_r1,pair100,0.2,32,2.183755612087559,0.2020768490841892,0.0070425093928711,4.576499938964844,미분해
soft_2mm_r1,pair100,0.2,48,4.913450127197007,0.2590753349377841,0.0097553834259743,4.891656398773193,미분해
soft_2mm_r1,pair100,0.2,80,13.648472575547242,0.3102874952205425,0.0101683787167543,5.215374946594238,분해
soft_2mm_r1,pair100,0.2,160,54.59389030218897,0.3573997066551313,0.0097872365070594,5.530334949493408,분해
soft_2mm_r1,pair100,0.2,320,218.37556120875587,0.420252245636286,0.0160217705574926,5.43344783782959,분해
soft_2mm_r1,pair100,0.2,426,387.01097017500166,0.368036469673225,0.0216679891348265,5.330216407775879,분해
soft_2mm_r1,pair100,0.2,640,873.5022448350235,0.4238471877002615,0.0242794635333409,5.377503871917725,분해
soft_2mm_r1,pair100,0.2,854,1555.3202226418462,0.4715589056831419,0.0307124207309974,5.672928333282471,분해
soft_2mm_r1,pair100,0.2,1280,3494.008979340094,0.4333623354981138,0.0414206907298618,5.6953125,분해
soft_2mm_r1,pair100,0.2,1920,7861.5202035152115,0.4901705076212929,0.0416220555596102,6.379712104797363,분해
soft_2mm_r1,pair100,0.3,8,0.1364847257554724,,,,접촉 없음
soft_2mm_r1,pair100,0.3,16,0.5459389030218897,-0.1653607642130659,0.0082206101181522,3.693634033203125,미분해
soft_2mm_r1,pair100,0.3,32,2.183755612087559,0.2133458860505533,0.0096703651669966,6.369621276855469,미분해
soft_2mm_r1,pair100,0.3,48,4.913450127197007,0.2797017640139431,0.0094867652015225,7.076164245605469,분해
soft_2mm_r1,pair100,0.3,80,13.648472575547242,0.3337641775485652,0.0108899488127895,7.348824977874756,분해
soft_2mm_r1,pair100,0.3,160,54.59389030218897,0.3603238030656883,0.0112831128449723,7.669023990631103,분해
soft_2mm_r1,pair100,0.3,320,218.37556120875587,0.4191738638230607,0.0117051657869577,7.847953796386719,분해
soft_2mm_r1,pair100,0.3,426,387.01097017500166,0.4324244136495951,0.0140193627495645,7.855812549591064,분해
soft_2mm_r1,pair100,0.3,640,873.5022448350235,0.4868357162473067,0.0171765457110812,8.146879196166992,분해
soft_2mm_r1,pair100,0.3,854,1555.3202226418462,0.4810640285420616,0.0208231618254513,8.224395751953125,분해
soft_2mm_r1,pair100,0.3,1280,3494.008979340094,0.4993758441890586,0.0242604188778731,8.457162857055664,분해
soft_2mm_r1,pair100,0.3,1920,7861.5202035152115,0.4281238302795149,0.0375059024176749,7.814150810241699,분해
