principle,measure,sensor,probe,width_px,density_px_per_mm2,mae_mm
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,8,0.163594529922627,0.192635649082868
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,16,0.6543781196905081,0.3002813902119393
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,32,2.6175124787620323,0.0981701067446744
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,48,5.889403077214571,0.0959051090846099
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,80,16.3594529922627,0.1044903230523062
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,160,65.4378119690508,0.0968726142314388
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,320,261.7512478762032,0.1195222758264875
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,426,463.88251425372886,0.1222334082797964
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,640,1047.0049915048128,0.1254110413664358
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,854,1864.2516903914163,0.1443726460643078
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,1280,4188.019966019251,0.1541847150733659
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cube4,1920,9423.044923543315,0.1640959752529204
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,8,0.163594529922627,0.1527005703383045
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,16,0.6543781196905081,0.3305679953030096
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,32,2.6175124787620323,0.0281370009119392
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,48,5.889403077214571,0.0287449918129063
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,80,16.3594529922627,0.0176871912809067
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,160,65.4378119690508,0.0239045654743236
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,320,261.7512478762032,0.0336887626431852
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,426,463.88251425372886,0.0367889489988683
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,640,1047.0049915048128,0.0496026739537039
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,854,1864.2516903914163,0.0674730640800799
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,1280,4188.019966019251,0.0796228049184221
9DTact,shape_mae_vs_resolution,hard_1mm_r1,cyl4,1920,9423.044923543315,0.0937922255514733
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,16,0.5502079185820399,0.1177933453703563
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,32,2.2008316743281595,0.0559432722046491
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,48,4.95187126723836,0.0602916285579871
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,80,13.755197964550996,0.0799461784909129
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,160,55.02079185820399,0.0701116852658522
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,320,220.08316743281597,0.0736537305230387
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,426,390.03723528357153,0.0702480791232248
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,640,880.3326697312638,0.0725191161263662
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,854,1567.482181049137,0.0822776198487631
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,1280,3521.330678925055,0.091295219207297
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cube4,1920,7922.994027581375,0.1053855465301681
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,16,0.5502079185820399,0.1310983108422036
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,32,2.2008316743281595,0.043172037641226
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,48,4.95187126723836,0.0653279028048982
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,80,13.755197964550996,0.0908255014408224
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,160,55.02079185820399,0.0831849196398728
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,320,220.08316743281597,0.0842943916585419
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,426,390.03723528357153,0.0866161786184357
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,640,880.3326697312638,0.0921458166249586
9DTact,shape_mae_vs_resolution,hard_2mm_r1,cyl4,854,1567.482181049137,0.1038769903772535
