sensor,probe,width_px,mae_mm,suspect_hardware
soft_1mm_r1,cyl4,16,0.4404304169069587,False
soft_1mm_r1,cyl4,32,0.3194232166540731,False
soft_1mm_r1,cyl4,48,0.1900261414705905,False
soft_1mm_r1,cyl4,80,0.10409076830091,False
soft_1mm_r1,cyl4,160,0.0723099281703871,False
soft_1mm_r1,cyl4,320,0.0699741030373532,False
soft_1mm_r1,cyl4,426,0.0682699738021551,False
soft_1mm_r1,cyl4,640,0.0810104863876295,False
soft_1mm_r1,cyl4,854,0.086531103976984,False
soft_1mm_r1,cyl4,1280,0.1041790449529083,False
soft_1mm_r1,cyl4,1920,0.1279737799069145,False
soft_1mm_r1,cube4,16,0.4361515181080199,False
soft_1mm_r1,cube4,32,0.320257221164189,False
soft_1mm_r1,cube4,48,0.2103894588168161,False
soft_1mm_r1,cube4,80,0.148557449933459,False
soft_1mm_r1,cube4,160,0.128972989749481,False
soft_1mm_r1,cube4,320,0.1193357370114025,False
soft_1mm_r1,cube4,426,0.1209511892811156,False
soft_1mm_r1,cube4,640,0.128969092474947,False
soft_1mm_r1,cube4,854,0.1350999486263292,False
soft_1mm_r1,cube4,1280,0.1502689190770881,False
soft_1mm_r1,cube4,1920,0.172085921367327,False
soft_1mm_r2,cyl4,16,0.3367636425274902,False
soft_1mm_r2,cyl4,32,0.3273307639882136,False
soft_1mm_r2,cyl4,48,0.1986782234093963,False
soft_1mm_r2,cyl4,80,0.1210868802086307,False
soft_1mm_r2,cyl4,160,0.094695847746312,False
soft_1mm_r2,cyl4,320,0.0950365199561708,False
soft_1mm_r2,cyl4,426,0.0982306456358029,False
soft_1mm_r2,cyl4,640,0.1097587113743815,False
soft_1mm_r2,cyl4,854,0.11546344150263,False
soft_1mm_r2,cyl4,1280,0.1295773079162631,False
soft_1mm_r2,cyl4,1920,0.1455960158423377,False
soft_1mm_r2,cube4,16,0.3448580702435476,False
soft_1mm_r2,cube4,32,0.3660722879672053,False
