principle,probe,measure,group_by,group,n_units,x_name,x,median,q1,q3
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,0.30567465951143297,286.72829680254375,272.8519183400839,302.5215112832567
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,0.6105346009766258,348.533465570914,345.2995618032742,356.1032996525539
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,0.9153945424418186,390.21135750243957,375.2961561108454,395.50772345833957
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,1.2202544839070115,406.51171512634164,405.2629138495498,413.9419694700848
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,1.5251144253722044,425.678905886916,422.582097616855,433.1673828251164
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,1.8299743668373971,438.83841538569004,437.3894692954709,447.508873592586
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,2.13483430830259,453.16779700288225,448.80091204467425,460.75784288591336
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,2.4396942497677827,469.7507235986167,464.06026893705234,473.49249598560345
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,2.7445541912329756,478.6582149122485,477.5159292518337,479.82680331086226
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,3.0494141326981685,486.2264747572721,482.9865820596582,489.42060373393895
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,3.3542740741633614,491.50787597287746,488.63777843530903,496.7578876866492
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,3.659134015628554,498.3914951121819,495.3509030037235,501.52512087229104
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,3.963993957093747,503.47315652311914,502.58485771127226,506.3672647922035
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,4.26885389855894,509.23620315227606,506.76403080337064,516.9450671044481
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,4.5737138400241335,513.0772479226604,510.88237041910463,521.7653815674082
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,4.878573781489326,516.9182926930447,515.9062195397614,526.5856960303685
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,5.183433722954518,520.9287050018957,520.6643665676061,531.490694262562
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,5.488293664419712,525.0879311407604,524.0290254774931,531.3953778047073
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,5.793153605884904,529.2471572796251,527.3936843873801,536.5094362253441
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,6.098013547350098,533.4063834184898,530.7009009032804,541.6809370399675
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,6.40287348881529,535.2875993849973,532.6516007412395,546.0387601677108
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,6.707733430280483,540.0876703792101,535.7702940404274,549.4846666535126
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,7.012593371745676,542.9171103652595,537.1818483194319,551.8989737089375
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,7.317453313210868,542.4403313127473,538.612990422514,552.9109342320187
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,7.622313254676062,543.7715447034692,540.402857129129,548.3735148733053
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,7.927173196141254,544.8166234063071,542.2847816971457,552.3655670059011
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,8.232033137606447,546.425185343758,544.1162191868527,554.5361622377775
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,8.536893079071639,547.1836976452208,545.2052973428947,556.706757469654
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,8.841753020536832,547.9275314951273,546.4292452313763,558.1395488973235
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,9.146612962002026,551.5377918309184,548.3299996553509,559.3395231954596
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,9.451472903467218,549.9029875981673,549.3990640497079,560.5394974935957
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,9.75633284493241,550.4181937625757,550.4112351275478,561.7394717917318
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,10.061192786397603,551.3857166268019,546.471256438313,554.6238244699737
DIGIT,ball4,diameter_px,hardness,soft,6,force_N,10.366052727862796,552.3567188085419,547.0580339252269,555.9991356700826
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,0.30567465951143297,299.3474453056234,291.37312996677326,312.1231634307334
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,0.6105346009766258,363.994164206448,357.818830472247,378.21464068525006
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,0.9153945424418186,406.1259287777351,388.20115557160693,426.78329092149073
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,1.2202544839070115,424.77172553196704,422.0996263780507,448.53459412772855
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,1.5251144253722044,446.70170312359085,441.7634051172376,469.93715991967787
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,1.8299743668373971,466.09313789552164,461.46594018278097,482.7372381632511
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,2.13483430830259,482.290942302677,480.18774594803654,494.90725258636655
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,2.4396942497677827,497.91467942124314,488.6072260094215,509.7143337416721
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,2.7445541912329756,509.9255587391081,501.58529479731766,520.3530822522118
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,3.0494141326981685,516.816641393591,511.4286590066061,524.5409038055246
DIGIT,ball4,diameter_px,hardness,medium,6,force_N,3.3542740741633614,528.6792451482588,523.5036139309649,529.1750578764763
