sensor,axis,width_px,median,min,max,suspect_hardware
soft_1mm_r1,Fx,8,0.0589562319219112,0.0462856329977512,0.0601498819887638,False
soft_1mm_r1,Fx,16,0.0278652943670749,0.0234205089509487,0.0489508062601089,False
soft_1mm_r1,Fx,32,0.0357623808085918,0.0302867665886878,0.0376866869628429,False
soft_1mm_r1,Fx,48,0.029054757207632,0.0233844127506017,0.0321793407201767,False
soft_1mm_r1,Fx,80,0.0292597077786922,0.0226988103240728,0.0576924160122871,False
soft_1mm_r1,Fx,160,0.0260139238089323,0.0245303437113761,0.032594796270132,False
soft_1mm_r1,Fx,320,0.0251855514943599,0.0246368646621704,0.034155074506998,False
soft_1mm_r1,Fx,426,0.032682329416275,0.0251081101596355,0.0448356010019779,False
soft_1mm_r1,Fx,640,0.0244447886943817,0.0238910019397735,0.0255564805120229,False
soft_1mm_r1,Fx,854,0.0293320659548044,0.026407478377223,0.0313219465315341,False
soft_1mm_r1,Fx,1280,0.0233392473310232,0.0215337965637445,0.0296746417880058,False
soft_1mm_r1,Fx,1920,0.023618247359991,0.0209342651069164,0.0265033859759569,False
soft_1mm_r1,Fy,8,0.0365995503962039,0.0362978242337703,0.0431227497756481,False
soft_1mm_r1,Fy,16,0.0344181470572948,0.0270855389535427,0.0373644828796386,False
soft_1mm_r1,Fy,32,0.0258241947740316,0.0229946542531251,0.026813194155693,False
soft_1mm_r1,Fy,48,0.0242281910032033,0.0206143837422132,0.0481509044766426,False
soft_1mm_r1,Fy,80,0.028893195092678,0.0273800678551197,0.0297154989093542,False
soft_1mm_r1,Fy,160,0.0263771284371614,0.0257794950157403,0.0308376513421535,False
soft_1mm_r1,Fy,320,0.0250027254223823,0.0229336004704237,0.0273776799440383,False
soft_1mm_r1,Fy,426,0.0259521100670099,0.0223799869418144,0.0374800525605678,False
soft_1mm_r1,Fy,640,0.0268414616584777,0.0196550954133272,0.0369849912822246,False
soft_1mm_r1,Fy,854,0.0257315561175346,0.0232047364115715,0.0274776611477136,False
soft_1mm_r1,Fy,1280,0.0339723117649555,0.0253245178610086,0.0448968634009361,False
soft_1mm_r1,Fy,1920,0.0279155168682336,0.025484325364232,0.0285862684249877,False
soft_1mm_r1,Fz,8,0.1630247086286544,0.1403119415044784,0.2154616415500641,False
soft_1mm_r1,Fz,16,0.0971657410264015,0.0854472368955612,0.1080588996410369,False
soft_1mm_r1,Fz,32,0.0819699242711067,0.0693455263972282,0.1058496832847595,False
soft_1mm_r1,Fz,48,0.076828122138977,0.0762398838996887,0.1053884997963905,False
soft_1mm_r1,Fz,80,0.0717098638415336,0.066568911075592,0.0843900516629219,False
soft_1mm_r1,Fz,160,0.1186416521668434,0.0746682211756706,0.1443276852369308,False
soft_1mm_r1,Fz,320,0.1220351383090019,0.0915363579988479,0.1275727301836013,False
soft_1mm_r1,Fz,426,0.0807877108454704,0.0757082775235176,0.0882530510425567,False
soft_1mm_r1,Fz,640,0.084513634443283,0.0793185010552406,0.0918731987476348,False
soft_1mm_r1,Fz,854,0.0908460021018982,0.0804114937782287,0.100337728857994,False
soft_1mm_r1,Fz,1280,0.0810955911874771,0.0784823521971702,0.0819951817393302,False
soft_1mm_r1,Fz,1920,0.0802615955471992,0.0792935788631439,0.0877581387758255,False
soft_1mm_r2,Fx,8,0.061827152967453,0.0556709356606006,0.082120306789875,False
soft_1mm_r2,Fx,16,0.0386137887835502,0.0343603529036045,0.0394058413803577,False
soft_1mm_r2,Fx,32,0.0350712910294532,0.0332461521029472,0.0450373776257038,False
soft_1mm_r2,Fx,48,0.0296231471002101,0.026895772665739,0.0342119671404361,False
soft_1mm_r2,Fx,80,0.0328705534338951,0.0274917520582675,0.0333494246006011,False
soft_1mm_r2,Fx,160,0.0308607500046491,0.0293633863329887,0.0332788303494453,False
soft_1mm_r2,Fx,320,0.0280574671924114,0.0221815984696149,0.0378753244876861,False
soft_1mm_r2,Fx,426,0.0230014715343713,0.0216477904468774,0.0491155758500099,False
soft_1mm_r2,Fx,640,0.0298882648348808,0.0258365608751773,0.0573801733553409,False
soft_1mm_r2,Fx,854,0.0261359754949808,0.021170999854803,0.0288443714380264,False
soft_1mm_r2,Fx,1280,0.0304327383637428,0.0234892535954713,0.0341346487402915,False
soft_1mm_r2,Fx,1920,0.0329640209674835,0.023086491972208,0.0417095832526683,False
soft_1mm_r2,Fy,8,0.0488889962434768,0.0380754843354225,0.0544853582978248,False
soft_1mm_r2,Fy,16,0.0324566327035427,0.0311066340655088,0.0367670133709907,False
soft_1mm_r2,Fy,32,0.0360107384622097,0.0237765330821275,0.0371567644178867,False
soft_1mm_r2,Fy,48,0.0347185805439949,0.0312562771141529,0.0491905994713306,False
soft_1mm_r2,Fy,80,0.0354283191263675,0.0329337790608406,0.0376976057887077,False
soft_1mm_r2,Fy,160,0.0312652848660945,0.0310579985380172,0.047526579350233,False
soft_1mm_r2,Fy,320,0.0391759946942329,0.0330590270459651,0.0533300563693046,False
soft_1mm_r2,Fy,426,0.0331288985908031,0.0248107109218835,0.0335414931178092,False
soft_1mm_r2,Fy,640,0.0345408953726291,0.0301421210169792,0.0425179488956928,False
soft_1mm_r2,Fy,854,0.0328666195273399,0.0312919877469539,0.0384718514978885,False
soft_1mm_r2,Fy,1280,0.0352895781397819,0.0337215363979339,0.0447170510888099,False
soft_1mm_r2,Fy,1920,0.0511642098426818,0.0362454988062381,0.0546738132834434,False
soft_1mm_r2,Fz,8,0.1425420492887497,0.1357509046792984,0.2179750800132751,False
soft_1mm_r2,Fz,16,0.1275737881660461,0.0846067517995834,0.1494585573673248,False
soft_1mm_r2,Fz,32,0.1169896349310875,0.0815310403704643,0.1258453279733657,False
soft_1mm_r2,Fz,48,0.0943231955170631,0.0829296931624412,0.1052118316292762,False
soft_1mm_r2,Fz,80,0.090093232691288,0.0693030282855033,0.1207052692770958,False
soft_1mm_r2,Fz,160,0.0954602435231208,0.0877579450607299,0.0969677492976188,False
soft_1mm_r2,Fz,320,0.1070594191551208,0.087912231683731,0.1414889246225357,False
soft_1mm_r2,Fz,426,0.0911850184202194,0.087820790708065,0.1241338551044464,False
soft_1mm_r2,Fz,640,0.0829405561089515,0.0824102163314819,0.089044339954853,False
soft_1mm_r2,Fz,854,0.0819605216383934,0.0762440338730812,0.1022320836782455,False
soft_1mm_r2,Fz,1280,0.0939773842692375,0.0907454416155815,0.0948418527841568,False
soft_1mm_r2,Fz,1920,0.0973280072212219,0.0823714360594749,0.1057461127638816,False
soft_2mm_r1,Fx,8,0.0923907235264778,0.0519060008227825,0.0996633172035217,False
soft_2mm_r1,Fx,16,0.0411303341388702,0.0321612507104873,0.0413362942636013,False
soft_2mm_r1,Fx,32,0.0301769580692052,0.0236604083329439,0.033544186502695,False
soft_2mm_r1,Fx,48,0.027690639719367,0.0245522707700729,0.0283532310277223,False
soft_2mm_r1,Fx,80,0.029021430760622,0.0213572159409523,0.0485488176345825,False
soft_2mm_r1,Fx,160,0.0338927097618579,0.0276087876409292,0.0348978228867054,False
soft_2mm_r1,Fx,320,0.0311093255877494,0.0237824469804763,0.0443443544209003,False
soft_2mm_r1,Fx,426,0.0278764590620994,0.0235526021569967,0.0428238995373249,False
soft_2mm_r1,Fx,640,0.0282781589776277,0.0259865242987871,0.0329894237220287,False
soft_2mm_r1,Fx,854,0.0338917933404445,0.0294574070721864,0.0409168899059295,False
soft_2mm_r1,Fx,1280,0.0373780541121959,0.0338765904307365,0.0385470502078533,False
soft_2mm_r1,Fx,1920,0.0443206205964088,0.0352054722607135,0.0762903615832328,False
