principle,probe,measure,group_by,group,n_units,x_name,x,median,q1,q3
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.16157705613061912,181.40632460457806,147.79014905223437,216.45146388703554
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.21968531385727902,213.75543788254691,181.97063895668327,245.10516663361818
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.2777935715839389,240.81915180873625,203.963494328697,269.39570457978874
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.33590182931059887,267.2776790689352,238.70674460466898,294.9307963205301
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.3940100870372587,280.73585951998865,260.80891125731114,321.1801179368956
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.45211834476391866,298.48871281051316,282.85519563279036,335.6881524499688
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.5102266024905786,316.2415661010376,296.5773080191224,350.19618696304195
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.5683348602172384,357.0190711963842,334.94907031317604,382.3750507447635
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.6264431179438984,383.6222374375055,356.8480075702322,397.63432689277124
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.6845513756705582,397.1685773471733,374.9748186473479,410.13731605499277
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.7426596333972182,410.00911041856745,392.483466406796,423.76639835494456
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.8007678911238781,422.8496434899616,386.42124479600096,438.61369059107665
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.858876148850538,441.6491877819817,398.7708441788516,468.1946821695517
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.9169844065771979,446.3675048690421,405.2325380984566,465.0464714714046
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,0.9750926643038578,460.7688551437045,432.8981042608833,474.5382787367377
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.0332009220305178,474.6211146937715,439.66293108476543,479.66480754960736
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.0913091797571777,481.6363073832338,447.7503057095355,484.79133636247695
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.1494174374838377,488.65150007269614,457.4629664466858,494.25254439057125
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.2075256952104976,498.3119508671034,464.4259939943168,502.350197832482
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.2656339529371574,508.38453162709175,470.9793420247953,511.02859462818077
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.3237422106638175,496.3556562962985,474.3928957012579,516.4485364419079
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.3818504683904773,502.5550043170397,481.6848866839406,523.435175311385
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.4399587261171372,511.6598711523551,494.54790113237766,529.3788206887596
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.4980669838437972,520.6462294064938,507.42820218167077,532.6716472682936
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.556175241570457,526.6432527908676,512.4732761268501,538.78499823673
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.614283499297117,532.201088725549,517.5183500720294,544.3175157610215
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.6723917570237767,540.6487898525968,530.9335772156853,547.8839151703701
DIGIT,ball4,diameter_px,hardness,soft,6,depth_mm,1.7305000147504368,539.429314017333,533.1756716561647,545.7797067703336
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.16157705613061912,186.32259085936744,167.28792456751518,232.70746603267935
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.21968531385727902,214.55023082657462,194.52914333315945,260.65054889763843
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.2777935715839389,245.17438069299425,215.21860826091716,286.83321685021724
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.33590182931059887,275.9434689933929,249.26542671951643,305.1505057738833
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.3940100870372587,297.2684074675608,273.28373424048664,333.70302733961853
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.45211834476391866,318.5933459417287,293.4148852581413,363.28133083535266
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.5102266024905786,339.91828441589666,313.54603627579587,392.8596343310868
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.5683348602172384,385.17257623428213,324.12575966950294,419.34485492151384
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.6264431179438984,401.83689395613237,349.710353944198,440.31583406912114
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.6845513756705582,418.5012116779826,375.9279226031972,461.2868132167284
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.7426596333972182,439.267580951123,381.9759950852809,487.6973323326424
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.8007678911238781,450.1650293673122,398.59935077763976,510.8337833770068
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.858876148850538,458.61861368403953,415.22270646999857,523.886568573283
DIGIT,ball4,diameter_px,hardness,medium,6,depth_mm,0.9169844065771979,469.3946724058941,432.2657093126579,536.9393537695591
