sensor,probe,width_px,mae_mm
soft_1mm_r1,cyl4,8,0.085070506970176
soft_1mm_r1,cyl4,16,0.07134353772062947
soft_1mm_r1,cyl4,32,0.029891830501988174
soft_1mm_r1,cyl4,48,0.04025478503850623
soft_1mm_r1,cyl4,80,0.027393214695131025
soft_1mm_r1,cyl4,160,0.032376187212740604
soft_1mm_r1,cyl4,320,0.03519595443454902
soft_1mm_r1,cyl4,426,0.034941533870970425
soft_1mm_r1,cyl4,640,0.0348575956299655
soft_1mm_r1,cyl4,854,0.035297872789179494
soft_1mm_r1,cyl4,1280,0.0348444937839858
soft_1mm_r1,cyl4,1920,0.035277279384409596
soft_1mm_r1,cube4,8,0.05784670232558157
soft_1mm_r1,cube4,16,0.05784670232558157
soft_1mm_r1,cube4,32,0.020234067918255032
soft_1mm_r1,cube4,48,0.023825168974819132
soft_1mm_r1,cube4,80,0.024605891722065603
soft_1mm_r1,cube4,160,0.0245105019386832
soft_1mm_r1,cube4,320,0.022449601806821803
soft_1mm_r1,cube4,426,0.022534463919820766
soft_1mm_r1,cube4,640,0.02243347378335633
soft_1mm_r1,cube4,854,0.022606673705202727
soft_1mm_r1,cube4,1280,0.023038256036860102
soft_1mm_r1,cube4,1920,0.024181576190017037
soft_1mm_r2,cyl4,8,0.10647918655326727
soft_1mm_r2,cyl4,16,0.10266803642369322
soft_1mm_r2,cyl4,32,0.0751152003296986
soft_1mm_r2,cyl4,48,0.05861736636497324
soft_1mm_r2,cyl4,80,0.04815855224351571
soft_1mm_r2,cyl4,160,0.04369821746568372
soft_1mm_r2,cyl4,320,0.04352623198847461
soft_1mm_r2,cyl4,426,0.043476293783243726
soft_1mm_r2,cyl4,640,0.043858299951609205
soft_1mm_r2,cyl4,854,0.04366054291611535
soft_1mm_r2,cyl4,1280,0.043597494861340784
soft_1mm_r2,cyl4,1920,0.04329598724927133
soft_1mm_r2,cube4,8,0.13314841968726449
soft_1mm_r2,cube4,16,0.13510161074464425
soft_1mm_r2,cube4,32,0.1355302093266571
soft_1mm_r2,cube4,48,0.13208786127078295
soft_1mm_r2,cube4,80,0.10727254728707435
soft_1mm_r2,cube4,160,0.08939876988392623
soft_1mm_r2,cube4,320,0.0879483845177589
soft_1mm_r2,cube4,426,0.08776343183720517
soft_1mm_r2,cube4,640,0.08756413971601619
soft_1mm_r2,cube4,854,0.08695990534627843
soft_1mm_r2,cube4,1280,0.08599255974666116
soft_1mm_r2,cube4,1920,0.08441544266546179
soft_2mm_r1,cyl4,8,0.17849925647410514
soft_2mm_r1,cyl4,16,0.17849925647410514
soft_2mm_r1,cyl4,32,0.13563674360434477
soft_2mm_r1,cyl4,48,0.09336822252951828
soft_2mm_r1,cyl4,80,0.08443885104336306
soft_2mm_r1,cyl4,160,0.08504688795882427
soft_2mm_r1,cyl4,320,0.08573990309216543
soft_2mm_r1,cyl4,426,0.0859473533330159
soft_2mm_r1,cyl4,640,0.08625688273686134
soft_2mm_r1,cyl4,854,0.08660717426715259
soft_2mm_r1,cyl4,1280,0.08673000453887351
soft_2mm_r1,cyl4,1920,0.08653902691084113
soft_2mm_r1,cube4,8,0.12738633434706154
soft_2mm_r1,cube4,16,0.12738633434706154
soft_2mm_r1,cube4,32,0.12738633434706154
soft_2mm_r1,cube4,48,0.07623484264545864
soft_2mm_r1,cube4,80,0.03253113508952884
soft_2mm_r1,cube4,160,0.03349807143939757
soft_2mm_r1,cube4,320,0.035546578772199404
soft_2mm_r1,cube4,426,0.03618629058930504
soft_2mm_r1,cube4,640,0.03696912060909697
soft_2mm_r1,cube4,854,0.03745422046118207
soft_2mm_r1,cube4,1280,0.0379517429146491
soft_2mm_r1,cube4,1920,0.03765301933619604
soft_2mm_r2,cyl4,8,0.22220345145121279
soft_2mm_r2,cyl4,16,0.3947728934022586
soft_2mm_r2,cyl4,32,0.5427581133577029
soft_2mm_r2,cyl4,48,0.6048582555982271
soft_2mm_r2,cyl4,80,0.6314940812322298
soft_2mm_r2,cyl4,160,0.5291404189798037
