unit,hardness,thickness_mm,rep,probe,ceiling_N,depth_mm,status,suspect_hardware
soft_1mm_r1,soft,1,1,ball8,23.412549826683517,0.9599031401923668,characterised,False
soft_1mm_r2,soft,1,2,ball8,22.449198933907432,1.3153767166200367,characterised,False
soft_2mm_r1,soft,2,1,ball8,17.71834051220396,1.5753167070132683,characterised,False
soft_2mm_r2,soft,2,2,ball8,14.735948722276902,1.496014633415438,characterised,False
soft_3mm_r1,soft,3,1,ball8,11.76112258608135,1.796520162529884,characterised,False
soft_3mm_r2,soft,3,2,ball8,11.09157022794685,1.9265881495165402,characterised,False
medium_1mm_r1,medium,1,1,ball8,18.21929859107194,1.0912059627263702,characterised,False
medium_1mm_r2,medium,1,2,ball8,22.072333152914783,1.158726017423568,characterised,False
medium_2mm_r1,medium,2,1,ball8,14.138581849754152,1.6478677457603972,characterised,False
medium_2mm_r2,medium,2,2,ball8,22.590942160303705,1.528356973132368,characterised,False
medium_3mm_r1,medium,3,1,ball8,14.4159646485878,2.067055300283876,characterised,False
medium_3mm_r2,medium,3,2,ball8,15.034245909708702,2.160886736672076,characterised,False
hard_1mm_r1,hard,1,1,ball8,19.455364506231252,1.0952844868099518,characterised,False
hard_1mm_r2,hard,1,2,ball8,16.95072029347406,0.9620606494110469,characterised,False
hard_2mm_r1,hard,2,1,ball8,22.410931704859557,1.68118929727925,characterised,False
hard_2mm_r2,hard,2,2,ball8,17.73768481074213,1.467904162329777,characterised,False
hard_3mm_r1,hard,3,1,ball8,11.834344627802519,1.8226737002265274,characterised,False
hard_3mm_r2,hard,3,2,ball8,13.673424114011727,1.6889990863531956,characterised,False
