principle,probe,measure,group_by,group,n_units,x_name,x,median,q1,q3
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,0.33488809994493524,241.58823837633685,216.3057986968282,246.97605751894378
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,0.6675937493043143,279.2397625526248,261.78640283913955,289.4270054670251
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,1.0002993986636932,302.01553037631925,261.97459617186104,320.8735862496545
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,1.3330050480230722,329.0449677758899,301.6646608909648,356.92845885031755
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,1.6657106973824511,350.340034555772,316.6006216393782,370.4761938507022
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,1.9984163467418303,371.63588787113815,330.1262408752827,392.93085017811154
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,2.3311219961012095,394.2194879395224,345.0353253780016,425.64364897593185
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,2.6638276454605885,407.6953937797807,370.58938895311553,433.33632416296916
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,2.9965332948199674,409.49597422748593,383.74194737549885,445.9251776396171
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,3.3292389441793464,419.0239075392126,395.0434741465756,472.4768928996248
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,3.6619445935387254,428.55184085093913,405.87449838417933,482.0743837015393
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,3.9946502428981048,439.08193498385344,416.47016140110327,491.37736391944287
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,4.327355892257483,450.9361891028283,428.1583308017755,507.405451515184
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,4.660061541616862,459.399402135232,438.16905350422815,515.55694885232
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,4.992767190976241,465.56858015481646,450.58967083215174,522.0093420465467
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,5.32547284033562,479.4855555355739,469.9758588173399,536.737471779586
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,5.658178489695,503.83926871380936,474.84791798315507,552.9482304279023
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,5.990884139054378,517.6291432463973,476.6473149647597,554.27369626023
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,6.3235897884137575,520.3498688748385,477.0414688133586,562.3491223619844
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,6.656295437773136,521.6326663566039,483.2646550819751,574.2941703667979
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,6.989001087132515,542.0572408277535,501.5823541522674,589.2179506668533
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,7.321706736491894,555.9473986129074,520.8589007881205,592.8476117011952
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,7.654412385851273,574.6921034945269,525.090650534466,597.2147337458033
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,7.987118035210653,575.9822828577035,521.0592508794463,597.5888480679428
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,8.319823684570032,578.3750549037413,534.1883324453604,602.5598116756871
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,8.65252933392941,594.2562460145123,542.1632104065552,608.7457028817232
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,8.98523498328879,594.1903560092632,544.5222675430333,610.5067755031139
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,9.317940632648169,581.2158394376725,539.0675963436727,610.9157598777747
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,9.650646282007548,583.6924244901957,540.716965289347,615.3147483158565
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,9.983351931366926,586.6903164710586,542.0672635976002,617.1618493875744
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,10.316057580726305,572.6971047360839,525.2958310262067,625.4666031872471
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,10.648763230085684,535.5087669323166,516.7536661550969,573.7195935132894
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,10.981468879445064,537.5218894076214,519.5318339156843,575.4161590647827
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,11.314174528804443,541.0239511321123,524.5407013546439,577.8571942408691
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,11.646880178163821,544.5260128566033,527.551400361721,580.0279645067716
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,11.9795858275232,548.0280745810943,529.6827457005154,582.1621849524922
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,12.31229147688258,551.5301363055852,531.8140910393098,584.312396102722
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,12.64499712624196,551.4595774464697,532.159126086301,584.750842087503
DIGIT_Marker,ball4,diameter_px,hardness,soft,6,force_N,12.977702775601339,551.1819109939606,532.4006073365954,585.0857342755871
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,0.33488809994493524,223.4419459920544,185.4158998240702,228.87102732457186
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,0.6675937493043143,252.74076371413653,236.80273796710907,265.4745385035102
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,1.0002993986636932,266.2204885751938,254.15632311023725,293.61475086498774
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,1.3330050480230722,295.20095472655265,277.70963245899,319.76171020236455
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,1.6657106973824511,340.451224605255,292.82985581374305,347.7278178512368
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,1.9984163467418303,337.9668100232023,317.44491428803144,376.7267974000913
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,2.3311219961012095,353.91056895867706,333.9335883368553,390.4926673399547
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,2.6638276454605885,369.8543278941518,349.93161003684463,402.8059167914264
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,2.9965332948199674,395.1919881092117,365.929631736834,418.02440721968156
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,3.3292389441793464,427.61850755446926,382.03440893149053,431.790277159545
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,3.6619445935387254,445.55614709940846,398.4965432093994,451.8197727946173
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,3.9946502428981048,456.38730065070274,414.95867748730836,467.9272620278733
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,4.327355892257483,464.449222354159,431.42081176521725,476.0644447272079
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,4.660061541616862,472.51114405761535,454.6127987150766,484.2016274265424
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,4.992767190976241,480.57306576107163,459.02605026364506,492.33881012587693
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,5.32547284033562,488.63498746452797,472.28339894788644,500.4759928252115
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,5.658178489695,508.4094053307326,476.80814842553866,508.6131755245461
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,5.990884139054378,524.160492202926,480.10155139759956,535.1397839187757
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,6.3235897884137575,548.0961932272886,498.2004281564418,555.6853324898683
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,6.656295437773136,549.047461904807,508.4461249234669,573.6146269188334
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,6.989001087132515,561.6035059496581,515.81828370185,588.2136126143254
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,7.321706736491894,564.2483049317141,514.2165487868987,614.2344898825551
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,7.654412385851273,573.3263381124731,523.5630601076311,616.2223020725443
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,7.987118035210653,575.9526599454528,523.5349010608229,622.121483647833
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,8.319823684570032,593.7637178885103,526.1919095422579,627.8191393726078
DIGIT_Marker,ball4,diameter_px,hardness,medium,6,force_N,8.65252933392941,560.7252583029885,487.3399051231841,602.4549014506186
