axis,width_px,mae
Fx,8,0.0635029301047325
Fx,16,0.0427401140332222
Fx,32,0.0401299446821212
Fx,48,0.0333463586866855
Fx,80,0.028615478426218
Fx,160,0.0296942684799432
Fx,320,0.0308645218610763
Fx,426,0.0296593308448791
Fx,640,0.0315036438405513
Fx,854,0.0312875397503376
Fx,1280,0.0318183973431587
Fx,1920,0.026013411581516252
Fy,8,0.0742074996232986
Fy,16,0.0534209161996841
Fy,32,0.0491361357271671
Fy,48,0.0425078049302101
Fy,80,0.037993561476469
Fy,160,0.0376273989677429
Fy,320,0.043403398245573
Fy,426,0.0419068709015846
Fy,640,0.0393747836351394
Fy,854,0.0378879904747009
Fy,1280,0.0395280681550502
Fy,1920,0.03105002455413335
Fz,8,0.1694247871637344
Fz,16,0.1183730512857437
Fz,32,0.107316255569458
Fz,48,0.0972419381141662
Fz,80,0.081019602715969
Fz,160,0.0920647233724594
Fz,320,0.0994204729795456
Fz,426,0.0908387526869773
Fz,640,0.0949746370315551
Fz,854,0.0993481278419494
Fz,1280,0.1043450683355331
Fz,1920,0.0995399765670299
