unit,probe,hardness,thickness_mm,rep,n,depth_lo_mm,depth_hi_mm,r2,dia_slope_px_per_mm,level_slope_per_mm
hard_1mm_r1,ball4,hard,1,1,9,0.1245171421117419,0.8210419409674614,0.9780219263033973,530.5080495218044,7.395398748686571
hard_1mm_r2,ball4,hard,1,2,18,0.1087665033168647,1.076230915777419,0.9550073174745966,397.5337655708648,8.51002051434434
hard_2mm_r1,ball4,hard,2,1,30,0.0990076228916798,1.809191211799984,0.9913817899736808,273.1546632718084,10.723056631459716
hard_2mm_r2,ball4,hard,2,2,27,0.1069262444326994,1.8386777979223297,0.9248446454620434,262.01926847252156,11.747077972418387
hard_3mm_r1,ball4,hard,3,1,35,0.1113347641602011,2.469414974971816,0.9759288059549376,185.98179662550908,7.94597290565095
hard_3mm_r2,ball4,hard,3,2,49,0.1028105555095031,2.7639254170938905,0.9733807260098039,146.59976736763804,6.310953705674358
medium_1mm_r1,ball4,medium,1,1,21,0.1077135914686735,1.6037119787833518,0.9798241167351194,373.50977941464197,10.340161457117755
medium_1mm_r2,ball4,medium,1,2,7,0.1092299493813726,0.7134590958442324,0.8568885266174404,328.6439612118957,4.866797382786714
medium_2mm_r1,ball4,medium,2,1,32,0.1158583438339881,1.9620712001592224,0.9803515255669953,243.57094457570352,10.886579890326253
medium_2mm_r2,ball4,medium,2,2,25,0.1111081468355585,1.8975267341562656,0.9922137942530614,283.56843757951253,10.707107455215532
medium_3mm_r1,ball4,medium,3,1,37,0.1120112621740467,2.5158408038093683,0.9027017701653464,72.20882555959831,4.280201295757159
medium_3mm_r2,ball4,medium,3,2,41,0.1074538994639233,2.7538876786323065,0.9742703094791823,168.62542123803928,4.830997378228154
soft_1mm_r1,ball4,soft,1,1,19,0.1103518738151478,1.2727021687009383,0.9164624610914153,329.757198473174,12.6062016968933
soft_1mm_r2,ball4,soft,1,2,20,0.185466100140438,1.4163168526893948,0.9800332139797907,378.744123908418,11.441042724563815
soft_2mm_r1,ball4,soft,2,1,32,0.111998611986305,2.1654917587027995,0.981158376879115,245.27492274627,10.234620084048586
soft_2mm_r2,ball4,soft,2,2,30,0.1110915048670975,1.9571833016283264,0.9799723989780141,222.64667900489923,9.78480066126733
soft_3mm_r1,ball4,soft,3,1,41,0.1078743532358821,2.541015831540747,0.9781308665807134,201.51040585847664,8.226188971638006
soft_3mm_r2,ball4,soft,3,2,40,0.1066659466886967,2.3747252134118355,0.9511382141513216,184.93690333642775,8.952987347416038
