sensor,axis,width_px,median,min,max
soft_1mm_r1,Tx,8,0.0019319227430969,0.001561643090099,0.002848646370694
soft_1mm_r1,Tx,16,0.0017350198468193,0.0013276004465296,0.0019034821307286
soft_1mm_r1,Tx,32,0.0015496020205318,0.0013638235395774,0.0020704525522887
soft_1mm_r1,Tx,48,0.0011512592900544,0.0010353216202929,0.0015690028667449
soft_1mm_r1,Tx,80,0.0008949332404881,0.0008807612466625,0.001173720229417
soft_1mm_r1,Tx,160,0.0009666120167821,0.0008681864128448,0.0011403524549677
soft_1mm_r1,Tx,320,0.0010193447815254,0.0009536204161122,0.0019820043817162
soft_1mm_r1,Tx,426,0.0008971542119979,0.0008933258941397,0.0010323056485503
soft_1mm_r1,Tx,640,0.0009436327964067,0.0009413518127985,0.0009889128850772
soft_1mm_r1,Tx,854,0.0011109107872471,0.0010629941243678,0.0014951821649447
soft_1mm_r1,Tx,1280,0.0009734469931572,0.0008606835035607,0.0012366176815703
soft_1mm_r1,Tx,1920,0.0009335115319117,0.0007986961281858,0.0009936874266713
soft_1mm_r1,Ty,8,0.0017392215086147,0.0012775248615071,0.0025739336851984
soft_1mm_r1,Ty,16,0.0009526908397674,0.0008225010242313,0.0012190665584057
soft_1mm_r1,Ty,32,0.0007938146591186,0.0007572125759907,0.0008032178157009
soft_1mm_r1,Ty,48,0.0008625816553831,0.0007925193058326,0.0010046025272458
soft_1mm_r1,Ty,80,0.000713198678568,0.0005390016594901,0.000819485168904
soft_1mm_r1,Ty,160,0.000682451413013,0.0006662793457508,0.000724006909877
soft_1mm_r1,Ty,320,0.000634393072687,0.0005770042189396,0.000757603207603
soft_1mm_r1,Ty,426,0.000761715171393,0.0006013083038851,0.000820213870611
soft_1mm_r1,Ty,640,0.0005333337467163,0.0005163941532373,0.0006036596605554
soft_1mm_r1,Ty,854,0.0005618129507638,0.0005384715623222,0.0006774223875254
soft_1mm_r1,Ty,1280,0.0005704111536033,0.0005393157480284,0.0005897625233046
soft_1mm_r1,Ty,1920,0.0005265872459858,0.0005029827007092,0.0005937379901297
soft_1mm_r1,Tz,8,0.000235556406551,0.0002354569878662,0.0002587222552392
soft_1mm_r1,Tz,16,0.0001970956946024,0.0001859563344623,0.0002041343104792
soft_1mm_r1,Tz,32,0.0002001153334276,0.0001850462140282,0.0002222048206022
soft_1mm_r1,Tz,48,0.0002156780828954,0.0002143283782061,0.0002310790587216
soft_1mm_r1,Tz,80,0.0002212414983659,0.0002192551473854,0.0002280940534546
