principle,hardness,thickness_mm,mean,min,max,count
9DTact,hard,1,27.510294207386806,27.510294207386806,27.510294207386806,1
9DTact,hard,2,43.56670745624488,43.32170674399263,43.81170816849713,2
9DTact,hard,3,61.74385388648159,60.32792947150917,63.159778301454004,2
9DTact,medium,1,31.00153968042581,31.00153968042581,31.00153968042581,1
9DTact,medium,2,30.207202253506903,30.207202253506903,30.207202253506903,1
9DTact,medium,3,36.33014738246179,34.182887472624984,38.477407292298594,2
9DTact,soft,1,27.324366726515088,26.799817552457977,27.848915900572194,2
9DTact,soft,2,27.424565068416726,24.610286158155468,30.238843978677988,2
9DTact,soft,3,30.80667415025509,30.639473352105313,30.97387494840487,2
DIGIT,hard,1,18.203042399852656,16.95072029347406,19.455364506231252,2
DIGIT,hard,2,20.074308257800844,17.73768481074213,22.410931704859557,2
DIGIT,hard,3,12.753884370907123,11.834344627802519,13.673424114011727,2
DIGIT,medium,1,20.145815871993364,18.21929859107194,22.072333152914783,2
DIGIT,medium,2,18.36476200502893,14.138581849754152,22.590942160303705,2
DIGIT,medium,3,14.72510527914825,14.4159646485878,15.034245909708702,2
DIGIT,soft,1,22.930874380295474,22.449198933907432,23.412549826683517,2
DIGIT,soft,2,16.22714461724043,14.735948722276902,17.71834051220396,2
DIGIT,soft,3,11.426346407014101,11.09157022794685,11.76112258608135,2
