unit,probe,gap_mm,depth_mm,sep_px,px_per_mm_recorded,px_per_mm_from_pair,ratio
hard_1mm_r1,pair010,1.1,0.0866287475739078,83.13431,111.53844423253166,75.576645,0.6775838
hard_1mm_r1,pair010,1.1,0.1840486012645925,83.97287,111.53844423253166,76.338974,0.6844185
hard_1mm_r1,pair010,1.1,0.2871180135096125,82.98163,111.53844423253166,75.43784,0.6763394
hard_1mm_r1,pair010,1.1,0.3847651920859221,51.30954,111.53844423253166,46.645035,0.41819692
hard_1mm_r1,pair010,1.1,0.4824240274507119,66.417114,111.53844423253166,60.379192,0.54133075
hard_1mm_r1,pair010,1.1,0.5819197993253553,67.7287,111.53844423253166,61.571545,0.55202085
hard_1mm_r2,pair010,1.1,0.0750291534711209,99.96069,115.03737619756724,90.87335,0.7899463
hard_1mm_r2,pair010,1.1,0.1771773613093472,116.65625,115.03737619756724,106.05113,0.9218841
hard_1mm_r2,pair010,1.1,0.2773366370839589,83.03641,115.03737619756724,75.48764,0.656201
hard_1mm_r2,pair010,1.1,0.3801317715175862,66.56366,115.03737619756724,60.512417,0.526024
hard_1mm_r2,pair010,1.1,0.4767537054202506,66.3219,115.03737619756724,60.292633,0.5241134
hard_1mm_r2,pair010,1.1,0.5956948970666787,65.766785,115.03737619756724,59.787983,0.5197266
hard_2mm_r1,pair010,1.1,0.0729859403407147,200.59167,100.27075946854174,182.35606,1.8186365
hard_2mm_r1,pair010,1.1,0.1707807746787004,199.01608,100.27075946854174,180.9237,1.8043516
hard_2mm_r1,pair010,1.1,0.2829355575548895,181.9714,100.27075946854174,165.42854,1.6498184
hard_2mm_r1,pair010,1.1,0.3728227570533207,64.696106,100.27075946854174,58.81464,0.5865582
hard_2mm_r1,pair010,1.1,0.4717665139225495,64.55322,100.27075946854174,58.684746,0.5852628
hard_2mm_r1,pair010,1.1,0.5725527692473946,15.959351,100.27075946854174,14.5085,0.14469323
hard_2mm_r1,pair010,1.1,0.673204671424191,32.26071,100.27075946854174,29.327919,0.29248726
hard_2mm_r1,pair010,1.1,0.7747917232293702,63.080353,100.27075946854174,57.345776,0.57190925
hard_2mm_r1,pair010,1.1,0.8752566445871288,78.21335,100.27075946854174,71.10304,0.70911044
hard_2mm_r2,pair010,1.1,0.0907929342004827,200.56003,102.7935350284538,182.3273,1.7737235
hard_2mm_r2,pair010,1.1,0.1954142965579599,147.82095,102.7935350284538,134.38268,1.3073066
hard_2mm_r2,pair010,1.1,0.281279970058744,64.56085,102.7935350284538,58.69168,0.57096666
hard_2mm_r2,pair010,1.1,0.3780166702506484,16.041687,102.7935350284538,14.583351,0.14187032
hard_2mm_r2,pair010,1.1,0.4776338223910308,16.167297,102.7935350284538,14.697543,0.1429812
hard_2mm_r2,pair010,1.1,0.5753734594587456,16.41977,102.7935350284538,14.927063,0.14521402
hard_2mm_r2,pair010,1.1,0.6732908226329961,125.680145,102.7935350284538,114.25468,1.1114967
hard_2mm_r2,pair010,1.1,0.7715789651657055,141.79297,102.7935350284538,128.9027,1.2539961
hard_2mm_r2,pair010,1.1,0.8767817072012463,15.577728,102.7935350284538,14.161571,0.13776714
hard_3mm_r1,pair010,1.1,0.0719499581426568,197.34164,81.72066080898522,179.40149,2.1953015
hard_3mm_r1,pair010,1.1,0.1724395917573993,164.29907,81.72066080898522,149.3628,1.8277239
hard_3mm_r1,pair010,1.1,0.2745472414285395,164.20148,81.72066080898522,149.27406,1.8266381
hard_3mm_r1,pair010,1.1,0.3761606933027508,179.37677,81.72066080898522,163.0698,1.9954537
hard_3mm_r1,pair010,1.1,0.470435019580524,179.94424,81.72066080898522,163.58568,2.0017664
hard_3mm_r1,pair010,1.1,0.5763998761869153,179.80365,81.72066080898522,163.45786,2.0002024
hard_3mm_r1,pair010,1.1,0.6778738299744091,179.94296,81.72066080898522,163.5845,2.0017521
hard_3mm_r1,pair010,1.1,0.7735127268896527,178.78198,81.72066080898522,162.52907,1.988837
hard_3mm_r1,pair010,1.1,0.8777519649891694,64.67099,81.72066080898522,58.79181,0.71942407
hard_3mm_r2,pair010,1.1,0.076347629497242,151.31766,96.62694639098942,137.56151,1.4236351
hard_3mm_r2,pair010,1.1,0.176089674899206,101.25787,96.62694639098942,92.05261,0.95265985
hard_3mm_r2,pair010,1.1,0.2748009825364832,100.91669,96.62694639098942,91.74244,0.94944984
hard_3mm_r2,pair010,1.1,0.3762466851615897,84.27783,96.62694639098942,76.61621,0.7929073
hard_3mm_r2,pair010,1.1,0.4782422752250959,84.61322,96.62694639098942,76.921104,0.79606265
hard_3mm_r2,pair010,1.1,0.5777916895177491,84.468475,96.62694639098942,76.78952,0.7947009
hard_3mm_r2,pair010,1.1,0.6798972698559247,83.470215,96.62694639098942,75.88201,0.785309
hard_3mm_r2,pair010,1.1,0.7803874376134772,83.94119,96.62694639098942,76.31017,0.7897401
hard_3mm_r2,pair010,1.1,0.8811247222716148,84.21832,96.62694639098942,76.56211,0.79234743
medium_1mm_r1,pair010,1.1,0.0826230561346719,134.9689,110.05490199956606,122.699,1.114889
medium_1mm_r1,pair010,1.1,0.1919333487889041,132.44958,110.05490199956606,120.408714,1.0940787
medium_1mm_r1,pair010,1.1,0.2804075984886509,82.05148,110.05490199956606,74.592255,0.6777731
medium_1mm_r1,pair010,1.1,0.3767285473642019,131.16412,110.05490199956606,119.24011,1.0834602
medium_1mm_r1,pair010,1.1,0.470973693524801,65.201904,110.05490199956606,59.274456,0.5385899
medium_1mm_r1,pair010,1.1,0.5757476983841485,64.84961,110.05490199956606,58.95419,0.5356798
medium_1mm_r2,pair010,1.1,0.0931557577082493,69.56726,106.82160956264525,63.24296,0.59204274
medium_1mm_r2,pair010,1.1,0.1929661579438502,69.973785,106.82160956264525,63.61253,0.59550244
medium_1mm_r2,pair010,1.1,0.2847749672543251,70.03873,106.82160956264525,63.67157,0.59605515
medium_1mm_r2,pair010,1.1,0.3869952953052511,70.117035,106.82160956264525,63.742756,0.59672153
medium_1mm_r2,pair010,1.1,0.4830758658501395,70.13208,106.82160956264525,63.756435,0.5968496
medium_1mm_r2,pair010,1.1,0.5854344362063593,69.56891,106.82160956264525,63.24446,0.5920568
medium_2mm_r1,pair010,1.1,0.083685750158434,146.3233,99.33155775055789,133.02118,1.3391633
medium_2mm_r1,pair010,1.1,0.1853871361344872,146.08832,99.33155775055789,132.80756,1.3370128
medium_2mm_r1,pair010,1.1,0.2886026689006122,178.8482,99.33155775055789,162.58928,1.636834
medium_2mm_r1,pair010,1.1,0.3886809127982431,179.05396,99.33155775055789,162.77632,1.638717
medium_2mm_r1,pair010,1.1,0.492598895149289,64.55133,99.33155775055789,58.683025,0.59077924
medium_2mm_r1,pair010,1.1,0.5822360348200704,48.388245,99.33155775055789,43.98931,0.44285333
medium_2mm_r1,pair010,1.1,0.6842060184522545,15.520569,99.33155775055789,14.109608,0.14204557
medium_2mm_r1,pair010,1.1,0.7865020190630752,47.698456,99.33155775055789,43.362232,0.43654034
medium_2mm_r1,pair010,1.1,0.8880721926645343,129.35242,99.33155775055789,117.5931,1.1838443
medium_2mm_r2,pair010,1.1,0.0899163755433143,81.61099,103.50675559732468,74.19181,0.71678233
medium_2mm_r2,pair010,1.1,0.1843884337247487,81.10666,103.50675559732468,73.73332,0.71235275
medium_2mm_r2,pair010,1.1,0.28408021090668,81.466064,103.50675559732468,74.06006,0.7155094
medium_2mm_r2,pair010,1.1,0.3826316498022741,80.66147,103.50675559732468,73.328606,0.70844275
medium_2mm_r2,pair010,1.1,0.48858434936691,64.44205,103.50675559732468,58.58368,0.56598896
medium_2mm_r2,pair010,1.1,0.588201263795515,64.8681,103.50675559732468,58.971,0.56973094
medium_2mm_r2,pair010,1.1,0.682257141575807,48.872772,103.50675559732468,44.42979,0.42924532
medium_2mm_r2,pair010,1.1,0.7870903875260069,32.21112,103.50675559732468,29.282837,0.28290752
medium_2mm_r2,pair010,1.1,0.8860617007854579,15.845642,103.50675559732468,14.4051285,0.1391709
medium_3mm_r1,pair010,1.1,0.0725363877575198,170.03275,85.4583072072852,154.57523,1.8087795
medium_3mm_r1,pair010,1.1,0.1707101170284453,187.53732,85.4583072072852,170.48846,1.99499
medium_3mm_r1,pair010,1.1,0.277631734298069,186.15622,85.4583072072852,169.23293,1.9802982
medium_3mm_r1,pair010,1.1,0.3729537626224193,186.23965,85.4583072072852,169.30878,1.9811858
medium_3mm_r1,pair010,1.1,0.4782532191220738,203.25964,85.4583072072852,184.7815,2.1622415
medium_3mm_r1,pair010,1.1,0.5723116158138062,187.27844,85.4583072072852,170.25313,1.9922361
medium_3mm_r1,pair010,1.1,0.6740197509774042,204.21942,85.4583072072852,185.65402,2.1724515
medium_3mm_r1,pair010,1.1,0.7778287480333468,186.06485,85.4583072072852,169.14986,1.9793261
medium_3mm_r1,pair010,1.1,0.8823989687369007,185.4773,85.4583072072852,168.61572,1.9730759
medium_3mm_r2,pair010,1.1,0.0916949236962416,188.18127,88.9440148124593,171.07388,1.9233884
medium_3mm_r2,pair010,1.1,0.1765590950065281,188.51245,88.9440148124593,171.37495,1.9267733
medium_3mm_r2,pair010,1.1,0.273332503465145,188.75522,88.9440148124593,171.59564,1.9292545
medium_3mm_r2,pair010,1.1,0.3761252848774212,189.42392,88.9440148124593,172.20355,1.9360893
medium_3mm_r2,pair010,1.1,0.4868467747096439,189.98859,88.9440148124593,172.71689,1.9418607
medium_3mm_r2,pair010,1.1,0.5816894892995705,190.20169,88.9440148124593,172.91063,1.944039
medium_3mm_r2,pair010,1.1,0.6807271237108097,68.8685,88.9440148124593,62.607727,0.7039004
medium_3mm_r2,pair010,1.1,0.7860196143837967,68.789215,88.9440148124593,62.53565,0.70309
medium_3mm_r2,pair010,1.1,0.8829153410766502,68.38049,88.9440148124593,62.16408,0.69891244
soft_1mm_r1,pair010,1.1,0.0805037063475033,132.43979,108.24754899274964,120.3998,1.1122636
soft_1mm_r1,pair010,1.1,0.1858819271692979,131.4306,108.24754899274964,119.48236,1.1037881
soft_1mm_r1,pair010,1.1,0.2868855937156418,65.46387,108.24754899274964,59.512604,0.54978245
soft_1mm_r1,pair010,1.1,0.3900669935140399,65.42148,108.24754899274964,59.47407,0.5494265
soft_1mm_r1,pair010,1.1,0.4857095952836374,65.279816,108.24754899274964,59.345287,0.5482368
soft_1mm_r1,pair010,1.1,0.5819385804140254,64.61423,108.24754899274964,58.740204,0.54264694
soft_1mm_r2,pair010,1.1,0.0815891539505564,84.56497,108.58893955405401,76.87724,0.70796573
soft_1mm_r2,pair010,1.1,0.1784348813988749,67.64227,108.58893955405401,61.492973,0.56629133
soft_1mm_r2,pair010,1.1,0.2804331611876911,85.02292,108.58893955405401,77.293564,0.7117996
soft_1mm_r2,pair010,1.1,0.387330485429679,68.31616,108.58893955405401,62.105602,0.57193303
soft_1mm_r2,pair010,1.1,0.4832241895292597,67.61719,108.58893955405401,61.47017,0.56608135
soft_1mm_r2,pair010,1.1,0.5789892544088744,67.468506,108.58893955405401,61.335003,0.56483656
soft_2mm_r1,pair010,1.1,0.0839099417023661,97.85364,102.40223895223372,88.95785,0.86871
soft_2mm_r1,pair010,1.1,0.184904314417448,65.28693,102.40223895223372,59.35175,0.57959425
soft_2mm_r1,pair010,1.1,0.2814403528211961,81.09726,102.40223895223372,73.72478,0.7199528
soft_2mm_r1,pair010,1.1,0.3838999729420642,80.68347,102.40223895223372,73.34861,0.7162794
soft_2mm_r1,pair010,1.1,0.486375173364479,63.73816,102.40223895223372,57.94378,0.56584483
soft_2mm_r1,pair010,1.1,0.5942499312530529,65.19232,102.40223895223372,59.265747,0.5787544
soft_2mm_r1,pair010,1.1,0.6890794290449662,48.35266,102.40223895223372,43.956963,0.42925784
soft_2mm_r1,pair010,1.1,0.7873343705175984,32.04767,102.40223895223372,29.134243,0.28450787
soft_2mm_r1,pair010,1.1,0.886571310003994,66.94391,102.40223895223372,60.858097,0.5943044
soft_2mm_r2,pair010,1.1,0.0905180788017752,194.82666,100.65686622411557,177.11514,1.7595932
soft_2mm_r2,pair010,1.1,0.1834248237398661,80.70349,100.65686622411557,73.366806,0.7288803
soft_2mm_r2,pair010,1.1,0.2695862524051691,81.28717,100.65686622411557,73.89742,0.73415184
soft_2mm_r2,pair010,1.1,0.3811660456206134,65.36612,100.65686622411557,59.423744,0.59035957
soft_2mm_r2,pair010,1.1,0.4805339433073712,16.24466,100.65686622411557,14.767872,0.146715
soft_2mm_r2,pair010,1.1,0.5775582871770126,33.046753,100.65686622411557,30.042501,0.2984645
soft_2mm_r2,pair010,1.1,0.6713744751356181,32.634735,100.65686622411557,29.66794,0.29474333
soft_2mm_r2,pair010,1.1,0.773744751074144,112.902405,100.65686622411557,102.63855,1.0196875
soft_2mm_r2,pair010,1.1,0.8714640875017139,129.47296,100.65686622411557,117.70269,1.1693459
soft_3mm_r1,pair010,1.1,0.0809704528978976,99.52985,92.94103543113387,90.481674,0.9735385
soft_3mm_r1,pair010,1.1,0.1802026097822491,214.47522,92.94103543113387,194.97746,2.097862
soft_3mm_r1,pair010,1.1,0.2812897327249715,215.52008,92.94103543113387,195.92734,2.1080823
soft_3mm_r1,pair010,1.1,0.3811340997693158,99.41467,92.94103543113387,90.376976,0.972412
soft_3mm_r1,pair010,1.1,0.4730252734028362,197.81909,92.94103543113387,179.83554,1.9349424
soft_3mm_r1,pair010,1.1,0.5796311804147081,199.23508,92.94103543113387,181.12279,1.9487925
soft_3mm_r1,pair010,1.1,0.6772279734149187,82.70343,92.94103543113387,75.18494,0.8089531
soft_3mm_r1,pair010,1.1,0.7894790868639845,83.115845,92.94103543113387,75.55986,0.8129871
soft_3mm_r1,pair010,1.1,0.8786792785612825,82.744385,92.94103543113387,75.22217,0.8093537
soft_3mm_r2,pair010,1.1,0.0751095530535899,181.1897,90.04349551673289,164.7179,1.8293147
soft_3mm_r2,pair010,1.1,0.1732748358190008,180.51373,90.04349551673289,164.1034,1.8224902
soft_3mm_r2,pair010,1.1,0.2745903473049331,182.08923,90.04349551673289,165.53566,1.8383967
soft_3mm_r2,pair010,1.1,0.3741000845022384,179.81116,90.04349551673289,163.46469,1.815397
soft_3mm_r2,pair010,1.1,0.4736786494010552,183.5076,90.04349551673289,166.82509,1.8527167
soft_3mm_r2,pair010,1.1,0.5673362897524044,182.80765,90.04349551673289,166.18877,1.8456498
soft_3mm_r2,pair010,1.1,0.6738890927982837,182.64984,90.04349551673289,166.0453,1.8440566
soft_3mm_r2,pair010,1.1,0.7760432563343151,202.08093,90.04349551673289,183.70993,2.0402355
soft_3mm_r2,pair010,1.1,0.8805366194144248,83.32977,90.04349551673289,75.75434,0.8413083
hard_1mm_r1,pair025,1.25,0.0772390723611167,223.33228,111.53844423253166,178.66582,1.6018317
hard_1mm_r1,pair025,1.25,0.1798916154475591,103.31772,111.53844423253166,82.654175,0.74103755
hard_1mm_r1,pair025,1.25,0.2806964564482825,118.9704,111.53844423253166,95.176315,0.85330504
hard_1mm_r1,pair025,1.25,0.3793965513722099,120.954956,111.53844423253166,96.76396,0.8675391
