principle,metric,hardness,1mm,2mm,3mm
9DTact,fz,soft,17.3 / 68.0,218 / 411,4.03 / 12.3
9DTact,fz,medium,2.13 / 15.4,870,3.92 / 4.23
9DTact,fz,hard,4.87 / 464,59.3 / 880,1.66 / 758
9DTact,shear,soft,2.72 / 6.23,5.22 / 13.6,1.96 / 44.7
9DTact,shear,medium,5.53 / 13.3,4.89,1.88 / 3.92
9DTact,shear,hard,4.87 / 5.89,"13.8 / 1,690",3.73 / 190
DIGIT,fz,soft,7.49 / 8.19,6.35 / 293,5.36 / 14.2
DIGIT,fz,medium,3.47 / 21.1,"17.4 / 2,146",2.19 / 2.22
DIGIT,fz,hard,21.4 / 23.0,6.39 / 6.74,2.55 / 13.3
DIGIT,shear,soft,364 / 590,6.35 / 6.60,2.38 / 5.10
DIGIT,shear,medium,3.37 / 3.47,3.01 / 6.25,4.92 / 222
DIGIT,shear,hard,3.68 / 85.8,6.39 / 6.74,4.77 / 5.74
DIGIT_Marker,fz,soft,27.0,22.4 / 22.6,17.4 / 287
DIGIT_Marker,fz,medium,1.07 / 89.6,19.7 / 22.7,2.82 / 72.8
DIGIT_Marker,fz,hard,9.86 / 455,20.9 / 23.0,16.5 / 18.5
DIGIT_Marker,shear,soft,27.0 / 108,"22.6 / 1,434",69.5 / 71.7
DIGIT_Marker,shear,medium,1.07 / 22.4,22.7 / 557,"18.2 / 1,129"
DIGIT_Marker,shear,hard,27.4 / 455,"591 / 5,898","16.5 / 4,733"
9DTact,cyl4,soft,68.0 / 69.3,54.6 / 58.0,196 / 716
9DTact,cyl4,medium,53.3 / 61.4,"7,830",47.0 / 697
9DTact,cyl4,hard,16.4 / 217,55.0 / 59.3,41.5 / 47.4
9DTact,cube4,soft,17.0 / 69.3,13.6 / 14.5,"196 / 1,275"
9DTact,cube4,medium,15.4 / 53.3,"7,830",3.92 / 188
9DTact,cube4,hard,16.4 / 217,55.0 / 59.3,41.5 / 47.4
DIGIT,cyl4,soft,3.64 / 83.2,0.18 / 18.3,5.10 / 14.9
DIGIT,cyl4,medium,0.84 / 3.47,17.4 / 18.8,13.7 / 13.9
DIGIT,cyl4,hard,0.92 / 3.43,17.7 / 18.7,13.3 / 16.0
DIGIT,cube4,soft,3.64 / 83.2,17.6 / 18.3,14.2 / 14.9
DIGIT,cube4,medium,0.21 / 3.47,17.4 / 18.8,13.9 / 54.7
DIGIT,cube4,hard,0.23 / 85.8,17.7 / 18.7,13.3 / 16.0
