principle,unit,hardness,thickness_mm,rep,suspect_hardware,fz_knee_px,fz_best,shear_knee_px,shear_best,fz_knee_R,shear_knee_R
9DTact,hard_1mm_r1,hard,1,1,False,426,0.0242258328944444,48,0.020529718138277447,463.88251425372886,5.889403077214571
9DTact,hard_1mm_r2,hard,1,2,True,48,0.034729354083538,48,0.0201545627787709,4.873491815251063,4.873491815251063
9DTact,hard_2mm_r1,hard,2,1,False,640,0.0312153156846761,80,0.020047194324433748,880.3326697312638,13.755197964550996
9DTact,hard_2mm_r2,hard,2,2,False,160,0.0261730086058378,854,0.0220765750855207,59.30971465015623,1689.6689003825525
9DTact,hard_3mm_r1,hard,3,1,False,32,0.0412977263331413,48,0.02412620093673465,1.6595210368103759,3.733922332823346
9DTact,hard_3mm_r2,hard,3,2,False,640,0.0430141352117061,320,0.02848715055733915,758.108678091106,189.5271695227765
9DTact,medium_1mm_r1,medium,1,1,False,80,0.0478156991302967,48,0.02270524017512795,15.358648869735509,5.529113593104783
9DTact,medium_1mm_r2,medium,1,2,True,32,0.0453462414443492,80,0.030891168862581198,2.131546881680207,13.322168010501294
9DTact,medium_2mm_r2,medium,2,2,False,640,0.0422314368188381,48,0.02454769611358635,869.9467694791002,4.893450578319937
9DTact,medium_3mm_r1,medium,3,1,False,48,0.0428206585347652,32,0.02547765430063005,4.230390275403463,1.880173455734873
9DTact,medium_3mm_r2,medium,3,2,False,48,0.0416482985019683,48,0.0251863496378064,3.921418148281312,3.921418148281312
9DTact,soft_1mm_r1,soft,1,1,False,80,0.0446228422224521,48,0.0227107806131243,17.31653342341389,6.233952032429001
9DTact,soft_1mm_r2,soft,1,2,False,160,0.0557767413556575,32,0.0362266916781663,67.98613097183619,2.719445238873448
9DTact,soft_2mm_r1,soft,2,1,False,320,0.0351876318454742,80,0.0217960504814982,218.37556120875587,13.648472575547242
9DTact,soft_2mm_r2,soft,2,2,False,426,0.0345242470502853,48,0.0211683409288525,411.1986282742631,5.220534062597272
9DTact,soft_3mm_r1,soft,3,1,False,48,0.0553495548665523,160,0.0331020429730415,4.026577464334683,44.73974960371869
9DTact,soft_3mm_r2,soft,3,2,False,80,0.0453799255192279,32,0.028255212120711748,12.258234952243168,1.9613175923589066
DIGIT,hard_1mm_r1,hard,1,1,False,80,0.0695246458053588,160,0.026539633050560903,21.44471284296947,85.77885137187788
DIGIT,hard_1mm_r2,hard,1,2,False,80,0.0948507860302925,32,0.0373374940827488,22.98779681176457,3.6780474898823323
DIGIT,hard_2mm_r1,hard,2,1,False,48,0.0546161495149135,48,0.021537565626204,6.389529509137643,6.389529509137643
DIGIT,hard_2mm_r2,hard,2,2,False,48,0.0628333464264869,48,0.03194815851747985,6.742980447228534,6.742980447228534
DIGIT,hard_3mm_r1,hard,3,1,False,80,0.0568446181714534,48,0.02794299833476535,13.254042623671861,4.771455344521867
DIGIT,hard_3mm_r2,hard,3,2,False,32,0.049094520509243,48,0.0216465722769498,2.5529415609250306,5.744118512081321
DIGIT,medium_1mm_r1,medium,1,1,False,80,0.0492114089429378,32,0.01669234037399285,21.05932207992063,3.3694915327873014
DIGIT,medium_1mm_r2,medium,1,2,False,32,0.089378722012043,32,0.0409685373306274,3.471883224360281,3.471883224360281
