principle,unit,hardness,thickness_mm,rep,suspect_hardware,cyl4_knee_px,cyl4_best_mm,cube4_knee_px,cube4_best_mm,cyl4_knee_R,cube4_knee_R
9DTact,hard_1mm_r1,hard,1,1,False,80,0.0370964563209486,80,0.1159738221399451,16.3594529922627,16.3594529922627
9DTact,hard_1mm_r2,hard,1,2,True,320,0.0619354422287767,320,0.058032918926127,216.59963623338064,216.59963623338064
9DTact,hard_2mm_r1,hard,2,1,False,160,0.0975424545996847,160,0.0755695400549622,55.020791858203985,55.020791858203985
9DTact,hard_2mm_r2,hard,2,2,False,160,0.0432631555928541,160,0.0716444830298723,59.30971465015623,59.30971465015623
9DTact,hard_3mm_r1,hard,3,1,False,160,0.061925155030431,160,0.0723464289990811,41.4880259202594,41.4880259202594
9DTact,hard_3mm_r2,hard,3,2,False,160,0.0913877317759624,160,0.0720877367890461,47.38179238069412,47.38179238069412
9DTact,medium_1mm_r1,medium,1,1,False,160,0.1009916774517412,80,0.1831790823027302,61.434595478942036,15.358648869735509
9DTact,medium_1mm_r2,medium,1,2,True,160,0.0644283033742624,160,0.0669177117320689,53.288672042005174,53.288672042005174
9DTact,medium_2mm_r2,medium,2,2,False,1920,0.0474107292291973,1920,0.0492800402931567,7829.520925311901,7829.520925311901
9DTact,medium_3mm_r1,medium,3,1,False,160,0.1047841592014676,320,0.0932602158091443,47.00433639337182,188.0173455734873
9DTact,medium_3mm_r2,medium,3,2,False,640,0.0484627937184541,48,0.0529098308472288,697.1410041389001,3.921418148281312
9DTact,soft_1mm_r1,soft,1,1,False,160,0.0682699738021551,160,0.1193357370114025,69.26613369365556,69.26613369365556
9DTact,soft_1mm_r2,soft,1,2,False,160,0.094695847746312,80,0.1982524058450264,67.98613097183619,16.996532742959047
9DTact,soft_2mm_r1,soft,2,1,False,160,0.061921004861276,80,0.1310601267416568,54.59389030218897,13.648472575547242
9DTact,soft_2mm_r2,soft,2,2,False,160,0.0477946986604281,80,0.052946142521024,58.00593402885858,14.501483507214646
9DTact,soft_3mm_r1,soft,3,1,False,640,0.0460480061131948,854,0.0481800079247918,715.8359936594991,1274.5865321088163
9DTact,soft_3mm_r2,soft,3,2,False,320,0.0612016849092754,320,0.0584617793593883,196.13175923589068,196.13175923589068
DIGIT,hard_1mm_r1,hard,1,1,False,32,0.033057101736258664,160,0.07221108635203716,3.4311540548751145,85.77885137187788
DIGIT,hard_1mm_r2,hard,1,2,False,16,0.2582937065805339,8,0.09836342736904262,0.9195118724705831,0.22987796811764577
DIGIT,hard_2mm_r1,hard,2,1,False,80,0.02719703849487657,80,0.04097140509039862,17.7486930809379,17.7486930809379
DIGIT,hard_2mm_r2,hard,2,2,False,80,0.026244576577173023,80,0.029216470083841102,18.730501242301486,18.730501242301486
DIGIT,hard_3mm_r1,hard,3,1,False,80,0.08236811243720424,80,0.1332677204912436,13.254042623671861,13.254042623671861
DIGIT,hard_3mm_r2,hard,3,2,False,80,0.0419005843760383,80,0.066962097591239,15.955884755781438,15.955884755781438
DIGIT,medium_1mm_r1,medium,1,1,False,16,0.03067558598885186,8,0.03590442984382582,0.8423728831968254,0.21059322079920634
DIGIT,medium_1mm_r2,medium,1,2,False,32,0.07301824658767407,32,0.0515616248519841,3.471883224360281,3.471883224360281
DIGIT,medium_2mm_r1,medium,2,1,False,80,0.04802963564596826,80,0.016665915657068098,17.367109773304964,17.367109773304964
DIGIT,medium_2mm_r2,medium,2,2,False,80,0.03844275419194142,80,0.028430546700372258,18.830118560703163,18.830118560703163
DIGIT,medium_3mm_r1,medium,3,1,False,80,0.06433241450416032,160,0.0547095600018608,13.66479789414849,54.65919157659396
DIGIT,medium_3mm_r2,medium,3,2,False,80,0.021263875669459482,80,0.11517272004334841,13.89423293525505,13.89423293525505
DIGIT,soft_1mm_r1,soft,1,1,False,32,0.027393214695131025,32,0.020234067918255032,3.637883127622365,3.637883127622365
DIGIT,soft_1mm_r2,soft,1,2,False,160,0.04329598724927133,160,0.08441544266546179,83.21409715336394,83.21409715336394
DIGIT,soft_2mm_r1,soft,2,1,False,80,0.08443885104336306,80,0.03253113508952884,18.327140631170973,18.327140631170973
DIGIT,soft_2mm_r2,soft,2,2,False,8,0.22220345145121279,80,0.07221640450562727,0.17630692268261336,17.630692268261335
DIGIT,soft_3mm_r1,soft,3,1,False,80,0.11252768202902527,80,0.09327160838408237,14.892884080120874,14.892884080120874
DIGIT,soft_3mm_r2,soft,3,2,False,48,0.06320064813460752,80,0.05799741967742023,5.097032579741737,14.158423832615933
