principle,metric,n,rho_thickness,p_thickness,rho_hardness,p_hardness,q_thickness,q_hardness
9DTact,fz,17,-0.21437323142813605,0.4086742303392251,0.10004084133313015,0.702445617582723,0.782627866971643,0.782627866971643
9DTact,shear,17,-0.1143323900950059,0.6621581876325044,0.21437323142813605,0.4086742303392251,0.782627866971643,0.782627866971643
DIGIT,fz,18,-0.4459040360399592,0.06363932052446394,0.013114824589410561,0.9588085757304733,0.782627866971643,0.9588085757304733
DIGIT,shear,18,-0.19672236884115843,0.43398211965360445,-0.09180377212587394,0.7171316359692587,0.782627866971643,0.782627866971643
DIGIT_Marker,fz,18,-0.2099455524325912,0.4030670892266568,-0.22306714945962816,0.3736068976690299,0.782627866971643,0.782627866971643
DIGIT_Marker,shear,18,0.1704927196623373,0.49879378466657875,0.1704927196623373,0.49879378466657875,0.782627866971643,0.782627866971643
9DTact,cyl4,17,-0.24295632895188754,0.3474137967183295,0.08574929257125442,0.7434964736230609,0.782627866971643,0.782627866971643
9DTact,cube4,17,0.1429154876187574,0.5842452525810918,-0.12862393885688164,0.6227285003433768,0.782627866971643,0.782627866971643
DIGIT,cyl4,18,0.13114824589410562,0.6039567557369119,0.1704927196623373,0.49879378466657875,0.782627866971643,0.782627866971643
DIGIT,cube4,18,0.26229649178821124,0.29303294115765255,0.11803342130469506,0.6408872060787958,0.782627866971643,0.782627866971643
