unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
hard_1mm_r1,pair050,1920,0.1,0.3042876858884993,0.08530609489359371,2.4205985069274902,0.1794453477492946,신호부족,9423.044923543315
hard_1mm_r1,pair050,1920,0.2,0.22832955001492772,0.056126816476835296,4.166985034942627,0.12887811613996922,미분해,9423.044923543315
hard_1mm_r1,pair050,1920,0.3,0.24621240900919927,0.035089762368873505,6.470509052276611,0.1403889560366326,미분해,9423.044923543315
hard_1mm_r1,pair050,1280,0.1,0.20500586758307193,0.0681587989825144,2.5450594425201416,0.11420977031665008,미분해,4188.019966019251
hard_1mm_r1,pair050,1280,0.2,0.24334601817112445,0.03668293918337559,4.804394721984863,0.13852814537657193,미분해,4188.019966019251
hard_1mm_r1,pair050,1280,0.3,0.3258877237343375,0.025252309747998955,7.327448844909668,0.19466300340457143,분해,4188.019966019251
hard_1mm_r1,pair050,854,0.1,0.21771977779843066,0.04312955175121783,3.1784770488739014,0.12215799462190706,미분해,1864.2516903914163
hard_1mm_r1,pair050,854,0.2,0.25262507567068115,0.03042391580244231,5.268035888671875,0.14457405342911414,미분해,1864.2516903914163
hard_1mm_r1,pair050,854,0.3,0.28394167013597105,0.022426206067671664,7.118484973907471,0.16546154940926106,분해,1864.2516903914163
hard_1mm_r1,pair050,640,0.1,0.07114349769325112,0.048523049608709144,2.8136868476867676,0.03688376901452727,미분해,1047.0049915048128
hard_1mm_r1,pair050,640,0.2,0.2131226755474016,0.028108538442906495,5.09887170791626,0.1192710168912635,미분해,1047.0049915048128
hard_1mm_r1,pair050,640,0.3,0.3047671736471992,0.015847621389081055,7.221084117889404,0.17977894771120542,분해,1047.0049915048128
hard_1mm_r1,pair050,426,0.1,0.135444778839938,0.0259906281301418,3.134514570236206,0.07264187045941652,미분해,463.88251425372886
hard_1mm_r1,pair050,426,0.2,0.22030524484972858,0.016968985361822165,5.260278224945068,0.12378821941919288,미분해,463.88251425372886
hard_1mm_r1,pair050,426,0.3,0.27144748818549835,0.013477269788659782,7.1163330078125,0.1570374555185215,분해,463.88251425372886
hard_1mm_r1,pair050,320,0.1,0.2499029163215597,0.020932204229150948,3.5032057762145996,0.14279374478831847,미분해,261.7512478762032
hard_1mm_r1,pair050,320,0.2,0.20421822708487325,0.015302470970258593,5.114521026611328,0.1137210713267024,미분해,261.7512478762032
hard_1mm_r1,pair050,320,0.3,0.30350683947380563,0.011455509595060703,7.287838459014893,0.17890248339089568,분해,261.7512478762032
