principle,probe,cell,n_r1,n_r2,n_ratio,span_r1,span_r2,span_ratio,r2_r1,r2_r2,worst
DIGIT_Marker,ball4,medium_1mm,21,7,3.0,1.4959983873146783,0.6042291464628597,2.475879219121107,0.9798241167351194,0.8568885266174404,3.0
DIGIT,ball4,medium_3mm,43,17,2.5294117647058822,2.5089741679186695,1.5411223638021239,1.6280174935160536,0.9288478185164812,0.9693555459487566,2.5294117647058822
DIGIT_Marker,ball4,hard_1mm,9,18,2.0,0.6965247988557195,0.9674644124605544,1.3889877489644962,0.9780219263033972,0.9550073174745966,2.0
DIGIT,ball8,medium_2mm,19,12,1.5833333333333333,1.7303474990575405,1.0444558265179713,1.6566976363435197,0.9262735230718464,0.988840249343615,1.6566976363435197
DIGIT,ball8,hard_2mm,19,12,1.5833333333333333,1.7142698217937564,1.103942184975626,1.552861957015988,0.946533302372012,0.9870877573764628,1.5833333333333333
DIGIT,ball4,soft_1mm,12,18,1.5,0.7945647825576998,1.179517694767423,1.4844827264689002,0.9890652509885473,0.9706064292449404,1.5
DIGIT,ball4,soft_3mm,36,25,1.44,2.212355067006591,2.0892370430884313,1.0589296577549474,0.9004923919762803,0.9208855617177872,1.44
DIGIT,ball8,medium_3mm,24,17,1.411764705882353,2.1833159487388873,1.5371618527135773,1.4203552767619385,0.963438836042198,0.97815597384964,1.4203552767619385
DIGIT_Marker,ball4,hard_3mm,35,49,1.4,2.358080210811615,2.6611148615843874,1.128509051296636,0.9759288059549376,0.973380726009804,1.4
9DTact,ball4,soft_2mm,5,4,1.25,0.41273501206060104,0.30634596835873396,1.3472839687489686,0.9734484143891956,0.9225835365939908,1.3472839687489686
DIGIT,ball4,medium_2mm,30,23,1.3043478260869565,1.9442602511527305,1.50432700832868,1.2924452199477692,0.8985785368279783,0.9895535397678468,1.3043478260869565
DIGIT_Marker,ball4,medium_2mm,32,25,1.28,1.8462128563252342,1.786418587320707,1.033471589149891,0.9803515255669952,0.9922137942530614,1.28
9DTact,ball4,soft_1mm,5,6,1.2,0.3988804180713039,0.49465164352833935,1.2401000929554666,0.957624934063854,0.9722250229697924,1.2401000929554666
9DTact,ball8,soft_1mm,15,13,1.1538461538461537,1.4176344946023534,1.1720350493949783,1.209549573909208,0.9342129034390116,0.9322166428174118,1.209549573909208
DIGIT,ball8,soft_1mm,12,13,1.0833333333333333,1.007692404408722,1.2028704178115284,1.1936880863137296,0.9724884203620496,0.9503111458687814,1.1936880863137296
DIGIT,ball4,hard_1mm,12,11,1.0909090909090908,1.0682294616678545,0.918647729879634,1.1628281733280064,0.969491440105524,0.9126207974734892,1.1628281733280064
DIGIT,ball8,soft_3mm,19,22,1.1578947368421053,1.797251535389741,2.0293246621459353,1.129126681594888,0.9267303788098874,0.9427064122173552,1.1578947368421053
