unit,probe,hardness,thickness_mm,rep,n,depth_lo_mm,depth_hi_mm,r2,dia_slope_px_per_mm,level_slope_per_mm
hard_1mm_r1,ball4,hard,1,1,6,0.0968258454734041,0.5822418106299807,0.9319641932566802,361.39859292976354,9.812544911097799
hard_1mm_r1,ball8,hard,1,1,18,0.0980552065468458,1.786322781711121,0.9281556155142727,332.84009243365017,4.799222613106607
hard_2mm_r1,ball4,hard,2,1,4,0.2806992507365251,0.5855491313303673,0.9881662358695102,551.4473065960135,11.328599543775782
hard_2mm_r1,ball8,hard,2,1,10,0.536337192781378,1.4605285558899332,0.9141500779886492,464.31701105534836,6.97427211681875
hard_3mm_r1,ball8,hard,3,1,8,0.4618643655172434,1.169649971730749,0.9639915756632348,546.7287949619356,8.031789595361621
medium_1mm_r1,ball4,medium,1,1,6,0.0913995049271356,0.5852408076558753,0.9912981742477679,230.46942839600987,11.382722390796436
medium_1mm_r1,ball8,medium,1,1,17,0.1035524853255083,1.738566616772058,0.957054214644231,229.18549413362493,4.9108110149358035
medium_2mm_r2,ball8,medium,2,2,15,0.536205604301756,1.8860617278320504,0.8712898245233646,307.9337853480856,9.33789119885151
medium_3mm_r1,ball8,medium,3,1,15,0.9083109100005302,2.1997842678118182,0.9472082684731266,305.6760833313709,10.164772080759617
soft_1mm_r1,ball4,soft,1,1,5,0.1860915627423232,0.5849719808136271,0.9576249340638541,463.48144747126673,6.172384517705332
soft_1mm_r1,ball8,soft,1,1,15,0.1035389597073752,1.5211734543097286,0.9342129034390115,321.3600716641024,5.391922172531981
soft_2mm_r1,ball4,soft,2,1,5,0.1781349644040091,0.5908699764646101,0.9734484143891955,386.26037876180334,12.881748191199078
soft_2mm_r1,ball8,soft,2,1,17,0.1832700533574893,1.701842927368595,0.9204639503598294,285.0996825752356,9.610293216784026
soft_3mm_r1,ball4,soft,3,1,4,0.2793804476875365,0.5836971195964367,0.9824379476201582,589.0393115146466,11.172605915666939
soft_3mm_r1,ball8,soft,3,1,18,0.6479480671669684,2.371538159515424,0.9311259012194953,256.0518805833023,11.192304847092995
