probe,kind,width_px,density_px_per_mm2,mae_mm
cyl4,raw,8,0.13648472575547244,0.5240269813352789
cyl4,raw,16,0.5459389030218897,0.3988503814693416
cyl4,raw,32,2.183755612087559,0.2279090810022549
cyl4,raw,48,4.913450127197007,0.1367816222290826
cyl4,raw,80,13.648472575547242,0.0800043588279575
cyl4,raw,160,54.59389030218897,0.061925155030431
cyl4,raw,320,218.37556120875587,0.0679478988706377
cyl4,raw,426,387.01097017500166,0.0682699738021551
cyl4,raw,640,873.5022448350235,0.0778318699535122
cyl4,raw,854,1555.3202226418462,0.0829260755778326
cyl4,raw,1280,3494.008979340094,0.0980222671579783
cyl4,raw,1920,7861.5202035152115,0.1188175571541619
cyl4,corrected,8,0.13648472575547244,0.5240269813352789
cyl4,corrected,16,0.5459389030218897,0.30677555165463677
cyl4,corrected,32,2.183755612087559,0.220687827933856
cyl4,corrected,48,4.913450127197007,0.0964070208288351
cyl4,corrected,80,13.648472575547242,0.0584010875068769
cyl4,corrected,160,54.59389030218897,0.0646699672006272
cyl4,corrected,320,218.37556120875587,0.0627682135677984
cyl4,corrected,426,387.01097017500166,0.0593787952116514
cyl4,corrected,640,873.5022448350235,0.0529354910652395
cyl4,corrected,854,1555.3202226418462,0.0523217125241845
cyl4,corrected,1280,3494.008979340094,0.0582828838292878
cyl4,corrected,1920,7861.5202035152115,0.0476677572690695
cube4,raw,8,0.13648472575547244,0.5264914708991656
cube4,raw,16,0.5459389030218897,0.37464457703073545
cube4,raw,32,2.183755612087559,0.2311089116342331
cube4,raw,48,4.913450127197007,0.1661387129760575
cube4,raw,80,13.648472575547242,0.1159738221399451
cube4,raw,160,54.59389030218897,0.1031420832175472
cube4,raw,320,218.37556120875587,0.0958098106982288
cube4,raw,426,387.01097017500166,0.0932602158091443
cube4,raw,640,873.5022448350235,0.1033817035110769
cube4,raw,854,1555.3202226418462,0.1075472032926458
cube4,raw,1280,3494.008979340094,0.1212402935104546
cube4,raw,1920,7861.5202035152115,0.1417649468061306
cube4,corrected,8,0.13648472575547244,0.5264914708991656
cube4,corrected,16,0.5459389030218897,0.30733058179628225
cube4,corrected,32,2.183755612087559,0.2174899950506752
cube4,corrected,48,4.913450127197007,0.1349871468923951
cube4,corrected,80,13.648472575547242,0.0746688457709782
cube4,corrected,160,54.59389030218897,0.0812656966231498
cube4,corrected,320,218.37556120875587,0.0760941340326736
cube4,corrected,426,387.01097017500166,0.0710781777947614
cube4,corrected,640,873.5022448350235,0.0743733225704291
cube4,corrected,854,1555.3202226418462,0.0752952063010159
cube4,corrected,1280,3494.008979340094,0.0846030650423757
cube4,corrected,1920,7861.5202035152115,0.0988067021046372
