principle,probe,measure,group_by,group,n_units,x_name,x,median,q1,q3
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.19962564593085158,241.7920181879383,165.83584274714133,248.5713745462176
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.248270542101461,262.82520946485147,201.19679619205726,275.5243245659831
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.2969154382720704,283.8584007417646,236.55774963697323,302.47727458574855
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.3455603344426798,317.8939831291895,281.4432365513173,320.1262254839137
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.39420523061328916,332.98310400059694,304.98353062776454,346.68912749075645
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.44285012678389857,368.2672589220219,336.883290595564,370.25839210273614
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.491495022954508,384.1038995859847,359.0592934346324,393.8276567147158
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.5401399191251174,395.9582738885191,379.2441630929866,408.5757693997873
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.5887848152957268,429.6235372962629,385.1355915243802,435.587721826682
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.6374297114663362,454.48841915936515,408.83353980150434,458.3516111216609
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.6860746076369455,467.42493196162906,426.56730354820945,481.11550041663963
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.7347195038075549,492.04528061586353,450.14298522089973,509.7213076376037
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.7833643999781643,507.62148473521506,479.9484887390488,510.1185070465223
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.8320092961487737,520.5153209934243,489.9635724378437,526.2555347124662
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.8806541923193831,533.4091572516337,499.9786561366387,542.3925623784103
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.9292990884899925,562.3439731990038,518.0142296800141,566.5500798889345
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,0.977943984660602,574.0490005098636,540.9183394705548,595.1525953532296
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,1.0265888808312114,585.7540278207234,551.7599284514847,608.7864022669355
