sensor,probe,density_px_per_mm2,mae_mm
hard_1mm_r1,cyl4,0.21444712842969466,0.3679944791579377
hard_1mm_r1,cyl4,0.8577885137187786,-0.9454747162242851
hard_1mm_r1,cyl4,3.4311540548751145,-0.6693559922885255
hard_1mm_r1,cyl4,7.720096623469007,-0.490888277081587
hard_1mm_r1,cyl4,21.44471284296947,-0.4108769391642868
hard_1mm_r1,cyl4,85.77885137187788,-0.38805710148849126
hard_1mm_r1,cyl4,343.1154054875115,-0.3767217484733294
hard_1mm_r1,cyl4,608.0782356079261,-0.3695966457091062
hard_1mm_r1,cyl4,1372.461621950046,-0.32305319736070004
hard_1mm_r1,cyl4,2443.745654966113,-0.3282857491389395
hard_1mm_r1,cyl4,5489.846487800184,-0.37538967647119836
hard_1mm_r1,cyl4,12352.154597550414,-0.36097149752399815
hard_2mm_r2,cyl4,0.18730501242301487,0.7984172761119419
hard_2mm_r2,cyl4,0.7492200496920595,-0.3271640463001786
hard_2mm_r2,cyl4,2.996880198768238,-1.0606276364322667
hard_2mm_r2,cyl4,6.742980447228534,-1.05058028016773
hard_2mm_r2,cyl4,18.730501242301486,-1.0696922497747097
hard_2mm_r2,cyl4,74.92200496920594,-1.0537272874672814
hard_2mm_r2,cyl4,299.6880198768238,-1.0639024251169165
hard_2mm_r2,cyl4,531.1150692887351,-1.0635294456513167
hard_2mm_r2,cyl4,1198.752079507295,-1.0274413522032018
hard_2mm_r2,cyl4,2134.4459756297424,-1.0284698901586018
hard_2mm_r2,cyl4,4795.00831802918,-1.0715270061904225
hard_2mm_r2,cyl4,10788.768715565659,-1.073086612972646
hard_3mm_r1,cyl4,0.13254042623671855,1.7397775150544303
hard_3mm_r1,cyl4,0.5301617049468742,0.5351681027424293
hard_3mm_r1,cyl4,2.120646819787497,0.5748814576304913
hard_3mm_r1,cyl4,4.771455344521867,0.5623742373473046
hard_3mm_r1,cyl4,13.254042623671861,0.4853206429564798
hard_3mm_r1,cyl4,53.016170494687444,0.5177700618060008
hard_3mm_r1,cyl4,212.06468197874977,0.534704401886283
hard_3mm_r1,cyl4,375.8266623708553,0.5492527552424082
hard_3mm_r1,cyl4,848.2587279149991,0.6257139450730858
hard_3mm_r1,cyl4,1510.372710957166,0.6360951694712043
hard_3mm_r1,cyl4,3393.0349116599964,0.5459301730697828
hard_3mm_r1,cyl4,7634.328551234989,0.5911504770729445
medium_1mm_r1,cyl4,0.8423728831968254,-0.7481560965917802
medium_1mm_r1,cyl4,3.3694915327873014,-0.6047008608824078
medium_1mm_r1,cyl4,7.581355948771427,-0.4111790623386624
medium_1mm_r1,cyl4,21.05932207992063,-0.3948204793172394
medium_1mm_r1,cyl4,84.23728831968252,-0.3836941373008629
medium_1mm_r1,cyl4,336.9491532787301,-0.35205923260005756
medium_1mm_r1,cyl4,597.1502396524494,-0.34166862684106425
