width_px,v,R,rep,metric
8,0.06569331139326096,0.22572001000000003,inpaint — 마커 지움,sh
16,0.044080559164285646,0.9028800400000001,inpaint — 마커 지움,sh
32,0.045144382864236804,3.6115201600000004,inpaint — 마커 지움,sh
48,0.03626785613596435,8.12592036,inpaint — 마커 지움,sh
80,0.03562024794518945,22.572001000000004,inpaint — 마커 지움,sh
160,0.03534448798745865,90.28800400000002,inpaint — 마커 지움,sh
320,0.0370741384103894,361.15201600000006,inpaint — 마커 지움,sh
426,0.0396776646375656,640.0431958556251,inpaint — 마커 지움,sh
640,0.03886152431368825,1444.6080640000002,inpaint — 마커 지움,sh
854,0.0369588155299425,2572.2064814556247,inpaint — 마커 지움,sh
1280,0.0336189996451139,5778.432256000001,inpaint — 마커 지움,sh
1920,0.0317628234624862,13001.472576000004,inpaint — 마커 지움,sh
8,0.0687776301056146,0.22572001000000003,colour — 마커 남김,sh
16,0.0455542085692286,0.9028800400000001,colour — 마커 남김,sh
32,0.039399104192852905,3.6115201600000004,colour — 마커 남김,sh
48,0.0314420303329825,8.12592036,colour — 마커 남김,sh
80,0.03253540303558105,22.572001000000004,colour — 마커 남김,sh
160,0.03519581817090505,90.28800400000002,colour — 마커 남김,sh
320,0.033803867176175104,361.15201600000006,colour — 마커 남김,sh
426,0.03669060021638865,640.0431958556251,colour — 마커 남김,sh
640,0.03357486426830285,1444.6080640000002,colour — 마커 남김,sh
854,0.033360200002789456,2572.2064814556247,colour — 마커 남김,sh
1280,0.0325791928917169,5778.432256000001,colour — 마커 남김,sh
1920,0.02932669874280685,13001.472576000004,colour — 마커 남김,sh
8,0.0672867093235254,0.22572001000000003,grey — 마커 남김,sh
16,0.056696327403187696,0.9028800400000001,grey — 마커 남김,sh
32,0.042556449770927346,3.6115201600000004,grey — 마커 남김,sh
48,0.0348225720226764,8.12592036,grey — 마커 남김,sh
80,0.03187703248113385,22.572001000000004,grey — 마커 남김,sh
160,0.030778937973082003,90.28800400000002,grey — 마커 남김,sh
320,0.03561166487634175,361.15201600000006,grey — 마커 남김,sh
426,0.03390816226601595,640.0431958556251,grey — 마커 남김,sh
640,0.0386427119374275,1444.6080640000002,grey — 마커 남김,sh
854,0.03439171705394975,2572.2064814556247,grey — 마커 남김,sh
1280,0.030950617976486648,5778.432256000001,grey — 마커 남김,sh
1920,0.0289314063265919,13001.472576000004,grey — 마커 남김,sh
8,0.1607167273759842,0.22572001000000003,inpaint — 마커 지움,fz_mae
16,0.1090391352772712,0.9028800400000001,inpaint — 마커 지움,fz_mae
32,0.122562788426876,3.6115201600000004,inpaint — 마커 지움,fz_mae
48,0.1115237474441528,8.12592036,inpaint — 마커 지움,fz_mae
80,0.0924396216869354,22.572001000000004,inpaint — 마커 지움,fz_mae
160,0.0885325968265533,90.28800400000002,inpaint — 마커 지움,fz_mae
320,0.0858556032180786,361.15201600000006,inpaint — 마커 지움,fz_mae
426,0.0996550247073173,640.0431958556251,inpaint — 마커 지움,fz_mae
640,0.1045243069529533,1444.6080640000002,inpaint — 마커 지움,fz_mae
854,0.1048856750130653,2572.2064814556247,inpaint — 마커 지움,fz_mae
1280,0.1071111857891082,5778.432256000001,inpaint — 마커 지움,fz_mae
1920,0.0989737659692764,13001.472576000004,inpaint — 마커 지움,fz_mae
8,0.1976772248744964,0.22572001000000003,colour — 마커 남김,fz_mae
16,0.1125939264893531,0.9028800400000001,colour — 마커 남김,fz_mae
32,0.113947182893753,3.6115201600000004,colour — 마커 남김,fz_mae
48,0.0841960534453392,8.12592036,colour — 마커 남김,fz_mae
80,0.0830582678318023,22.572001000000004,colour — 마커 남김,fz_mae
160,0.1048990190029144,90.28800400000002,colour — 마커 남김,fz_mae
320,0.0845209509134292,361.15201600000006,colour — 마커 남김,fz_mae
426,0.0844754800200462,640.0431958556251,colour — 마커 남김,fz_mae
640,0.0949129238724708,1444.6080640000002,colour — 마커 남김,fz_mae
854,0.1035650372505188,2572.2064814556247,colour — 마커 남김,fz_mae
1280,0.0910284221172332,5778.432256000001,colour — 마커 남김,fz_mae
