sensor,axis,width_px,median,min,max,suspect_hardware
soft_1mm_r1,Tx,8,0.0019319227430969,0.001561643090099,0.002848646370694,False
soft_1mm_r1,Tx,16,0.0017350198468193,0.0013276004465296,0.0019034821307286,False
soft_1mm_r1,Tx,32,0.0015496020205318,0.0013638235395774,0.0020704525522887,False
soft_1mm_r1,Tx,48,0.0011512592900544,0.0010353216202929,0.0015690028667449,False
soft_1mm_r1,Tx,80,0.0008949332404881,0.0008807612466625,0.001173720229417,False
soft_1mm_r1,Tx,160,0.0009666120167821,0.0008681864128448,0.0011403524549677,False
soft_1mm_r1,Tx,320,0.0010193447815254,0.0009536204161122,0.0019820043817162,False
soft_1mm_r1,Tx,426,0.0008971542119979,0.0008933258941397,0.0010323056485503,False
soft_1mm_r1,Tx,640,0.0009436327964067,0.0009413518127985,0.0009889128850772,False
soft_1mm_r1,Tx,854,0.0011109107872471,0.0010629941243678,0.0014951821649447,False
soft_1mm_r1,Tx,1280,0.0009734469931572,0.0008606835035607,0.0012366176815703,False
soft_1mm_r1,Tx,1920,0.0009335115319117,0.0007986961281858,0.0009936874266713,False
soft_1mm_r1,Ty,8,0.0017392215086147,0.0012775248615071,0.0025739336851984,False
soft_1mm_r1,Ty,16,0.0009526908397674,0.0008225010242313,0.0012190665584057,False
soft_1mm_r1,Ty,32,0.0007938146591186,0.0007572125759907,0.0008032178157009,False
soft_1mm_r1,Ty,48,0.0008625816553831,0.0007925193058326,0.0010046025272458,False
soft_1mm_r1,Ty,80,0.000713198678568,0.0005390016594901,0.000819485168904,False
soft_1mm_r1,Ty,160,0.000682451413013,0.0006662793457508,0.000724006909877,False
soft_1mm_r1,Ty,320,0.000634393072687,0.0005770042189396,0.000757603207603,False
soft_1mm_r1,Ty,426,0.000761715171393,0.0006013083038851,0.000820213870611,False
soft_1mm_r1,Ty,640,0.0005333337467163,0.0005163941532373,0.0006036596605554,False
soft_1mm_r1,Ty,854,0.0005618129507638,0.0005384715623222,0.0006774223875254,False
soft_1mm_r1,Ty,1280,0.0005704111536033,0.0005393157480284,0.0005897625233046,False
soft_1mm_r1,Ty,1920,0.0005265872459858,0.0005029827007092,0.0005937379901297,False
soft_1mm_r1,Tz,8,0.000235556406551,0.0002354569878662,0.0002587222552392,False
soft_1mm_r1,Tz,16,0.0001970956946024,0.0001859563344623,0.0002041343104792,False
soft_1mm_r1,Tz,32,0.0002001153334276,0.0001850462140282,0.0002222048206022,False
soft_1mm_r1,Tz,48,0.0002156780828954,0.0002143283782061,0.0002310790587216,False
soft_1mm_r1,Tz,80,0.0002212414983659,0.0002192551473854,0.0002280940534546,False
soft_1mm_r1,Tz,160,0.0002284776710439,0.0002100477722706,0.000243484522798,False
soft_1mm_r1,Tz,320,0.0002034150529652,0.0002023360575549,0.0002058863028651,False
soft_1mm_r1,Tz,426,0.0001970475132111,0.0001938709174282,0.0002215239655924,False
soft_1mm_r1,Tz,640,0.0001909404090838,0.0001804530766094,0.0002505920710973,False
soft_1mm_r1,Tz,854,0.0001915180619107,0.0001879698102129,0.0002101270802086,False
soft_1mm_r1,Tz,1280,0.0002025405847234,0.000180606264621,0.0002036000514635,False
soft_1mm_r1,Tz,1920,0.0001848782412707,0.0001760906889103,0.000188861740753,False
soft_2mm_r1,Tx,8,0.0026282910257577,0.0024840519763529,0.0027603802736848,False
soft_2mm_r1,Tx,16,0.0021157092414796,0.0020955130457878,0.0022682819981127,False
soft_2mm_r1,Tx,32,0.0017083063721656,0.001684105489403,0.0019268949981778,False
soft_2mm_r1,Tx,48,0.0013513060985133,0.0013235417427495,0.0015874633099883,False
soft_2mm_r1,Tx,80,0.0014017863431945,0.0013112273300066,0.0014682607725262,False
soft_2mm_r1,Tx,160,0.0013592240866273,0.0012331577017903,0.0015082067111507,False
soft_2mm_r1,Tx,320,0.0015421496937051,0.0013219874817878,0.0015482201706618,False
soft_2mm_r1,Tx,426,0.0015597104793414,0.001528103952296,0.001698549487628,False
soft_2mm_r1,Tx,640,0.0014702159678563,0.0013124459655955,0.001819762866944,False
soft_2mm_r1,Tx,854,0.0015959994634613,0.0015327970031648,0.0017074601491913,False
soft_2mm_r1,Tx,1280,0.0016481220955029,0.0013942847726866,0.0017817056505009,False
soft_2mm_r1,Tx,1920,0.0013063109945505,0.0012461285805329,0.0015126802027225,False
soft_2mm_r1,Ty,8,0.0016924567753449,0.0015517335850745,0.0016925279051065,False
soft_2mm_r1,Ty,16,0.0014344512019306,0.0013684296282008,0.0014649996301159,False
soft_2mm_r1,Ty,32,0.0012398053659126,0.0010620090179145,0.0012474204413592,False
soft_2mm_r1,Ty,48,0.0010833595879375,0.0010203655110672,0.0011643426259979,False
soft_2mm_r1,Ty,80,0.0009822640568017,0.0007841355982236,0.001206484506838,False
soft_2mm_r1,Ty,160,0.0010024479124695,0.0008840617956593,0.0010844429489225,False
soft_2mm_r1,Ty,320,0.0009028626955114,0.000878203951288,0.0009736224310472,False
soft_2mm_r1,Ty,426,0.0009834185475483,0.0009579330217093,0.0011884836712852,False
soft_2mm_r1,Ty,640,0.0009922430617734,0.0009584099170751,0.0010188480373471,False
soft_2mm_r1,Ty,854,0.0009997772285714,0.0009281253442168,0.0011168178170919,False
soft_2mm_r1,Ty,1280,0.0009468711796216,0.0009144587675109,0.0010253391228616,False
soft_2mm_r1,Ty,1920,0.0009683469543233,0.0008787385304458,0.0009782694978639,False
soft_2mm_r1,Tz,8,0.0001741887972457,0.0001650609920034,0.000178900649189,False
soft_2mm_r1,Tz,16,0.0001781996834324,0.0001781389728421,0.0001805732754291,False
soft_2mm_r1,Tz,32,0.0001843852660385,0.0001783503394108,0.0001863979559857,False
soft_2mm_r1,Tz,48,0.0002083984873024,0.0001931106380652,0.0002107297914335,False
soft_2mm_r1,Tz,80,0.0002158479619538,0.0002073851064778,0.0002311555144842,False
soft_2mm_r1,Tz,160,0.0002238872548332,0.0002079141850117,0.0002366144908592,False
soft_2mm_r1,Tz,320,0.0002004354319069,0.0001841540506575,0.0002031524782069,False
soft_2mm_r1,Tz,426,0.000199318426894,0.0001987384166568,0.0002028833696385,False
soft_2mm_r1,Tz,640,0.0001847730018198,0.0001834709983086,0.0001990585442399,False
soft_2mm_r1,Tz,854,0.0001763075124472,0.0001680625136941,0.0001877271424746,False
soft_2mm_r1,Tz,1280,0.0001790659880498,0.0001712055382085,0.0001891721185529,False
soft_2mm_r1,Tz,1920,0.0001877966860774,0.0001764514599926,0.0001880592753877,False
soft_3mm_r1,Tx,8,0.0027162991464138,0.0026317990850657,0.0047865146771073,False
soft_3mm_r1,Tx,16,0.0020341228228062,0.0016168566653504,0.0035773043055087,False
soft_3mm_r1,Tx,32,0.00147823151201,0.0014304341748356,0.0016737319529056,False
soft_3mm_r1,Tx,48,0.0015338693046942,0.001470397808589,0.0016703443834558,False
soft_3mm_r1,Tx,80,0.0010520729701966,0.0010463764192536,0.0028402749449014,False
soft_3mm_r1,Tx,160,0.0012787572341039,0.0009891294175758,0.0012958487495779,False
soft_3mm_r1,Tx,320,0.001248454558663,0.0011433741310611,0.0012674439931288,False
soft_3mm_r1,Tx,426,0.0011572112562134,0.0011454935884103,0.0014005011180415,False
soft_3mm_r1,Tx,640,0.0013397285947576,0.0011399652576074,0.0014668157091364,False
soft_3mm_r1,Tx,854,0.001484279287979,0.0012684883549809,0.0015905012842267,False
soft_3mm_r1,Tx,1280,0.0013196930522099,0.0010951714357361,0.0015242105582728,False
soft_3mm_r1,Tx,1920,0.0012202690122649,0.0010744552128016,0.0019235861254855,False
soft_3mm_r1,Ty,8,0.0032382919453084,0.0023803215008229,0.0040129241533577,False
soft_3mm_r1,Ty,16,0.0022100952919572,0.0015825084410607,0.0024841099511832,False
soft_3mm_r1,Ty,32,0.0017174880485981,0.0009583143400959,0.001917079440318,False
soft_3mm_r1,Ty,48,0.0012808918254449,0.0008668683003634,0.0031624438706785,False
soft_3mm_r1,Ty,80,0.0009413408697582,0.0006977863959036,0.003386007156223,False
soft_3mm_r1,Ty,160,0.0008676305878907,0.0007435998413711,0.0009270191658288,False
soft_3mm_r1,Ty,320,0.0009005202446132,0.0008062563138082,0.0019405147759243,False
soft_3mm_r1,Ty,426,0.0010684645967558,0.0008997314726002,0.0014880726812407,False
soft_3mm_r1,Ty,640,0.0009924003388732,0.0009719116496853,0.0010797629365697,False
soft_3mm_r1,Ty,854,0.0009302290854975,0.0008171941153705,0.0012336818035691,False
soft_3mm_r1,Ty,1280,0.0008098775870166,0.0007604178390465,0.0009792010532692,False
soft_3mm_r1,Ty,1920,0.0007194402860477,0.0007073349552229,0.0010589661542326,False
soft_3mm_r1,Tz,8,0.0001761258899932,0.0001559744123369,0.0002007095899898,False
soft_3mm_r1,Tz,16,0.0002046998706646,0.0001926115655805,0.0002121186989825,False
soft_3mm_r1,Tz,32,0.0001892913860501,0.0001754589175106,0.0002235004212707,False
