principle,unit,task,mae_fz,mae_shear,r2_fz,r2_lat,thickness_mm,hardness,hard_n
9DTact,hard_1mm_r1,힘,0.032780006527900654,0.0220005931332707,0.983131468296051,0.9624647796154022,1,hard,3
9DTact,hard_2mm_r1,힘,0.038687091320753056,0.02821486629545685,0.9773501753807068,0.9431965947151184,2,hard,3
9DTact,hard_3mm_r1,힘,0.053624827414751,0.03898898977786295,0.9784732162952423,0.8321644067764282,3,hard,3
9DTact,medium_1mm_r1,힘,0.05204272456467145,0.025097229052334975,0.9692778587341309,0.9397055208683014,1,medium,2
9DTact,medium_2mm_r2,힘,0.05195067822933195,0.027988604269921724,0.9699757993221283,0.9415101408958434,2,medium,2
9DTact,medium_3mm_r1,힘,0.0528630372136831,0.03399361530318852,0.958059161901474,0.931772768497467,3,medium,2
9DTact,soft_1mm_r1,힘,0.04978624545037745,0.028222530614584625,0.9726399481296539,0.952511340379715,1,soft,1
9DTact,soft_2mm_r1,힘,0.0434151887893676,0.02435016166418785,0.9798276126384736,0.9646704196929932,2,soft,1
9DTact,soft_3mm_r1,힘,0.06313040480017659,0.0373475081287324,0.9637316465377808,0.9320957362651825,3,soft,1
DIGIT,hard_1mm_r1,힘,0.0853924602270126,0.032394319307058994,0.944748729467392,0.9377905428409576,1,hard,3
DIGIT,hard_2mm_r2,힘,0.06818869337439534,0.0364370620809495,0.9423011839389801,0.9171777367591858,2,hard,3
DIGIT,hard_3mm_r1,힘,0.061086622998118345,0.036784401163458776,0.9701840281486511,0.9487148821353912,3,hard,3
DIGIT,medium_1mm_r1,힘,0.06543619930744166,0.025064343586564026,0.944210946559906,0.9755454361438752,1,medium,2
DIGIT,medium_2mm_r1,힘,0.0633715540170669,0.035542896948754725,0.9591842293739319,0.9471623003482819,2,medium,2
DIGIT,medium_3mm_r1,힘,0.049781531095504705,0.02981777535751455,0.9503081738948822,0.9587674140930176,3,medium,2
DIGIT,soft_1mm_r2,힘,0.0953510105609893,0.032630048692226354,0.9452590942382812,0.9436033964157104,1,soft,1
DIGIT,soft_2mm_r1,힘,0.059353616088628755,0.030148686841130222,0.952527791261673,0.9432960748672485,2,soft,1
DIGIT,soft_3mm_r1,힘,0.0651828609406948,0.04643998015671963,0.9539107084274292,0.8508831560611725,3,soft,1
DIGIT_Marker,hard_1mm_r1,힘,0.1113226749002933,0.024094276595860678,0.9303251802921295,0.9651705324649811,1,hard,3
DIGIT_Marker,hard_2mm_r1,힘,0.08139959350228304,0.03068330744281405,0.9411947429180145,0.9318468272686005,2,hard,3
DIGIT_Marker,hard_3mm_r1,힘,0.06638885289430616,0.03604382462799545,0.9591955542564392,0.9290750920772552,3,hard,3
DIGIT_Marker,medium_1mm_r1,힘,0.13134136795997614,0.04643938317894932,0.894112229347229,0.9047382175922394,1,medium,2
DIGIT_Marker,medium_2mm_r1,힘,0.0721344426274299,0.026719670277088825,0.9692230820655822,0.9606286585330963,2,medium,2
DIGIT_Marker,medium_3mm_r1,힘,0.07343881204724309,0.0221666451543569,0.9668445587158203,0.9619807302951813,3,medium,2
DIGIT_Marker,soft_1mm_r1,힘,0.134952537715435,0.03646380640566342,0.9229215383529663,0.921728104352951,1,soft,1
DIGIT_Marker,soft_2mm_r1,힘,0.1296273991465568,0.05173600837588305,0.9174162745475769,0.8709275722503662,2,soft,1
DIGIT_Marker,soft_3mm_r1,힘,0.0941186882555484,0.0403776923194527,0.9493593275547028,0.9295315146446228,3,soft,1
