unit,sep_mm,width_px,density_px_per_mm2,n_ok,n,principle
hard_1mm_r1,1.1,8,0.2144471284296946,0,6,DIGIT
hard_1mm_r1,1.1,16,0.8577885137187786,5,6,DIGIT
hard_1mm_r1,1.1,32,3.4311540548751145,4,6,DIGIT
hard_1mm_r1,1.1,48,7.720096623469007,3,6,DIGIT
hard_1mm_r1,1.1,80,21.44471284296947,0,6,DIGIT
hard_1mm_r1,1.1,160,85.77885137187788,0,6,DIGIT
hard_1mm_r1,1.1,320,343.1154054875115,0,6,DIGIT
hard_1mm_r1,1.1,426,608.0782356079261,0,6,DIGIT
hard_1mm_r1,1.1,640,1372.461621950046,5,6,DIGIT
hard_1mm_r1,1.1,854,2443.745654966113,6,6,DIGIT
hard_1mm_r1,1.1,1280,5489.846487800184,6,6,DIGIT
hard_1mm_r1,1.1,1920,12352.154597550414,6,6,DIGIT
hard_1mm_r1,1.25,8,0.2144471284296946,0,6,DIGIT
hard_1mm_r1,1.25,16,0.8577885137187786,6,6,DIGIT
hard_1mm_r1,1.25,32,3.4311540548751145,6,6,DIGIT
hard_1mm_r1,1.25,48,7.720096623469007,6,6,DIGIT
hard_1mm_r1,1.25,80,21.44471284296947,6,6,DIGIT
hard_1mm_r1,1.25,160,85.77885137187788,6,6,DIGIT
hard_1mm_r1,1.25,320,343.1154054875115,6,6,DIGIT
hard_1mm_r1,1.25,426,608.0782356079261,6,6,DIGIT
hard_1mm_r1,1.25,640,1372.461621950046,6,6,DIGIT
hard_1mm_r1,1.25,854,2443.745654966113,6,6,DIGIT
hard_1mm_r1,1.25,1280,5489.846487800184,6,6,DIGIT
hard_1mm_r1,1.25,1920,12352.154597550414,6,6,DIGIT
hard_2mm_r2,1.1,8,0.1873050124230148,0,9,DIGIT
hard_2mm_r2,1.1,16,0.7492200496920595,6,9,DIGIT
hard_2mm_r2,1.1,32,2.996880198768238,6,9,DIGIT
hard_2mm_r2,1.1,48,6.742980447228534,6,9,DIGIT
hard_2mm_r2,1.1,80,18.73050124230149,8,9,DIGIT
hard_2mm_r2,1.1,160,74.92200496920594,8,9,DIGIT
hard_2mm_r2,1.1,320,299.6880198768238,8,9,DIGIT
hard_2mm_r2,1.1,426,531.1150692887351,8,9,DIGIT
hard_2mm_r2,1.1,640,1198.752079507295,8,9,DIGIT
hard_2mm_r2,1.1,854,2134.4459756297424,8,9,DIGIT
hard_2mm_r2,1.1,1280,4795.00831802918,8,9,DIGIT
hard_2mm_r2,1.1,1920,10788.76871556566,8,9,DIGIT
hard_2mm_r2,1.25,8,0.1873050124230148,0,9,DIGIT
hard_2mm_r2,1.25,16,0.7492200496920595,7,9,DIGIT
hard_2mm_r2,1.25,32,2.996880198768238,9,9,DIGIT
hard_2mm_r2,1.25,48,6.742980447228534,9,9,DIGIT
hard_2mm_r2,1.25,80,18.73050124230149,9,9,DIGIT
hard_2mm_r2,1.25,160,74.92200496920594,9,9,DIGIT
hard_2mm_r2,1.25,320,299.6880198768238,9,9,DIGIT
hard_2mm_r2,1.25,426,531.1150692887351,9,9,DIGIT
hard_2mm_r2,1.25,640,1198.752079507295,9,9,DIGIT
hard_2mm_r2,1.25,854,2134.4459756297424,9,9,DIGIT
hard_2mm_r2,1.25,1280,4795.00831802918,9,9,DIGIT
hard_2mm_r2,1.25,1920,10788.76871556566,9,9,DIGIT
hard_3mm_r1,1.1,8,0.1325404262367185,0,9,DIGIT
hard_3mm_r1,1.1,16,0.5301617049468742,4,9,DIGIT
hard_3mm_r1,1.1,32,2.120646819787497,2,9,DIGIT
hard_3mm_r1,1.1,48,4.771455344521867,3,9,DIGIT
hard_3mm_r1,1.1,80,13.25404262367186,4,9,DIGIT
hard_3mm_r1,1.1,160,53.01617049468744,4,9,DIGIT
hard_3mm_r1,1.1,320,212.06468197874975,3,9,DIGIT
hard_3mm_r1,1.1,426,375.8266623708553,4,9,DIGIT
hard_3mm_r1,1.1,640,848.2587279149991,7,9,DIGIT
hard_3mm_r1,1.1,854,1510.372710957166,7,9,DIGIT
hard_3mm_r1,1.1,1280,3393.0349116599964,8,9,DIGIT
hard_3mm_r1,1.1,1920,7634.328551234989,8,9,DIGIT
hard_3mm_r1,1.25,8,0.1325404262367185,0,9,DIGIT
hard_3mm_r1,1.25,16,0.5301617049468742,0,9,DIGIT
hard_3mm_r1,1.25,32,2.120646819787497,0,9,DIGIT
